names,population,state_code,lat,lon
10th mile bazaar,,11,1.4333333,110.3166667
15th mile bazaar,,11,1.3833333,110.3666667
17th mile bazaar,,11,1.3666667,110.4
19th mile bazaar,,11,1.3333333,110.4
24th mile bazaar,,11,1.2833333,110.4333333
32nd mile bazaar,,11,1.2333333,110.5166667
7th mile bazaar,,11,1.4666667,110.3166667
abai,,16,5.6833333,118.3833333
abbey village,,04,2.4,102.5
abi,,08,6.4833333,100.2
abi lubok gajah,,08,6.5166667,100.2
abi padang melangit,,08,6.5,100.2166667
abi padang pelangit,,08,6.5,100.2166667
abok,,11,1.0833333,111.0166667
a central village,,05,2.85,102.5166667
adjan,,11,2.1833333,113.2
agan,,16,6.1166667,117.1
aging,,11,1.6666667,111.8
agis,,16,4.6166667,116.45
agodun,,16,5.3666667,116.1166667
ahang,,16,4.45,116.2333333
air hangat,,02,6.4166667,99.8333333
air hitam,,01,1.9166667,103.1833333
air hitam,,02,6.2333333,100.25
air hitam,,05,2.9333333,102.4
air keruh,,04,2.2666667,102.2833333
air kuning,,07,4.1833333,101.15
air kuning selatar,,05,2.5,102.4833333
air molek,,04,2.2,102.3166667
ajam bagan,,09,5.45,100.3666667
ajau,,11,1.4833333,111.5666667
ajau nanga,,11,1.4833333,111.5666667
ajau ulu,,11,1.4833333,111.5666667
ajil,,13,5.0833333,103.0833333
ajong,,11,1.45,111.6333333
aka,,16,5.9666667,116.6833333
alab,,16,5.3333333,116.5333333
alma,,09,5.3333333,100.4666667
aloi lubok,,02,6.0833333,100.4333333
alor bungga sena,,02,6.0333333,100.4666667
alor gajah,20163,04,2.3833333,102.2166667
alor gajeh,,04,2.3833333,102.2166667
alor janggus,,02,6.1666667,100.3
alor lanchang,,08,6.45,100.2333333
alor limbat,,13,5.2,103.0833333
alor lintah,,13,5.7666667,102.5333333
alor lintang,,13,5.7666667,102.5333333
alor lubok,,02,6.0833333,100.4333333
alor merah,,02,6.15,100.3666667
alor nibong,,03,5.7666667,102.4666667
alor pak ngah,,02,6.0833333,100.4666667
alor pongsu,,07,5.0333333,100.5833333
alor pulai,,02,6.2833333,100.2
alor sena,,08,6.5,100.2333333
alor setar,217378,02,6.1166667,100.3666667
alor star,,02,6.1166667,100.3666667
alor tampang,,08,6.5166667,100.2333333
alostar,,02,6.1166667,100.3666667
alur gajah,,04,2.3833333,102.2166667
alur merah,,02,6.15,100.3666667
alur pongsu,,07,5.0333333,100.5833333
alur setar,,02,6.1166667,100.3666667
ambas,,11,1.6166667,111.4666667
ambatuan,,16,5.5,115.9333333
amboi,,16,5.1166667,115.9166667
ambong,,16,6.3,116.3333333
ambual,,16,5.3666667,116.2166667
ampang,,06,3.9,103.0833333
ampang,,14,3.15,101.7666667
ampangan,,05,2.7166667,101.9666667
ampang bahru,,07,4.5833333,101.1333333
ampang bharu new village,,07,4.5833333,101.1333333
ampang resettlement,,14,3.1333333,101.7666667
ampungan,,11,1.1666667,110.6
anak ayer kepong,,04,2.2333333,102.3833333
anampoi,,16,4.6166667,115.7666667
anantai,,16,4.4,116.3
andus,,16,5.6833333,115.9
angkawit,,16,5.6833333,115.9333333
anglo,,16,4.7,116.25
angsam,,16,5.4666667,115.7666667
ansapul,,16,4.8333333,116.2166667
ansip,,16,5.3,116.1333333
ansub,,16,4.4666667,116.1166667
ansung,,16,5.4,116.7833333
antaih,,11,1.7333333,112.2333333
antayan,,11,1.0666667,110.6833333
antek,,11,1.3166667,111.3166667
anteliban,,16,5.5166667,117.0333333
apeng,,11,1.0833333,111.05
api,,16,5.0166667,115.9
apin apin,,16,5.4666667,116.2666667
api rokok,,13,4.55,103.4333333
ara kuda,,09,5.45,100.5166667
arang,,12,3.3166667,101.4666667
arang arang anchorage,,05,2.5166667,101.8
arang-arang,,05,2.5166667,101.8
ara rendang,,09,5.4833333,100.4666667
arau,,08,6.4333333,100.2666667
arongan,,16,4.3666667,117.85
aru baru,,16,4.9666667,115.5166667
aru tangong,,16,5.95,116.05
asahan,,04,2.3833333,102.55
asam kumbang,,07,4.2333333,100.9
asun,,02,6.3333333,100.3333333
atas,,16,4.6666667,118.25
ateamu,,16,5.2741667,119.2527778
augodun,,16,5.3666667,116.1166667
au long,,07,4.85,100.7166667
aun,,11,2.1166667,111.8166667
aur,,11,1.3166667,111.55
a village,,05,2.85,102.5
awat awat,,11,4.9333333,115.2333333
ayer baloi,,01,1.5833333,103.3333333
ayer bemban,,01,1.7,103.4833333
ayer berbagi,,07,5.0166667,100.95
