names,population,state_code,lat,lon
abbabis,,30,-23.9666667,16.0833333
abenab,,39,-19.2833333,18.0833333
academia,,40,-22.6102778,17.0672222
achab,,40,-23.9666667,16.2833333
affenrucken,,31,-28.0833333,15.8166667
ai-ais,,31,-27.9166667,17.4833333
aida,,40,-22.8666667,18.0
ais,,31,-28.1833333,19.5166667
akutsima,,36,-18.1166667,14.8
akweenyanga,,37,-17.85,15.7833333
alt duwisib,,30,-25.25,16.5166667
alt-seeis,,40,-22.5,17.6833333
aluriesfontein,,31,-28.5333333,18.7
alurisfontein,,31,-28.5333333,18.7
amaadhala,,36,-17.8833333,15.4166667
amakange,,32,-18.1,14.3333333
amarika,,36,-18.35,15.1833333
amasbank,,29,-21.1166667,15.0666667
ambende,,38,-18.3166667,16.2833333
amilema,,38,-18.3833333,16.2666667
aminuis,,35,-23.6333333,19.3666667
amukulungundju,,38,-18.3166667,16.3666667
amutanga,,37,-17.7,15.6833333
amuteya,,38,-18.0,16.3666667
amwaanda,,36,-18.0,15.0333333
amweepele,,37,-18.0666667,15.9166667
anabib,,32,-18.1833333,12.5166667
anamulenge,,36,-17.4833333,15.0166667
andara,,28,-18.0666667,21.45
angra-juntas,,31,-27.65,15.55
angras juntas,,31,-27.65,15.55
anichab,,29,-23.35,14.5166667
anigab,,29,-23.35,14.5166667
anixab,,32,-20.9333333,14.85
anker,,39,-18.9166667,18.9833333
antheap milepost,,32,-18.8333333,16.8
arabia,,37,-17.9666667,15.9666667
arandis,4507,29,-22.4166667,14.9666667
aranos,3431,30,-24.1333333,19.1166667
araob,,31,-26.8,19.65
arbeidsgenot,,40,-22.6833333,16.65
arbeidsloon,,39,-18.95,18.9
ariamab,,31,-27.2833333,17.4666667
ariamsvlei,,31,-28.1166667,19.8166667
ariamsvley,,31,-28.1166667,19.8166667
aris,,40,-22.75,17.1333333
arixa ams,,29,-21.1833333,14.7833333
arizona,,40,-23.2,16.0333333
aroab,,31,-26.8,19.65
aroams,,35,-23.05,19.5333333
aroams oos,,35,-23.05,19.65
arona,,32,-18.4166667,14.5166667
asikuli,,28,-17.5166667,24.7
aub,,30,-22.9333333,17.1833333
aubinhonis,,29,-21.4166667,15.1333333
aubinhorus,,29,-21.4166667,15.1333333
augustinium,,40,-22.5413889,17.0466667
auputz,,31,-28.25,18.0833333
aurus,,31,-26.1166667,14.9833333
aus,,31,-26.6666667,16.2666667
austerlitz,,31,-28.2833333,19.25
avis,,40,-22.5791667,17.1197222
bagani,,28,-18.1166667,21.6333333
bam se pos,,32,-20.3,15.0333333
beenbreek,,31,-28.7,19.4166667
behr,,40,-22.6833333,17.1166667
berghof,,40,-23.35,16.0
bergquell,,39,-22.1,16.9833333
bergveld,,40,-22.9833333,16.5
berseba,,31,-25.9833333,17.7833333
bethal,,29,-22.5666667,15.8666667
bethanie,,31,-26.4833333,17.15
bethanien,10400,31,-26.4833333,17.15
bethany,,31,-26.4833333,17.15
bethlehem,,40,-22.7666667,17.3
binsenheim,,40,-22.7833333,17.3833333
birkenfels,,29,-22.6333333,14.7333333
biro,,28,-17.9833333,21.3166667
blau,,31,-26.1333333,18.2666667
