names,population,state_code,lat,lon
akaouane,,00,-21.1,167.4
amoa,,00,-20.7666667,165.2
amouema,,00,-20.9,165.1666667
aneo,,00,-21.0833333,167.4333333
anezitch,,00,-20.7,167.1833333
aoue,,00,-19.6833333,163.65
aoumou,,00,-21.4,165.8166667
arama,,00,-20.2666667,164.2
ashir,,00,-20.45,166.6
ateou,,00,-20.95,164.9
atha,,00,-21.4666667,168.0166667
auteuil,,00,-22.2166667,166.4833333
awe,,00,-19.6833333,163.65
awi,,00,-21.6,167.95
azareu,,00,-21.4666667,165.4666667
baaba,,00,-20.0833333,163.9833333
ba,,00,-21.2,165.55
babouillat,,00,-20.3833333,164.1333333
baco,,00,-21.0666667,164.9
bakouya,,00,-21.5666667,165.4833333
balaba,,00,-20.6833333,166.5166667
balade,,00,-20.3166667,164.5
balagam,,00,-20.35,164.4
balagham,,00,-20.35,164.4
balaguet,,00,-20.2833333,164.25
banout,,00,-20.6166667,166.5666667
baoui,,00,-20.7,164.4666667
baoum,,00,-20.2333333,164.3166667
bas-coulna,,00,-20.6833333,164.7833333
basse-poya,,00,-21.3333333,165.15
bayes,,00,-20.95,165.4
bernheim,,00,-21.2333333,165.0333333
betseda,,00,-21.4833333,167.8666667
blanchot,,00,-22.2833333,166.45
boakaine,,00,-21.5,165.9333333
boara,,00,-20.1166667,164.0
bobeitio,,00,-20.9666667,165.0
boeareu,,00,-21.3166667,165.5666667
boghen,,00,-21.6,165.5666667
boguen,,00,-21.6,165.5666667
bogui,,00,-21.3666667,165.4333333
bonde,,00,-20.4333333,164.4333333
bone,,00,-21.5666667,168.0166667
bopope,,00,-20.9166667,165.0666667
boreare,,00,-21.3666667,165.4666667
bouabondo,,00,-20.1333333,164.0166667
bouarou,,00,-20.2666667,164.2
boucrabat,,00,-20.3,164.0666667
bouelas,,00,-20.5333333,164.55
bouemanda,,00,-20.2333333,164.0166667
bouerabat,,00,-20.3,164.0666667
bouerabate,,00,-20.3,164.0666667
boueregaou,,00,-21.45,165.5166667
bouirou,,00,-21.45,165.5333333
bouloupari,1619,00,-21.8666667,166.05
boulouparis,,00,-21.8666667,166.05
bourail,4595,00,-21.5666667,165.4833333
boureil,,00,-21.5666667,165.4833333
boyen,,00,-20.8166667,164.6166667
briqueterie,,00,-22.2666667,166.5666667
buemanda,,00,-20.2333333,164.0166667
buerabat,,00,-20.3,164.0666667
bui,,00,-20.4333333,164.4
bulupari,,00,-21.8666667,166.05
burabat,,00,-20.3,164.0666667
burail,,00,-21.5666667,165.4833333
bweo,,00,-19.7333333,163.6666667
caavatch,,00,-20.7166667,164.8333333
camp de nandai,,00,-21.5,165.45
canala,2857,00,-21.5333333,165.95
cengeite,,00,-21.6,167.9
ceni,,00,-21.4666667,168.0166667
chagrin,,00,-20.4833333,164.25
chainon,,00,-21.4833333,165.8166667
chepenehe,,00,-20.7833333,167.15
chepeneke,,00,-20.7833333,167.15
coinde,,00,-21.6166667,165.95
colnett,,00,-20.4833333,164.7333333
conception,,00,-22.2333333,166.5
congouma,,00,-20.75,165.0833333
coula,,00,-21.35,165.45
cradji,,00,-21.3166667,165.15
cuadene,,00,-21.55,168.1
daking,,00,-20.7,167.1666667
diahot-paraoua,,00,-20.3666667,164.4333333
diahoue,,00,-20.4666667,164.6833333
diakana,,00,-21.0,164.8666667
dogny,,00,-21.6666667,165.9333333
dokin,,00,-20.7,167.1666667
doking,,00,-20.7,167.1666667
doneva,,00,-21.3,165.6
dosip,,00,-20.9333333,167.35
dothio,,00,-21.5666667,166.1
dothiu,,00,-21.5666667,166.1
doueoulou,,00,-20.9333333,167.0833333
dumbea,21031,00,-22.15,166.45
eacho,,00,-20.7833333,167.1333333
ema,,00,-21.5666667,165.9
enene,,00,-21.5166667,168.0666667
eni,,00,-21.6333333,167.95
eo,,00,-20.45,166.6
ete,,00,-21.5166667,167.85
ethi,,00,-21.5,167.85
faiaoue,,00,-20.65,166.5333333
faiaue,,00,-20.65,166.5333333
farino,260,00,-21.6666667,165.7666667
fayaoue,4239,00,-20.65,166.5333333
fayawa,,00,-20.7166667,166.4666667
foaobanik,,00,-20.9166667,164.75
fonwary,,00,-21.6833333,165.7833333
fonwhary,,00,-21.6833333,165.7833333
foret noire,,00,-21.7666667,165.85
foret plate,,00,-21.1333333,165.1166667
gadji,,00,-22.55,167.4333333
gala,,00,-20.75,164.8833333
galagaoui,,00,-20.55,164.2666667
galilee,,00,-20.9333333,165.2666667
gamai,,00,-20.7,164.4833333
ganem,,00,-20.7,164.9333333
gelima,,00,-21.5333333,165.9833333
ghio,,00,-21.5166667,166.1
gilles,,00,-21.9,166.0166667
gillies,,00,-21.9,166.0166667
goa,,00,-21.1166667,165.3
gohapin,,00,-21.2166667,165.2666667
goipin,,00,-21.2166667,165.2666667
golone,,00,-20.2666667,164.1166667
gomen,,00,-20.6666667,164.4
gomen ouaco,,00,-20.8333333,164.4666667
gonde,,00,-21.3,165.4666667
gondon,,00,-21.35,165.4333333
gondou,,00,-21.35,165.4333333
goro,,00,-22.2833333,167.0166667
gossanat,,00,-20.45,166.6333333
gouaraoui,,00,-21.3166667,165.5666667
gouareu,,00,-21.3,165.6333333
gouaro,,00,-21.6,165.4333333
goyetta,,00,-21.1,165.35
grand-borindi,,00,-21.7333333,166.45
grand gouli,,00,-21.6333333,165.8166667
grochain,,00,-21.0833333,165.3833333
grombaou,,00,-21.0333333,164.8666667
grondu,,00,-21.0833333,165.3833333
guaro,,00,-21.6,165.4333333
guehi,,00,-20.6666667,166.5333333
haouli,,00,-21.5333333,165.85
hapetra,,00,-20.9333333,167.15
haut-coulna,,00,-20.6333333,164.7333333
haute couvelee,,00,-22.1333333,166.4666667
haute poueo,,00,-21.4833333,165.5166667
haute tamoa,,00,-22.05,166.3
havila,,00,-20.9,167.25
hienghene,2219,00,-20.6833333,164.9333333
hiengherie,,00,-20.6833333,164.9333333
hmelek,,00,-21.05,167.2833333
hnadid,,00,-21.45,168.1
hnaenede,,00,-21.4666667,168.0
hnaeu,,00,-20.9833333,167.3833333
hnapalou,,00,-20.9,167.2666667
hnasse,,00,-20.9166667,167.2666667
hnawayece,,00,-21.4333333,167.8666667
ho,,00,-21.1833333,165.5333333
honem,,00,-20.9166667,167.2833333
houailou,,00,-21.2833333,165.6166667
houone,,00,-20.05,163.8
houts,,00,-21.0166667,167.4
huailu,,00,-21.2833333,165.6166667
hunete,,00,-20.7666667,167.1
iate,,00,-22.15,166.9
inagod,,00,-21.0166667,167.3833333
ina,,00,-20.9333333,165.35
juvenat sainte-therese,,00,-22.1333333,166.3166667
kaala-gomen,,00,-20.6666667,164.4
kabeyourou,,00,-21.3833333,165.4
kaewatine,,00,-21.4,167.9333333
kaewaura,,00,-21.4666667,167.95
kako,,00,-21.5333333,165.9
kaledicta,,00,-20.8666667,164.6833333
kalene,,00,-21.5,167.85
kame,,00,-22.65,167.4833333
kamoui,,00,-21.35,165.65
kana,,00,-22.625,167.4208333
kanala,,00,-21.5333333,165.95
kanguma,,00,-20.75,165.0833333
kanono,,00,-20.9,167.2666667
kaora,,00,-21.2166667,165.5666667
kapoue,,00,-21.2833333,165.6333333
karagreu,,00,-21.4,165.3833333
karembe,,00,-20.6333333,164.3166667
karenga,,00,-22.0166667,166.2333333
kasouri,,00,-21.4166667,165.8333333
katrikoin,,00,-21.5666667,165.7
kavatch,,00,-20.7166667,164.8166667
kedeigne,,00,-21.0333333,167.2166667
kenerou,,00,-21.55,165.8833333
kere,,00,-22.6833333,167.4833333
kerembe,,00,-20.6333333,164.3166667
keziene,,00,-21.6,167.9
kikoe,,00,-21.4333333,165.5
kirinata,,00,-20.8166667,167.25
kode,,00,-21.1166667,167.4166667
koe,,00,-20.8,165.2666667
koh,,00,-21.5333333,165.8333333
koinde,,00,-21.6166667,165.95
kokengone,,00,-20.85,165.25
kokingone,,00,-20.85,165.25
koligoh-gomen,,00,-20.6833333,164.4666667
koligoh,,00,-20.6833333,164.4666667
kone,4775,00,-21.0666667,164.8666667
kongouma,,00,-20.75,165.0833333
koniambo,,00,-21.0333333,164.8666667
konio,,00,-20.6,164.4
konoe-chaoue,,00,-21.5,165.7
koout,,00,-20.6833333,164.9666667
kopelia,,00,-21.5666667,166.0166667
koua,,00,-21.3333333,165.7666667
kouaoua,,00,-21.4333333,165.8166667
kouare,,00,-21.6666667,166.0666667
kouarga,,00,-21.7333333,166.0666667
koulnoue,,00,-20.6833333,164.9833333
koumac,3153,00,-20.5666667,164.2833333
koum,,00,-20.5333333,164.3333333
koumo,,00,-20.7833333,167.2333333
koutio-koueta,,00,-22.2166667,166.4666667
kua,,00,-21.3333333,165.7666667
kuaua,,00,-21.4333333,165.8166667
kuen tchio,,00,-21.7833333,166.0833333
kuenthio,,00,-21.7833333,166.0833333
kuine,,00,-21.5333333,165.9666667
kumac,,00,-20.5666667,164.2833333
kumak,,00,-20.5666667,164.2833333
kurin,,00,-21.6,168.1166667
kuto,,00,-22.6666667,167.4333333
la bouverie,,00,-20.5,164.2666667
la conception,,00,-22.2333333,166.5
la coulee,,00,-22.2333333,166.5666667
la couvelee,,00,-22.15,166.4666667
la foa,2778,00,-21.7166667,165.8166667
la medouya,,00,-21.6666667,165.6833333
la residence,,00,-21.6833333,165.6833333
la roche,,00,-21.4666667,168.0333333
la tarodiere,,00,-21.9666667,166.1666667
le caillou,,00,-20.35,164.4333333
le cresson,,00,-20.4833333,164.3
le diahot,,00,-20.3666667,164.4333333
le gabe,,00,-21.6,165.45
lekia,,00,-20.7,166.5
lekine,,00,-20.7,166.5
lekin,,00,-20.7,166.5
les charmes,,00,-20.5833333,164.4166667
les pirogues,,00,-22.2833333,166.6833333
limite,,00,-21.4666667,167.95
linderalique,,00,-20.6833333,164.9666667
lion,,00,-21.4833333,167.9333333
loangani,,00,-21.0333333,167.4166667
lo,,00,-21.4833333,167.8333333
lot,,00,-21.3833333,167.85
louneou,,00,-20.95,167.3666667
luecilla,,00,-20.9,167.2666667
luengoni,,00,-21.0333333,167.4166667
mahamate,,00,-20.2333333,164.3166667
maina,,00,-20.7333333,165.05
malabou,,00,-20.3,164.1166667
malhec,,00,-20.3333333,164.1833333
mamie,,00,-22.0666667,166.9
maneko,,00,-21.2833333,165.5833333
mangou,,00,-21.0666667,165.4166667
manguine,,00,-20.4,164.4166667
mea,,00,-21.4666667,165.7833333
mea-mebara,,00,-21.4666667,165.7833333
meare,,00,-21.7333333,165.8333333
meareu,,00,-21.3,165.5833333
mebuet,,00,-21.5166667,167.85
mechin,,00,-21.5,165.7333333
medaouya,,00,-21.3,165.5166667
medu,,00,-21.6166667,167.95
mehoue,,00,-21.5166667,165.95
me,,00,-21.3166667,165.5666667
menaku,,00,-21.45,167.9666667
menereme,,00,-21.5166667,165.9333333
meomo,,00,-21.2333333,165.6
meoui,,00,-21.3166667,165.65
messadiu,,00,-21.6333333,165.5333333
mevegon,,00,-21.1833333,165.5666667
mia,,00,-21.55,165.9833333
miramas,,00,-21.4833333,167.9833333
moindah,,00,-21.4166667,165.2333333
moindou,630,00,-21.7,165.6833333
moindu,,00,-21.7,165.6833333
momea,,00,-21.6666667,165.6333333
moneo,,00,-21.15,165.4833333
mont-dore,26237,00,-22.2833333,166.5833333
montfaoue,,00,-21.2666667,165.3
mouane,,00,-19.6,163.6
mouly,,00,-20.7333333,166.4333333
mou,,00,-21.1,165.4333333
muendu,,00,-21.7,165.6833333
mueo,,00,-21.3,165.0166667
muli,,00,-20.7333333,166.4333333
mu,,00,-21.1,165.4333333
mutchaweng,,00,-20.7333333,167.1666667
nada,,00,-21.1,167.4
naia,,00,-22.1666667,166.25
nakety,,00,-21.55,166.0333333
nakutakoin,,00,-22.1666667,166.4166667
namamate,,00,-21.0333333,167.4166667
namelagat,,00,-21.1,167.35
namemehu,,00,-20.65,166.55
nanawa,,00,-20.7666667,167.1
nanemuhata,,00,-20.7,167.2166667
nang,,00,-20.8166667,167.2333333
naniouni,,00,-22.1333333,166.2833333
nanon,,00,-21.5666667,165.8833333
napoemien,,00,-20.9666667,165.35
napoleonville,,00,-21.5333333,165.95
nassandou,,00,-22.0833333,166.25
nassirah,,00,-21.8,166.0666667
natae,,00,-21.0666667,167.4333333
natchaom,,00,-20.7166667,167.2166667
nathalo,,00,-20.7833333,167.2666667
nato,,00,-21.05,165.3666667
nato nepia,,00,-21.05,165.3666667
nde,,00,-22.15,166.3
ndji,,00,-22.4666667,166.7833333
neami,,00,-20.9833333,164.9666667
neaoua,,00,-21.3333333,165.65
nearia,,00,-21.2666667,165.6
neavin,,00,-21.1666667,165.4833333
neboueba,,00,-21.1,165.3
nece,,00,-21.4833333,167.85
nediouen,,00,-21.2666667,165.6166667
nedivin,,00,-21.3,165.5666667
negropo,,00,-21.5333333,165.9
nekliai,,00,-21.3,165.1833333
nekoue,,00,-21.2666667,165.6
nemeara,,00,-21.5166667,165.4666667
nemengui,,00,-21.5333333,165.95
neoua,,00,-21.4333333,165.6333333
neouio,,00,-21.2833333,165.6333333
neouta,,00,-21.0666667,165.3833333
neouty,,00,-21.0666667,165.3833333
nepoui,,00,-21.35,165.0
nepou,,00,-21.3666667,165.1
nera,,00,-21.6166667,165.4833333
nerin,,00,-21.3333333,165.35
nessadiou,,00,-21.6333333,165.5333333
nessa kouya,,00,-21.2833333,165.5166667
nessapoue,,00,-20.9666667,165.3666667
nesson,,00,-21.2666667,165.6166667
netchaot,,00,-21.0166667,165.0166667
netche,,00,-21.4833333,167.85
netea,,00,-21.2333333,165.2
netieh,,00,-21.4833333,167.85
nevaho,,00,-21.0,165.3666667
neya,,00,-21.2166667,165.5833333
nidenode,,00,-21.5666667,167.8833333
niere,,00,-21.4666667,168.0833333
nili,,00,-21.7,165.8166667
nimaha,,00,-20.6166667,166.5666667
nimbaye,,00,-21.0833333,165.3333333
nimbayes,,00,-21.0833333,165.3333333
nindiah,,00,-21.3,165.5833333
ni,,00,-21.4333333,165.4833333
niri,,00,-21.6,167.95
noeli,,00,-21.0166667,164.95
noet,,00,-20.2666667,164.2166667
nomoudja,,00,-20.1333333,164.0666667
nonhoue,,00,-21.5166667,165.95
normandie,,00,-22.2333333,166.4833333
noumea,93331,00,-22.2666667,166.45
nouville,,00,-22.2666667,166.4
numea,,00,-22.2666667,166.45
ognahu,,00,-20.6666667,166.5666667
ognat,,00,-20.4666667,166.65
ogne,,00,-20.4333333,166.6333333
olane,,00,-20.1,164.05
ometteux,,00,-21.0166667,165.4
ono,,00,-19.65,163.6333333
onwari,,00,-21.6833333,165.7833333
ouabao,,00,-21.6,167.9333333
ouaco,,00,-20.8333333,164.4666667
ouadila,,00,-20.6,166.5666667
ouaene,,00,-20.5833333,164.6166667
ouagap,,00,-20.8833333,165.2666667
