names,population,state_code,lat,lon
abada goungou,,05,13.3827778,2.2086111
abadam,,02,13.6333333,13.25
abala,,09,14.9333333,3.4333333
abalai,,09,14.9333333,3.4333333
abalak,13555,06,15.4522222,6.2783333
abalo,,06,14.3833333,6.3833333
abamate,,09,13.5138889,2.7722222
abardok,,01,17.5166667,8.65
abardokh,,01,17.5166667,8.65
abarey,,09,15.0772222,3.7841667
abaro,,05,13.9,0.6166667
abaza,,06,14.4166667,6.2
abdou,,07,14.8,8.0833333
abdou-koara,,03,13.05,3.5666667
abdou kwara,,03,13.05,3.5666667
abdouladji,,03,12.7666667,3.6666667
abegou,,04,14.15,8.2166667
abenguir,,04,14.8166667,6.6166667
abiggi,,04,14.0166667,7.7
abiggui,,04,14.0166667,7.7
aboka,,05,13.7333333,1.8333333
aboni-koara,,03,13.0166667,3.5333333
aboni kwara,,03,13.0166667,3.5333333
abonkor,,05,15.0,2.4666667
abouko koara,,03,12.5333333,2.9166667
abouko kwara,,03,12.5333333,2.9166667
abranga,,02,14.4833333,13.3833333
abzagor,,04,14.65,6.8666667
achenouma,,01,19.1277778,12.92
achouaden,,07,14.55,9.0333333
achouadene,,07,14.55,9.0333333
adabay,,03,13.7833333,3.5833333
adabaye,,03,13.7833333,3.5833333
adabda,,05,15.0833333,2.3333333
adam kole,,07,14.65,8.7333333
adankya,,07,14.7166667,7.8833333
adaoua,,03,14.2,4.6166667
adaouda,,01,17.7166667,8.95
adawa,,04,13.95,6.75
addare,,05,13.1,1.9166667
addia,,02,13.75,11.1333333
adebour,,02,13.3194444,11.8730556
adebur,,02,13.3194444,11.8730556
adekou,,07,14.8666667,8.6833333
adela,,04,14.55,6.7
aderawa,,04,13.45,7.1166667
aderbissinat,,01,15.6266667,7.8913889
adiga kaboy,,03,12.25,3.3666667
adiga-kaboye,,03,12.25,3.3666667
adiga lele,,03,12.2333333,3.35
adiga zanguina,,03,12.2833333,3.3166667
adinkia,,04,14.3,7.3333333
adjibo,,06,14.0333333,6.0333333
adjigidi,,05,14.7,3.2833333
adjiguidi,,05,14.7,3.2833333
adjiri,,02,14.05,13.0
adjiri,,07,14.6544444,9.2772222
adohi,,05,14.1666667,3.4333333
adoua,,03,13.1666667,3.95
adoua,,05,14.1666667,3.3166667
adoua,,07,14.8166667,8.5
adouda,,01,17.7166667,8.95
adoudouba,,07,14.8,8.6333333
adoukore,,05,14.3833333,1.1666667
adoumchi,,07,13.7466667,10.2402778
adouooui,,05,15.0333333,3.8833333
adouowi,,05,15.0333333,3.8833333
adwa kesa,,03,14.2,3.85
adwa kessa,,03,14.2,3.85
aekao,,04,13.3833333,6.8833333
aekao,,07,14.5666667,7.9833333
aeni-koye-koara,,03,12.6166667,3.25
aeni koy kwara,,03,12.6166667,3.25
afadekou,,07,14.9833333,8.9
afalawas,,07,14.7833333,8.6166667
afassa,,01,19.0666667,8.45
afodamata,,03,12.5666667,2.95
afole,,03,13.1333333,3.9833333
afonori,,07,14.6477778,9.0211111
agada,,07,14.65,7.7333333
agadem,,02,16.8333333,13.2833333
agades,,01,16.9738889,7.9908333
agadey,,05,14.1333333,3.3666667
agadez,88569,01,16.9738889,7.9908333
agaes,,05,14.3666667,3.45
aga gari,,05,13.85,0.8833333
agalali,,04,14.1666667,7.7833333
agali,,03,12.9491667,3.1825
agar,,04,14.2333333,7.25
agarous,,05,13.7333333,2.85
agata,,07,14.8,8.4833333
agawa,,04,13.85,6.4
agay,,05,14.9666667,3.7833333
agessis,,01,17.0666667,8.7166667
agnari,,03,13.7333333,3.95
agoda koira,,09,14.8133333,1.9744444
agonga,,03,12.75,3.6666667
agorou,,09,14.7313889,0.9194444
agouaoua,,03,13.25,4.0666667
agouawa,,03,13.25,4.0666667
agouberi,,05,13.8,2.95
agoudoufoga,,05,15.0,2.3666667
agouliza,,03,13.8333333,3.7666667
agourmi,,06,14.35,5.0833333
aguelal,,01,18.7058333,8.1588889
aguellal,,01,18.7058333,8.1588889
aguessis,,01,17.0666667,8.7166667
aguie,13153,04,13.5080556,7.7772222
agye,,04,13.5080556,7.7772222
ahaya,,07,14.15,8.8333333
ahmat,,07,14.45,7.7666667
aidara-koara,,03,13.2166667,3.65
aido,,07,14.8,8.15
aikaouel,,03,13.3666667,2.95
aila koubo,,05,14.2,1.4166667
ainsimourou,,05,13.9833333,2.8166667
ajekoria,,04,14.3402778,6.7875
ajia ibrahim,,04,14.3833333,7.1
aji,,04,14.05,8.1333333
ajia mijiniawa,,04,13.5333333,6.9833333
ajia saboa,,04,14.2,7.1666667
ajibo,,06,14.0333333,6.0333333
ajiefa,,04,13.5833333,6.75
ajya ibrahim,,04,14.3833333,7.1
akala,,04,14.4666667,7.35
akali,,04,13.6,6.6
akani,,04,13.5666667,6.6833333
akaraouane,,05,15.1,2.4333333
akarawan,,05,15.1,2.4333333
akarzaza,,06,15.1333333,6.35
akiata,,04,13.8333333,7.3666667
akka,,04,14.8666667,7.2833333
akkamari,,02,13.4127778,11.1161111
akoirori,,06,13.8333333,6.0833333
akora,,04,14.1666667,7.05
akora,,05,14.3666667,3.45
akoulma,,07,14.6333333,8.35
akourki,,07,14.75,8.4666667
akoyrori,,06,13.8333333,6.0833333
akrereb,,01,17.6061111,8.9297222
akwara,,05,14.8,3.3666667
alabata,,04,13.4833333,7.35
alachini,,07,14.7,7.7333333
aladji arou,,04,13.6166667,6.7
aladji dango,,04,13.6833333,7.1
aladji sami,,04,13.5,6.7833333
alagaza,,06,15.05,6.1
alakarbo,,04,14.0833333,7.2833333
alakaye,,06,14.4166667,5.7333333
alakey,,03,13.6333333,3.9666667
alalaba,,04,13.8666667,7.3
alallaga,,04,14.7833333,7.4833333
alambare,,09,12.6666667,2.2311111
alambare ouro alifone,,05,12.6833333,2.2666667
alareini,,09,13.3166667,1.5333333
alareni,,09,13.3166667,1.5333333
alarsas,,01,17.0166667,8.0
alasan,,04,14.0333333,7.55
ala serki,,04,13.7666667,6.95
ala serkin,,04,13.7666667,6.95
alassane,,04,14.0333333,7.55
alassane dey,,03,12.8,3.4
alassane-deye,,03,12.8,3.4
albarkaise,,03,12.0833333,3.2333333
albarkaize,,03,12.0833333,3.2333333
albarka koara,,03,12.35,3.5666667
albarka kwara,,03,12.35,3.5666667
albawa,,04,13.7833333,6.3666667
albora-koara,,03,12.2166667,3.0666667
albora kwara,,03,12.2166667,3.0666667
aledawa,,04,13.5333333,8.2666667
alela,,06,13.9166667,4.8166667
alenguel,,03,12.5833333,2.9
alfademata,,03,12.5666667,2.95
alfaize-koara,,03,13.1666667,3.65
alfaize kwara,,03,13.1666667,3.65
alfa-koara,,03,12.1666667,3.4333333
alfakoara,,03,12.6166667,2.9
alfa-koara,,03,13.1,3.5666667
alfa-koara,,05,12.4833333,2.8833333
alfa koura-koara,,03,12.2833333,3.1333333
alfa koura kwara,,03,12.2833333,3.1333333
alfa kwara,,03,12.1666667,3.4333333
alfa kwara,,05,12.4833333,2.8833333
alfari,,03,13.4666667,3.25
alfari,,04,13.75,6.8666667
alfaribe,,03,13.2666667,2.8666667
alfa sorire,,05,13.2,1.9166667
alfassi,,05,13.3208333,1.0327778
alfataouess,,07,14.7833333,8.6166667
alfelen,,07,14.3333333,8.4333333
alforma,,04,13.75,6.4
alforma bogwari,,04,14.0166667,7.3166667
alfourtouk,,04,13.7,6.3333333
algafia,,04,13.7,7.4666667
algoum,,04,14.2833333,7.3
alhadji,,04,14.25,7.6
alhadji arou,,04,13.6166667,6.7
alhadji dango,,04,13.6833333,7.1
alhadji dodo,,07,14.8,8.2166667
alhadji sami,,04,13.5,6.7833333
al hasan,,04,14.1333333,7.8
al hassane,,04,14.1333333,7.8
alhaze,,07,14.7833333,8.05
ali,,04,14.2166667,7.1833333
aliam,,05,14.6666667,0.8833333
alibou,,06,14.8,5.5166667
alidou-koara,,03,13.3333333,3.65
alidou kwara,,03,13.3333333,3.65
aliou,,06,14.8,6.25
alkama,,05,13.8166667,2.95
alkamari,,02,13.4127778,11.1161111
alkaouel,,03,13.3666667,2.95
alkonghi,,05,14.7333333,0.6
alkongui,,05,14.7333333,0.6
alkou,,04,13.6833333,7.5833333
allabara,,04,14.2,7.8833333
allah kabani,,04,13.6833333,6.5833333
allakai,,06,14.4166667,5.7333333
allambare,,09,12.6666667,2.2311111
allambere,,09,12.6666667,2.2311111
allanguel,,03,12.5833333,2.9
allareni,,09,13.3166667,1.5333333
alle,,04,14.35,7.1833333
allo,,07,14.75,8.1833333
almajir,,04,14.35,7.7833333
al moktar,,04,14.1666667,7.3333333
almou-koara,,03,13.2666667,3.55
almou kwara,,03,13.2666667,3.55
alondi,,05,12.7666667,1.75
alore,,05,13.0833333,2.3166667
alou,,05,14.9666667,3.5833333
alougel,,03,12.5833333,2.9
alouguel,,03,12.5833333,2.9
aloulouba,,07,14.0666667,8.9
alsawa,,04,13.6333333,7.0833333
alzana fandou,,03,13.2,2.9166667
amagano,,04,14.3166667,7.1666667
amagay,,05,14.8,3.85
amalka,,04,13.6666667,6.95
amamara toudou,,03,12.5666667,3.5833333
amanawa,,04,14.5,7.35
amanbodi,,05,14.2833333,2.2166667
amani,,04,13.6333333,6.8666667
aman kayram,,07,14.2166667,8.6166667
amao,,03,12.2166667,3.1666667
amara,,05,14.4,1.0
amasgala,,04,14.2666667,8.3
amassaral,,05,13.95,3.2166667
amasse,,06,14.3333333,6.1833333
amaza zaga,,07,14.5666667,7.9333333
ambagoura,,06,14.3333333,4.6666667
