names,population,state_code,lat,lon
aabom,,10,4.7916667,7.1938889
aakaa,,26,7.0666667,8.9333333
aakyor,,26,7.05,8.6833333
aangel,,26,7.3666667,8.5833333
aayongu,,26,7.0666667,8.6666667
aayonso ndoor,,56,7.1666667,8.5
abaa,,26,7.0666667,8.8166667
aba,897613,10,5.1166667,7.3666667
aba,,23,11.0,7.7666667
aba,,26,6.8166667,9.6
aba,,32,7.7,3.5666667
aba,,35,8.5,12.2833333
aba,,56,7.35,8.1666667
aba ada,,32,7.6166667,3.75
aba adefoju,,32,7.5833333,3.3833333
aba adi,,42,7.7166667,4.5
aba ala,,10,5.05,7.4833333
abaal,,26,7.1166667,8.9833333
abaamo,,26,7.1,8.6666667
aba bale,,32,7.8166667,4.4166667
ababoko,,10,4.5661111,6.7113889
ababu,,32,7.5391667,3.8369444
abache,,56,7.35,7.6333333
abachi,,56,7.35,7.6333333
abada,,32,7.305,3.8172222
abadan,,27,13.6166667,13.2666667
abadawa,,46,10.3833333,8.7
abadogo,,12,7.5166667,11.3166667
abadu,,56,8.7516667,7.9577778
aba epo,,32,7.495,3.7913889
abafon,,16,6.6833333,3.5166667
abagana,,25,6.1833333,6.9833333
abagato,,44,11.7833333,11.2333333
abagbene,,10,4.6941667,6.1625
abagbo,,05,6.4083333,3.3822222
abagh,,56,8.3333333,9.0166667
abago,,12,7.3333333,10.2333333
aba goderi,,27,12.2666667,12.5833333
abagu,,35,8.8,12.3
abah,,36,6.0666667,6.4833333
abahwange,,26,7.0666667,8.6666667
aba ibadan,,32,7.6833333,3.5166667
aba ige,,32,7.2655556,3.8983333
aba ijesha,,32,7.5666667,3.4
abailenla,,32,7.2583333,3.8919444
abailenle,,32,7.2583333,3.8919444
abailfnla,,32,7.2583333,3.8919444
aba ilowa,,32,8.2,3.9166667
aba isale,,32,7.5547222,3.8636111
aba isu,,10,5.4,7.9833333
abaja-awwa,,47,6.3666667,7.3
abaja-owa,,47,6.3666667,7.3
abaja owi,,47,6.3666667,7.3
abaji,,11,8.4666667,6.95
abajikolo,,41,7.8166667,7.5333333
abaji okolo,,10,4.3655556,6.7163889
abajo,,43,8.8666667,11.35
abak,,21,4.9833333,7.7833333
abakaliki,134113,53,6.3333333,8.1
aba khalli,,27,11.9,14.4166667
abakire,,44,11.5333333,11.45
abako,,12,7.6333333,9.9
abakomerri,,44,13.0833333,12.0166667
abakpa,,23,10.5488889,7.4169444
abakpa,,56,7.35,7.85
abaku,,12,7.8166667,11.2833333
abaku,,18,8.6166667,4.0666667
abaku,,32,7.2666667,3.7
abak ukpum,,10,5.1833333,7.5833333
abakum,,12,7.7166667,11.0166667
aba-kuye,,32,7.2666667,4.0333333
abala,,10,5.1666667,7.4
abala,,28,5.4333333,7.1
abala,,36,6.0166667,6.6333333
abalabi,,05,6.8666667,3.1333333
aba ladunni,,18,8.0833333,4.3833333
abalago,,39,11.8833333,9.6666667
abalakiri,,10,4.7372222,6.9416667
abalala,,17,6.2166667,4.6666667
abalama,,10,4.7630556,6.8402778
abalam,,27,11.3833333,12.6166667
abama,,10,5.3,7.6166667
abam ama,,10,4.7775,7.0875
abana,,10,4.6,8.35
aban,,26,7.6166667,8.9333333
