names,population,state_code,lat,lon
abra vieja,,08,12.6666667,-86.2833333
achuapa,,08,13.05,-86.5833333
acoyapa,10011,04,11.9666667,-85.1666667
aduana,,10,12.0333333,-86.4666667
aduana,,17,14.9833333,-83.1666667
agua agria,,06,11.7833333,-85.9666667
agua amarilla,,12,13.05,-85.7
agua amarillas,,12,13.05,-85.7
agua caliente,,01,12.3833333,-85.7833333
agua caliente,,08,12.7,-86.8166667
aguacate,,02,11.8166667,-86.2
agua clara,,17,13.9666667,-84.5166667
agua dulce,,10,12.35,-86.1666667
agua fria,,12,12.7666667,-86.2833333
agua planta,,02,11.8166667,-86.2
aguas caliente de acayo,,02,11.6166667,-86.2
aguas calientes,,01,12.7,-85.15
aguas calientes,,04,12.15,-85.3833333
aguas calientes de acayo,,02,11.6166667,-86.2
ahuchuetes,,02,11.6166667,-86.3166667
ahuehuete,,02,11.6166667,-86.3166667
ahuehuito,,01,12.1833333,-85.6
alamicamba,,17,13.5,-84.2166667
alamikamba,,17,13.5,-84.2166667
alaska,,03,12.6333333,-86.9
alimicamba,,17,13.5,-84.2166667
almendro,,14,11.6833333,-84.7
alo,,17,13.65,-84.95
alsacia,,03,12.75,-86.9
altagracia,,15,11.5666667,-85.5833333
alta mira,,01,12.1166667,-85.7666667
altos,,11,12.0666667,-86.1
amaka,,07,14.25,-85.1166667
amaki,,17,14.6666667,-84.7
amalia,,06,11.7166667,-86.05
amatilla,,13,13.6333333,-86.6333333
amatillo,,13,13.6333333,-86.6333333
amatitan,,08,12.3666667,-86.75
amatitan viejo,,08,12.3833333,-86.75
amatitlan,,08,12.3666667,-86.75
amaya,,02,11.7833333,-86.2833333
amayito,,02,11.7166667,-86.3333333
amayo,,02,11.7833333,-86.2833333
amayo,,15,11.3166667,-85.7
america,,10,11.9833333,-86.35
america,,14,10.9333333,-83.7166667
amerisco,,18,11.2,-83.85
amerrisco,,18,11.2,-83.85
amparo,,17,13.65,-84.8333333
amucayan,,09,13.5666667,-86.35
andres,,17,14.8833333,-83.6333333
angel,,09,13.2666667,-86.6666667
anris,,17,14.8833333,-83.6333333
anris tara,,07,14.7666667,-84.9333333
apaji,,13,13.6333333,-86.5166667
apaji rancho,,13,13.6333333,-86.5166667
apali,,13,13.6833333,-86.2333333
apalili,,12,13.0,-85.9666667
apamico,,12,12.9166667,-86.0666667
apampoa,,15,11.5166667,-85.85
apante,,03,12.8333333,-87.35
apante,,10,11.9666667,-86.4833333
apastate,,03,12.65,-86.9833333
apatus,,12,12.7833333,-85.95
apinpua,,02,11.7833333,-86.2833333
apompoa,,15,11.5166667,-85.85
apompua,,02,11.7833333,-86.2833333
apompua,,12,12.8,-86.1
apompua,,15,11.5166667,-85.85
aposentillo,,03,12.6333333,-87.3666667
araditos,,03,13.25,-86.8333333
arado,,03,13.25,-86.7666667
arados,,03,13.25,-86.7666667
arandak,,07,14.5,-85.0
aranjuez,,08,12.3666667,-86.8333333
arapal,,07,13.7833333,-85.4
argelia,,03,12.6666667,-86.95
ariswatla,,17,13.4,-83.5833333
arlen siu,,18,12.2,-84.2833333
arrayan,,13,13.6833333,-86.3166667
asabalbali,,07,14.2,-85.1833333
asan,,17,14.7333333,-84.75
asancor,,12,12.85,-85.65
asang,,17,14.7333333,-84.75
asaog,,17,14.7333333,-84.75
aserradero sanders,,17,14.1,-83.55
aserrio bum,,17,14.1,-83.55
aserrio wiwas,,17,14.4,-83.7833333
asososca,,08,12.4333333,-86.6666667
astillero,,15,11.5,-86.1666667
