names,population,state_code,lat,lon
1e exloermond,,01,52.95,6.9666667
2e exloermond,,01,52.9166667,6.9666667
2e valthermond,,01,52.9,7.0333333
2e vlotbrug,,11,51.85,4.2
aadorp,,15,52.3666667,6.6333333
aagtdorn,,07,52.6833333,4.7
aagtdorp,,07,52.6833333,4.7
aagtekerke,,10,51.55,3.5166667
aaien,,05,51.5833333,6.05
aaijen,,05,51.5833333,6.05
aalanden,,15,52.5333333,6.1
aalbeek,,05,50.9,5.85
aalburg,12472,06,51.75,5.1333333
aalden,,01,52.7833333,6.7333333
aaldonk,,05,51.7166667,6.0
aalsmeer,22969,07,52.2666667,4.7666667
aalsmeerderbrug,,07,52.2666667,4.75
aalst,,03,51.7833333,5.1333333
aalst,,06,51.4,5.4833333
aalsum,,02,53.3333333,6.0
aalsum,,04,53.3,6.3666667
aalten,18856,03,51.9333333,6.5833333
aalzum,,02,53.3333333,6.0
aam,,03,51.9166667,5.8666667
aan de berg,,05,51.1333333,5.95
aan de bergen,,05,51.2666667,5.8833333
aan de maas,,05,50.9333333,5.7333333
aan de popelaar,,05,51.05,5.95
aandepoppelaar,,05,51.05,5.95
aan de school,,05,51.0666667,5.9666667
aan de zuwe,,09,52.1666667,4.9
aan het broek,,05,51.1333333,6.0833333
aan reijans,,05,51.05,5.9333333
aanschot,,06,51.5,5.4666667
aanwas,,06,51.3833333,4.3166667
aard,,03,51.9,6.0833333
aardam,,11,52.1666667,4.7666667
aardenburg,,10,51.2833333,3.45
aardenhout,,07,52.3666667,4.6
aardswoud,,07,52.75,4.95
aardt,,03,51.9,6.0833333
aarlanderveen,,11,52.1333333,4.7333333
aarle,,06,51.5166667,5.3666667
aartswoud,,07,52.75,4.95
aartwoud,,07,52.75,4.95
aasterberg,,05,51.1,5.85
aasterein,,02,53.4,5.3833333
abbega,,02,53.0166667,5.5666667
abbegaasterketting,,02,53.0333333,5.5666667
abbekerk,,07,52.7333333,5.0166667
abbekinderen,,10,51.4833333,3.9166667
abbenbroek,,11,51.85,4.25
abbenes,,07,52.2333333,4.6
abbengawier,,02,53.0666667,5.7833333
abbestede,,07,52.85,4.7166667
abbeweer,,02,53.0666667,5.7833333
abbewier,,02,53.3833333,6.15
abbingawier,,02,53.0666667,5.7833333
abcoude,,09,52.2666667,4.9666667
abcoven,,06,51.5333333,5.0833333
abdissenbosch,,05,50.9166667,6.0333333
abkoude,,09,52.2666667,4.9666667
absdale,,10,51.2666667,4.0
abshoven,,05,50.9666667,5.85
abswoude,,11,51.9833333,4.35
abtsdale,,10,51.2666667,4.0
abtswoude,,11,51.9833333,4.35
achlum,,02,53.15,5.4833333
acht,,06,51.4833333,5.4333333
achterberg,,09,51.9666667,5.6
achterbos,,09,52.2166667,4.9333333
achterbosch,,06,51.4166667,5.7833333
achterbosch,,09,52.2166667,4.9333333
achterbroek,,06,51.4333333,5.6833333
achterbroek,,11,51.9666667,4.7
achter de vree,,03,52.4333333,5.95
achterdiep,,04,53.1833333,6.7833333
achterdijk,,01,52.7666667,6.4
achterdijk,,06,51.65,4.6166667
achterdijk,,11,51.8833333,5.05
achterdrempt,,03,52.0166667,6.1833333
achtereind,,06,51.3833333,5.5
achter het klooster,,05,51.25,5.8833333
achterhoek,,03,52.2166667,5.4166667
achterhoek,,11,51.9666667,4.7
achterhoek,,15,52.25,6.4833333
achterhroek,,11,51.9666667,4.7
achter-lindt,,11,51.8166667,4.5833333
achterlo,,03,51.8166667,5.7333333
achterom,,01,52.7333333,6.5166667
achtersloot,,09,52.0333333,5.0166667
achterste brug,,06,51.2833333,5.4333333
achterste diesdonk,,06,51.4333333,5.7166667
achterste distelberg,,06,51.65,5.2333333
achterste erm,,01,52.75,6.8333333
achterste hees,,05,51.4166667,6.0
achterste heide,,06,51.7666667,5.5833333
achterste heikant,,06,51.35,5.15
achterste hermalen,,06,51.6,5.4
achterstehoek,,03,51.95,6.0166667
achterste rith,,06,51.55,4.7166667
achter-thesinge,,04,53.2833333,6.65
achterveld,,09,52.1333333,5.5
achter-weel,,03,51.9666667,6.1666667
achterwehl,,03,51.9666667,6.1666667
achterwetering,,09,52.15,5.15
achthoven,,09,52.05,4.9833333
achthoven,,11,51.9666667,5.0
achthuizen,,11,51.6833333,4.2833333
achtmaal,,06,51.45,4.5833333
