names,population,state_code,lat,lon
a,1145,09,63.966667,10.216667
a,1145,16,63.966667,10.2
a,,18,68.783333,17.766667
aa,,09,67.883333,12.983333
aa,,18,68.783333,17.766667
aabjorgan,,09,65.016667,12.75
aabol,,20,59.166667,10.216667
aadalsbruk,,06,60.783333,11.3
aadland,,07,60.366667,5.483333
aadneram,,19,59.016667,6.933333
aadneskaar,,19,58.083333,6.983333
aaen,,16,62.983333,9.75
aaenget,,09,66.316667,14.233333
aafarnes,,08,62.666667,7.516667
aafoss,,17,59.2,9.533333
aag,,09,66.716667,13.466667
aagedal,,19,58.4,7.416667
aagskardet,,09,66.716667,13.466667
aagskaret,,09,66.716667,13.466667
aaker,,04,60.55,8.266667
aaker,,09,66.166667,12.566667
aakeroen,,09,66.15,12.55
aakerviken,,09,65.716667,13.95
aaklangberget,,06,60.1,12.116667
aaknes,,09,68.966667,15.45
aakra,,07,59.783333,6.1
aakre,,06,61.716667,11.2
aakre,,07,60.45,6.733333
aakrehamn,,14,59.266667,5.183333
aakvaag,,02,58.668056,9.184167
aakvik,,08,63.333333,8.466667
aakvik,,09,65.166667,12.283333
aal,,04,60.633333,8.566667
aal,,11,60.35,10.583333
aalbu,,16,62.616667,9.5
aalefjaer,,19,58.233333,8.033333
aalen,,15,61.466667,5.416667
aalen,,16,62.85,11.283333
aalesund,,08,62.466667,6.15
aalfoten,,15,61.833333,5.666667
aalgaard,,14,58.766667,5.85
aalmo,,08,63.2,8.433333
aalo,,19,58.05,7.7
aalset,,11,60.9,10.316667
aalstad,,09,67.915,15.175833
aalvik,,07,60.433333,6.433333
aamdal,,19,58.133333,6.683333
aamdals vaerk,,17,59.366667,8.05
aamelfot,,08,62.016667,5.85
aamland,,02,58.566667,7.866667
aamland,,19,58.366667,6.983333
aamli,,20,58.983333,9.85
aamnes,,09,66.783333,13.35
aamot,,01,59.85,11.666667
aamot,,04,59.9,9.9
aamot,,06,61.133333,11.383333
aamot,,11,60.65,9.966667
aamot,,14,58.35,6.316667
aamot,,15,61.616667,6.733333
aamot-modum,,04,59.9,9.9
aamoyhamn,,09,66.75,13.25
aamsosen,,14,59.466667,5.716667
aana-sira,,14,58.3,6.433333
aandal,,08,62.866667,7.566667
aandalen,,11,60.75,10.566667
aandervaag,,18,68.916667,17.166667
aaneby,,01,60.083333,10.866667
aaneland,,02,58.583333,7.866667
aanes,,09,65.9,13.45
aanes,,10,64.433333,13.466667
aangstad,,09,68.516667,14.733333
aannerud,,06,60.183333,11.883333
aannestad,,04,59.5,9.866667
aanstad,,09,68.533333,14.7
aanstad,,18,68.820556,17.199167
aansvik,,09,67.45,15.483333
aapaasdal,,02,58.483333,7.616667
aapaasland,,02,58.466667,7.583333
aarabrot,,14,59.433333,5.25
aarak,,14,59.533333,5.816667
aaraksbo,,02,58.916667,7.75
aarbogen,,16,64,10.483333
aardal,,14,59.15,6.2
aardal,,15,61.55,6.35
aarestad,,14,58.55,6.2
aarevik,,15,62.2,5.166667
aarfor,,10,64.95,11.966667
aargaard,,10,64.266667,11.183333
aarheim,,15,61.883333,6.716667
aarhejm,,15,61.883333,6.716667
aarhogen,,16,64,10.483333
aarland,,07,60,5.1
aarlifoss,,17,59.683333,9.133333
aarmoen,,10,64.866667,12.45
aarnes,,01,60.15,11.466667
aarnes,,08,62.983333,8.516667
aarnes,,10,64.583333,11.266667
aarnes,,16,63.966667,10.233333
aaro,,08,62.75,7.266667
aaro,,17,58.883333,9.366667
aarobugt,,18,69.65,20.3
aaros,,20,59.016667,9.9
aarsand,,09,65.05,12.2
aarsby,,11,60.633333,11.05
aarset,,08,62.2,7.166667
aarsland,,14,58.583333,5.65
aarstad,,10,63.766667,11.8
aarstad,,14,58.333333,6.283333
aarstein,,09,68.266667,15.016667
aarstein,,18,68.688333,17.555278
aarum,,13,59.266667,11.116667
aarvaag,,08,63.35,8.85
aarvik,,07,60.166667,6.116667
aarvik,,15,62.2,5.166667
aarvik,,18,70.2,20.533333
aarviksand,,18,70.2,20.533333
aas,,01,59.666667,10.8
aas,,02,58.333333,8.283333
aas,,09,66.4,13.166667
aas,,16,62.916667,9.8
aas,,19,58.016667,7.65
aas,,20,59.616667,10.2
aasalien,,16,63.116667,10.65
aasan,,10,64.166667,12.466667
aasane,,07,60.474444,5.325
aasanvangene,,06,62.333333,10.8
aasaroy,,14,59.416667,6.116667
aasaunet,,09,65.133333,12.216667
aasberg,,04,60.416667,8.433333
aasbo,,07,60.569444,5.074722
aasbogrend,,04,60.2,9
aase,,07,60.583333,5.3
aase,,09,69.016667,15.8
aasegg,,16,64.25,10.633333
aasen,,04,60.2,10.05
aasen,,06,60.533333,11.9
aasen,,07,60.016667,5.833333
aasen,,08,62.95,8.7
aasen,,09,66.066667,12.9
aasen,,10,63.6,11.05
aasen,,11,60.833333,10.583333
aaseral,,19,58.616667,7.416667
aaserod,,14,59.416667,6.116667
aaserum,,20,59.166667,10.083333
aaset,,06,61.066667,11.35
aasgaard,,08,63.016667,8.5
aasgaardstrand,,20,59.348889,10.4675
aasgardann,,04,60.716667,8.966667
aashaug,,06,62.383333,10.933333
aasheim,,07,60.566667,5.5
aasjorden,,09,67.75,15.05
aasland,,14,59.3,6.166667
aasland,,19,58.6,7.4
aaslandsgrend,,17,59.233333,8.05
aasmulen,,10,64.65,12.65
aasnaes,,15,61.333333,5.2
aasnes,,06,60.6,11.966667
aaspenaes,,15,61.766667,5.1
aasskard,,08,63.016667,8.5
aassveet,,10,64.683333,12.733333
aastveit,,07,60.45,5.316667
aastvejt,,07,60.45,5.316667
aasvik,,09,66.4,13.166667
aatangen,,17,58.866667,9.35
aavesland,,02,58.6,7.9
aavik,,09,65.983333,12.85
abbedissa,,07,60.537778,5.016111
abbedisso,,07,60.537778,5.016111
abelnes,,19,58.233333,6.666667
abelsborg,,05,70.166667,28.783333
abelvaer,,10,64.733333,11.183333
abjora,,09,65.016667,12.75
abol,,20,59.166667,10.216667
aboren,,18,68.845,17.0475
abyrge,,15,61.233333,7.1
adal,,20,59.366667,10.4
adalsbruk,541,06,60.783333,11.3
adalsvollen,,10,63.666667,12.066667
adland,,07,60.273056,5.674444
adlandsvik,,07,60.531667,5.025556
adlandsviki,,07,60.531667,5.025556
adnavik,,07,59.758056,5.750556
adne,,20,59.571111,10.386667
adneram,,19,59.016667,6.933333
adneskor,,19,58.083333,6.983333
aeli,,16,63.333333,10.083333
aelilokken,,16,63.333333,10.066667
aen,,07,60.666667,6.45
aen,,16,62.983333,9.75
aenes,,07,60.1,6.133333
aenget,,09,66.316667,14.233333
aeri,,15,61.083333,7.516667
aervik,,16,63.75,8.833333
aesvik,,09,66.7,13.366667
afarnes,,08,62.666667,7.516667
afdal,,07,60.733333,6.483333
afjord,,16,63.966667,10.2
afloisen,,16,63.666667,8.566667
aflojsen,,16,63.666667,8.566667
afoss,,17,59.2,9.533333
aftraet,,16,63.2,10.966667
aftret,,16,63.2,10.966667
ag,,09,66.716667,13.466667
agdestein,,07,59.865556,5.523611
agedal,,19,58.4,7.416667
aglapsvika,,18,69.466667,18.233333
aglapsvik,,18,69.466667,18.233333
agle,,10,64.283333,12.516667
agnefest,,19,58.133333,7.05
agnes,,20,59.016667,10.033333
agotnes,1431,07,60.406111,5.018889
