names,population,state_code,lat,lon
achham,,00,29.05,81.3
aiselukharka,,00,27.35,86.75
aisvalukharka,,00,27.35,86.75
aisyalukharka,,00,27.35,86.75
amardaha,,00,26.5333333,87.5666667
amariya,,00,28.6833333,80.4333333
amile,,00,27.9666667,82.2
amlekganj,,00,27.2833333,84.9833333
amlekhagang,,00,27.2833333,84.9833333
amlekhgang,,00,27.2833333,84.9833333
amlekhganj,,00,27.2833333,84.9833333
amlekhsagunz,,00,27.2833333,84.9833333
amlia,,00,28.7833333,80.25
amraia,,00,28.6833333,80.4333333
andia,,00,28.7833333,80.25
andrauli,,00,27.5666667,84.1833333
angbung,,00,27.2666667,87.7333333
arghakot,,00,28.0166667,83.1
arughat bazar,,00,28.05,84.8
asaina,,00,28.8833333,80.3333333
ataria,,00,28.8,80.5666667
athmauza,,00,26.45,87.6833333
athpali,,00,29.65,80.8166667
atrauli,,00,27.1,85.6166667
aulgurta,,00,28.9166667,82.5
autaria,,00,28.8,80.5666667
bachhuwa,,00,28.8166667,80.25
badagaon,,00,27.6833333,85.4166667
badiarpatti,,00,26.6333333,86.3333333
bagar,,00,29.05,80.75
bagarchhap,,00,28.5166667,84.35
baglung,23297,00,28.2666667,83.6
baglung bazar,,00,28.2666667,83.6
bahadurganj,,00,27.5333333,82.8333333
bahairawah,,00,27.6833333,83.4166667
bahasi,,00,28.9666667,80.2
bahrabise,,00,27.7833333,85.9
baijnathpurwa,,00,28.1666667,81.6666667
bailikot,,00,28.1166667,82.5333333
baindoli,,00,28.65,80.8
bairia,,00,27.0,85.3833333
baitadi,,00,29.5333333,80.4333333
bajang,,00,29.5333333,81.0833333
bajhang,,00,29.5333333,81.0833333
bajura,,00,29.3833333,81.3166667
bakarkot,,00,29.3,80.5166667
bakhri kharka,,00,28.3666667,84.1166667
balaju,,00,27.7333333,85.3
balapur,,00,28.1,82.2333333
baldenggarhi,,00,27.8166667,83.3166667
balkot,,00,27.9666667,83.2333333
balma,,00,28.85,80.1333333
