names,population,state_code,lat,lon
alofi,624,00,-19.0166667,-169.9166667
avatele,122,00,-19.1,-169.9166667
fatiau,,00,-19.1166667,-169.9
hakupu,221,00,-19.1,-169.8333333
hikutivake,,00,-18.9333333,-169.8833333
huvalu,,00,-19.0666667,-169.8
lakepa,86,00,-18.9833333,-169.8
liha,,00,-18.95,-169.8
liku,71,00,-19.0333333,-169.7833333
makefu,85,00,-18.9833333,-169.9166667
mamakula,,00,-18.95,-169.9
matalave,,00,-18.95,-169.9
mutalau,129,00,-18.9333333,-169.8333333
namukulu,14,00,-18.95,-169.9
taoli,,00,-19.1,-169.8833333
tuapa,126,00,-18.95,-169.9
