names,population,state_code,lat,lon
abbotsford,,00,-45.883333,170.416667
adams flat,,00,-46.116667,169.833333
addington,,00,-43.55,172.616667
admiralty bay,,00,-40.95,173.916667
ahaura,,00,-42.35,171.533333
ahikiwi,,00,-35.783333,173.733333
ahimia,,00,-36.85,175.483333
ahipara,1093,00,-35.166667,173.166667
ahititi,,00,-38.433333,178.05
ahuiti,,00,-39.633333,175
ahurangi,,00,-39.7,175.116667
ahuriri,,00,-39.483333,176.9
ahuriri village,,00,-39.248889,177.861944
ahuroa,,00,-36.483333,174.566667
aickens,,00,-42.783333,171.616667
aka aka,,00,-37.3,174.766667
akatore,,00,-46.15,170.116667
akerama,,00,-35.483333,174.166667
akitio,,00,-40.6,176.416667
albany,,00,-36.716667,174.7
albert road,,00,-39.166667,174.133333
albert town,,00,-44.683333,169.2
albury,,00,-44.233333,170.866667
alford forest,,00,-43.616667,171.5
alfredton,,00,-40.683333,175.85
algies bay,,00,-36.435278,174.740278
allandale,,00,-43.65,172.65
allanton,,00,-45.916667,170.266667
allerton,,00,-39.674444,176.824167
alma,,00,-45.116667,170.916667
altimarloch,,00,-41.733333,173.866667
altimarlock,,00,-41.733333,173.866667
alton,,00,-39.666667,174.45
amberley,1105,00,-43.166667,172.733333
amodeo,,00,-36.666667,175.433333
amodeo bay,,00,-36.666667,175.433333
anama,,00,-43.75,171.433333
annat,,00,-43.383333,172
aohanga,,00,-40.676944,176.351111
aokautere,,00,-40.366667,175.666667
aongatete,,00,-37.616667,175.95
aorere,,00,-40.716667,172.6
aotea,,00,-37.916667,174.8
aotuhia,,00,-39.25,174.816667
aparima,,00,-46.083333,168.05
apata,,00,-37.65,176
apiti,,00,-39.966667,175.883333
appleby,,00,-41.3,173.116667
arahura,,00,-42.666667,171.033333
arai point,,00,-36.166667,174.616667
aramiro,,00,-37.883333,175.05
aramoana,,00,-45.783333,170.7
aramoho,,00,-39.916667,175.05
aranga,,00,-35.733333,173.616667
aranui,,00,-43.516667,172.7
arapae,,00,-38.416667,175.083333
arapito,,00,-41.266667,172.166667
arapohue,,00,-35.983333,173.966667
arapuni,,00,-38.066667,175.65
ararata,,00,-39.516667,174.366667
ararimu,,00,-37.15,175.033333
aratapu,,00,-36.016667,173.9
arcadia,,00,-44.733333,168.366667
ardlussa,,00,-45.816667,168.65
ardmore,,00,-37.033333,175
ardmore college,,00,-37.033333,175
argyll east,,00,-39.866667,176.533333
aria,,00,-38.55,174.983333
ariki,,00,-41.8,172.216667
aropaki,,00,-46.283333,167.733333
arthur pass,,00,-42.95,171.566667
arthur's pass,,00,-42.95,171.566667
arthurs point,,00,-44.983333,168.666667
arthurton,,00,-46.116667,169.166667
arundel,,00,-43.983333,171.283333
ashhurst,,00,-40.3,175.75
ashley,,00,-43.283333,172.6
ashley bank,,00,-43.283333,172.6
ashley clinton,,00,-39.95,176.25
ashton,,00,-44.033333,171.766667
ashwick flat,,00,-44,170.833333
ataahua,,00,-43.783333,172.65
atapo,,00,-41.616667,172.783333
atarau,,00,-42.333333,171.483333
atawhai,,00,-41.233333,173.316667
atene,,00,-39.733333,175.15
athenree,563,00,-37.466667,175.916667
athol,,00,-45.516667,168.583333
atiamuri,,00,-38.383333,176.016667
atiamuri bridge,,00,-38.383333,176.016667
auckland,417910,00,-36.866667,174.766667
aukopae,,00,-38.9,175.166667
auroa,,00,-39.483333,174.05
autawa,,00,-39.216667,174.466667
avondale,,00,-36.883333,174.7
awaawakino,,00,-37.966667,177.45
awahuri,,00,-40.266667,175.516667
awa-iti,,00,-40.866667,173
awakaponga,,00,-37.933333,176.766667
awakeri,,00,-38,176.9
awakino,,00,-38.65,174.633333
awamangu,,00,-46.1,169.65
awamarino,,00,-38.266667,174.8
awamoko,,00,-44.933333,170.883333
awamunga,,00,-46.1,169.65
awanui,388,00,-35.05,173.25
awapiri,,00,-41.833333,173.733333
awaroa,,00,-36.816667,175.116667
awarua,,00,-35.583333,173.85
awarua plains,,00,-46.483333,168.383333
