names,population,state_code,lat,lon
abajo bonito,,07,7.5,-80.5666667
aceite,,05,7.6344444,-78.1819444
acequia de cochea,,02,8.5833333,-82.4166667
acequias abajo,,02,8.6,-82.45
acequias arriba,,02,8.6166667,-82.4666667
achiote,,04,9.2227778,-80.0191667
achiotillal,,10,8.55,-80.9333333
achoertupo,,09,9.5,-78.95
achotal,,02,8.5,-82.25
achutupo,1753,09,9.2,-77.9833333
achutupo numero 2,,09,9.2,-77.9833333
achutupo numero dos,,09,9.2,-77.9833333
achutupo numero uno,,09,9.5666667,-78.9
achutupu,,09,9.2,-77.9833333
aclita,,10,8.05,-81.1333333
acuatupo,,09,9.455,-79.0
acuatupo no. 1,,09,9.455,-79.0
acuatupo numero uno,,09,9.455,-79.0
adentro lajas,,02,8.25,-81.8833333
africa,,01,9.15,-82.3166667
agua azules,,06,7.8833333,-80.9166667
agua azules,,07,7.4166667,-80.5166667
agua bendita,,08,9.1666667,-79.6166667
agua blanca,,03,8.4833333,-80.65
agua blanca,,08,9.0666667,-79.25
agua blanca,,10,7.9805556,-81.4252778
agua buena,1069,07,7.5333333,-80.1833333
agua buena,,08,8.7833333,-79.8333333
agua caliente,,07,7.45,-80.6166667
agua caliente,,10,8.5166667,-80.8833333
aguacatal,,02,8.4666667,-82.4666667
aguacatal,,10,8.3333333,-80.9666667
aguacatales,,10,7.8166667,-81.0
aguacate,,01,8.95,-82.1166667
aguacate,,02,8.4666667,-81.6666667
aguacate,,03,8.5333333,-80.1
aguacate,,04,8.9930556,-80.2152778
aguacate,,06,7.8,-80.6666667
aguacate,,08,8.9383333,-79.9852778
aguacate,,10,8.2833333,-81.4833333
aguacatillo,,08,8.4833333,-80.0833333
aguacatillo,,10,8.3666667,-81.4666667
agua clara,,04,9.1833333,-79.6833333
agua de salud,,10,8.5,-81.4666667
aguadilla,,05,8.4641667,-78.1208333
aguadulce,,01,9.2833333,-82.4666667
aguadulce,17238,03,8.25,-80.55
agua fria,,03,8.4166667,-80.3333333
agua fria,,10,7.4166667,-80.8166667
agua mina,,08,8.55,-79.9166667
agua rica,,08,8.8,-79.8333333
agua salud,,10,8.4666667,-81.4833333
aguas azules,,06,7.8833333,-80.9333333
aguas azules,,07,7.4166667,-80.5166667
aguas blancas,,03,8.4833333,-80.65
aguas buenas,,07,7.45,-80.35
aguas buenas,,08,9.1166667,-79.6
aguas calientes,,07,7.45,-80.6166667
aguas claras,,03,8.6666667,-80.4
aguas claras,,04,9.1833333,-79.6833333
aguas claras,,08,9.2144444,-78.6833333
aguas frias,,03,8.4166667,-80.3333333
agua sucia,,04,9.2666667,-79.75
agua viva,,10,8.2166667,-81.2833333
aguila,,03,8.9525,-80.1913889
ahoga yegua,,08,8.95,-79.7333333
aidirgandi,,09,9.3666667,-78.3666667
ailigandi,1652,09,9.2333333,-78.0166667
ailingandi,,09,9.2333333,-78.0166667
alambique,,02,8.3666667,-82.0833333
alanje,1361,02,8.4,-82.55
alberrys creek,,01,9.2833333,-82.1166667
albina,,03,8.6,-80.4833333
albrook,,08,8.9666667,-79.5666667
alcaldediaz,,08,9.1166667,-79.55
alcarreto,,04,9.1,-80.2
alfagia,,04,9.25,-79.7833333
alfajia,,04,9.25,-79.7833333
algarrabo,,02,8.5,-82.4333333
algarrobal,,02,8.55,-82.25
algarrobal,,03,8.6666667,-80.4833333
algarrobo,,02,8.3333333,-81.5666667
algarrobo,,04,9.2236111,-80.1019444
algarrobo,,08,8.6,-79.9
algarrobos,,04,9.2236111,-80.1019444
alligator creek,,01,8.8333333,-81.5666667
almirante,8114,01,9.3,-82.4
almirante,,04,9.55,-79.6
altamira,,08,9.0666667,-79.4666667
altamira,,10,8.1,-81.4833333
alto algarrobo,,02,8.3333333,-81.5666667
alto bonito,,02,8.3833333,-82.0666667
alto bonito,,03,8.45,-80.65
alto bonito,,08,9.0,-79.7166667
alto boquete,,02,8.75,-82.4333333
alto boro,,10,8.1833333,-81.3333333
alto caballero,,02,8.2833333,-81.6833333
alto cana,,02,8.4333333,-81.7833333
alto cedro,,02,8.3833333,-81.7
alto cienaga,,02,8.45,-81.65
alto conejo,,02,8.45,-81.6166667
alto corotu,,02,8.5666667,-82.3166667
alto corrales,,02,8.4,-82.1833333
alto de ambrosio,,06,7.7333333,-80.9
