names,population,state_code,lat,lon
3 de octubre,,02,-9.1166667,-78.55
abancai,,03,-13.6338889,-72.8813889
abancay,55299,03,-13.6338889,-72.8813889
abas chacra,,04,-15.4305556,-73.4975
abisinia,,11,-13.9833333,-75.7
abracala,,04,-16.1163889,-71.7327778
abra de huillque,,08,-13.45,-72.3666667
abrojal,,14,-6.3666667,-79.8166667
abujao,,25,-8.1833333,-73.7666667
aburgos,,13,-8.3166667,-78.1833333
acabara,,05,-13.1194444,-73.9502778
acachare,,15,-12.2833333,-76.2
acacoto,,15,-11.7166667,-76.8833333
acain,,15,-10.8933333,-76.8008333
acalcane,,04,-15.0411111,-72.4494444
acallario,,05,-13.85,-74.5333333
acanane,,21,-15.4,-69.3333333
acancocha,,12,-11.0261111,-75.7577778
acanuari,,08,-14.7958333,-71.6805556
acapampa,,21,-15.3666667,-70.0666667
acapulco,,24,-3.7436111,-80.7777778
acaray,,15,-11.0666667,-77.55
acaray hacienda,,15,-11.0666667,-77.55
acari,4465,04,-15.4311111,-74.6158333
acaricocha,,12,-11.15,-75.7666667
acas,,02,-10.45,-77.3166667
acathuta,,23,-17.3166667,-69.7166667
acavilla,,04,-15.4166667,-74.3166667
accepata,,04,-15.2147222,-71.3363889
acce punco,,08,-14.2572222,-71.2966667
accerane,,08,-14.6361111,-71.9244444
accha,,08,-13.9738889,-71.8266667
acchabamba,,08,-13.85,-72.0833333
acchabamba hacienda,,08,-13.85,-72.0833333
acchanca,,04,-15.7372222,-72.5611111
acchapuna,,04,-15.4786111,-72.9452778
acchimachay,,05,-13.35,-74.8
acchupata,,06,-7.3,-78.0333333
accitinquina,,04,-15.5775,-71.7575
accmay,,05,-13.75,-73.9666667
acco,,02,-9.0666667,-77.1
acco,,04,-15.1047222,-72.8938889
acco,,08,-14.2005556,-71.4366667
accocancha alto,,12,-12.1833333,-75.45
accoccasa,,05,-13.5333333,-74.3333333
accoccasa,,09,-13.8833333,-75.1833333
accocerca,,09,-13.1333333,-74.95
accocucho,,09,-13.1833333,-74.6166667
accocunca,,05,-13.8833333,-74.0166667
accocunca,,08,-14.7694444,-71.2541667
acco cunca,,08,-14.7694444,-71.2541667
accocunta,,04,-15.2063889,-71.6852778
accohuasa,,08,-14.9227778,-71.5041667
accohuaycco,,05,-15.1333333,-74.25
accoma,,04,-15.7466667,-71.3697222
accomarca,,05,-13.8033333,-73.9041667
accomocco,,05,-13.5833333,-74.2
accontana,,04,-15.5333333,-71.3291667
acco-pampa,,02,-9.2833333,-77.6
accopampa,,09,-13.0833333,-74.9333333
accopata,,04,-15.3502778,-71.3563889
accopata,,05,-13.2833333,-74.8333333
accopinata,,04,-15.1908333,-71.3830556
accopunco,,04,-14.9363889,-71.825
accopuquio,,05,-13.1833333,-74.3833333
acco rana,,04,-15.3994444,-71.2555556
accorane,,04,-15.2322222,-71.3933333
accoro,,05,-13.4666667,-74.6666667
accosanqui,,05,-15.0833333,-73.7833333
accositanga,,05,-15.2036111,-73.1869444
accosora,,04,-15.2266667,-71.3133333
acco sututo,,08,-14.6130556,-71.9197222
accota,,04,-15.6672222,-72.4911111
accotana,,04,-15.2727778,-71.8858333
accotira,,04,-15.0997222,-71.24
accoytanca,,04,-15.2008333,-71.2594444
accpitan,,03,-13.85,-72.4333333
accsahua,,09,-13.15,-74.9
acctapa,,05,-14.4666667,-74.3
accuata,,21,-15.0888889,-70.9169444
acequia alta,,04,-16.36,-71.5430556
acerca,,15,-11.0958333,-76.6986111
aceroccollo,,08,-14.8005556,-71.79
acero patjata,,21,-16.25,-69.1333333
achacala,,18,-16.7166667,-70.35
achacalane,,18,-16.6833333,-70.5666667
achacana,,09,-13.6166667,-74.9666667
achacarca,,21,-15.0166667,-69.55
achacco,,04,-15.1536111,-71.6205556
achachorcro,,04,-15.335,-71.7627778
achaco,,04,-15.2244444,-72.4822222
achaco,,11,-14.8333333,-74.9833333
achaco bajo,,11,-14.8333333,-74.9833333
achaco hacienda,,11,-14.8333333,-74.9833333
achacota,,04,-15.5727778,-71.4338889
achacota hacienda,,04,-15.5727778,-71.4338889
achacpujo,,21,-16.8333333,-70.1
achacuas,,02,-9.1166667,-78.0333333
achacune,,04,-16.0333333,-71.0333333
achacutana,,04,-15.5016667,-71.1555556
achaguay alto,,01,-5.5897222,-78.4741667
achaguay bajo,,01,-5.6013889,-78.5083333
achaguay medio,,01,-5.5963889,-78.495
achahue,,08,-14.7786111,-71.6636111
achajrane,,08,-14.9622222,-71.5488889
achalaca,,04,-15.3005556,-71.3936111
achaluke,,08,-14.7133333,-71.6808333
achamocco,,21,-16.4166667,-69.6
achancayra,,03,-13.85,-72.2333333
achanizo,,04,-15.8061111,-73.9669444
achao,,15,-11.0022222,-76.7019444
achapicuta,,08,-14.7155556,-71.6066667
achara,,15,-12.0666667,-76.2166667
acharrape,,04,-15.2444444,-71.8527778
achatayhua,,04,-15.45,-73.8333333
achaya,,21,-15.2666667,-70.15
achaypina,,21,-16.4,-69.85
achcahuasi,,05,-13.3833333,-74.6666667
achcarajay,,09,-13.6833333,-74.9166667
achico,,09,-13.1833333,-74.8333333
achimpa,,10,-10.0366667,-76.4663889
achinamisa,,22,-6.4166667,-75.9
achipina,,04,-15.2205556,-71.3263889
achira,,20,-5.6975,-79.6636111
achiras,,10,-8.65,-76.5333333
achiras,,22,-7.75,-77.0666667
acho,,04,-15.6561111,-72.3077778
acho,,15,-12.9519444,-75.7652778
achoacorral,,05,-14.3127778,-73.7141667
achoma,,04,-15.6608333,-71.7008333
achombi,,04,-15.2030556,-72.8175
achotal,,14,-6.3911111,-79.7977778
achoucco,,21,-16.3333333,-69.85
achual tipisca,,16,-5.4505556,-75.8155556
achucala,,06,-6.3188889,-79.2608333
achuchata,,05,-13.2666667,-74.0333333
achullane,,21,-15.0,-69.5333333
achumane,,04,-15.1166667,-71.465
achumoyo,,08,-14.4269444,-71.0602778
achupallane,,04,-15.1341667,-71.5511111
achuranja,,04,-15.2986111,-71.1327778
achuta,,23,-17.35,-69.7166667
achutana,,04,-15.2044444,-71.2736111
achuyo,,04,-15.2063889,-71.6186111
acllacancha,,05,-14.6,-74.2833333
acllahuasi,,05,-13.0,-74.1833333
acmanunpata,,21,-15.2833333,-70.1666667
acmanupampa,,21,-15.2833333,-70.1666667
acno,,15,-12.4666667,-75.5833333
aco,,02,-10.5,-77.2333333
aco,,04,-15.3383333,-71.1425
aco,,08,-14.7694444,-71.2541667
aco,,12,-11.95,-75.3833333
aco,,15,-11.4311111,-76.8122222
acobamba,,03,-14.25,-72.2
acobamba,,08,-13.0833333,-71.8
acobamba,7193,09,-12.8666667,-74.5666667
acobamba,,10,-10.2677778,-76.2683333
acobamba,,12,-11.3527778,-75.6586111
acobamba,,15,-11.1772222,-76.6777778
acobamba,,19,-10.4511111,-76.1861111
acobamba hacienda,,03,-14.25,-72.2
acobamba hacienda,,10,-8.95,-77.0166667
acobambilla,,09,-12.6166667,-74.9833333
acobambilla,,10,-10.1888889,-76.2605556
acoccunca,,08,-14.7694444,-71.2541667
acochaca,,04,-15.8983333,-71.1269444
acochaca,,15,-11.4363889,-76.6119444
acochacra,,11,-13.1833333,-75.8333333
acochupa,,21,-15.6,-70.25
acococha,,10,-10.1788889,-76.3947222
acocollo,,08,-14.8044444,-71.8261111
acocollo,,21,-15.3038889,-70.9863889
acocollocucho,,21,-15.5802778,-70.8094444
acocoto,,15,-10.7833333,-77.3333333
acocra,,04,-15.8205556,-72.6577778
acocra,,09,-12.1666667,-75.0
acocro,,05,-13.2177778,-74.0433333
acocunca,,08,-14.7694444,-71.2541667
acocunca,,21,-15.4166667,-69.4166667
acohuarma,,09,-12.7833333,-74.9833333
acohuito,,04,-15.2694444,-71.3847222
acoichinca,,08,-15.3169444,-71.0344444
acoita,,21,-15.8361111,-70.8186111
acola,,05,-14.6666667,-74.2
acolla,6836,12,-11.7333333,-75.5666667
acomachay,,15,-11.3302778,-76.6166667
acomani,,04,-15.8438889,-71.2377778
acomarca,,09,-12.7833333,-74.9833333
acomayo,,04,-15.8113889,-71.2372222
acomayo,,08,-13.9166667,-71.6811111
acomayo,,09,-13.45,-75.3666667
acomayo,,10,-9.7666667,-76.0833333
acomayopata,,05,-13.4666667,-74.1333333
acomerine,,21,-15.5,-70.25
acon,,05,-12.1,-73.8666667
aconaguin,,15,-11.0097222,-76.8019444
acongollo,,23,-17.5216667,-70.59
acopallpa,,04,-15.6647222,-72.4925
acopampa,,02,-9.2833333,-77.6
acopampa,,21,-13.9,-70.5
acopara,,15,-11.0986111,-76.985
acopata,,08,-14.4672222,-71.1886111
acopata,,15,-10.685,-76.7463889
acopecho,,04,-15.6861111,-71.2488889
acopia,,08,-14.0586111,-71.4938889
acopinata,,04,-15.2766667,-71.3744444
acopucllo,,04,-15.3372222,-72.6325
aco pucro,,04,-15.1572222,-71.2733333
acopugio,,08,-14.2383333,-71.2377778
acopunco,,04,-15.6475,-71.3838889
acopunco,,08,-14.2666667,-72.1333333
acoquipa,,05,-15.2622222,-73.4261111
acoquipe,,05,-15.2622222,-73.4261111
acora,,09,-13.7833333,-75.3666667
acora,,21,-15.95,-69.7833333
acoria,,09,-12.6166667,-74.8833333
acos,,05,-12.1,-73.8666667
acos,,08,-13.9508333,-71.7372222
acos,,15,-11.2736111,-76.8208333
acospampa,,05,-13.4,-73.8833333
acos pueblo,,08,-13.9508333,-71.7372222
acostambo,,09,-12.4,-75.1
acosvinchos,,05,-13.1138889,-74.0977778
acota,,08,-14.2827778,-71.2341667
acotera,,04,-15.8161111,-71.4897222
acotira,,04,-15.3775,-71.0952778
acoya,,05,-13.1666667,-74.2833333
acoy,,04,-16.0205556,-72.4861111
acoyra,,03,-14.0,-72.0833333
acoyto,,03,-14.3833333,-72.2166667
acracocha,,12,-11.3108333,-75.695
acrocancha,,12,-11.2244444,-75.8
acsamacha,,05,-13.0977778,-73.8541667
acsamachay,,05,-13.0977778,-73.8541667
acshomachay,,15,-11.3477778,-76.6619444
acsuchacra,,12,-11.1447222,-75.5975
actapata,,04,-15.6005556,-71.3452778
actual tipishca,,16,-5.4505556,-75.8155556
acuay,,09,-13.05,-74.6833333
acucancha,,12,-12.45,-75.3333333
acuchay,,12,-11.5016667,-75.7019444
acuisho,,15,-11.5494444,-76.29
acumayo,,05,-13.5333333,-74.1666667
acunaya,,21,-15.8138889,-70.7766667
acupacha,,15,-12.9166667,-75.7863889
acupampa,,15,-12.7922222,-75.9041667
acupata,,15,-11.0022222,-76.7038889
acurucay,,16,-4.95,-75.5
acushica,,15,-11.6938889,-76.4183333
acutana,,21,-15.35,-70.7333333
aczo,,02,-9.2166667,-76.9666667
adope,,06,-6.5727778,-79.1880556
adriana,,13,-7.7336111,-79.4052778
afiladera,,20,-5.4,-79.6333333
afilayocc,,05,-14.2925,-73.7816667
agallpampa,,13,-7.9833333,-78.55
agchi,,05,-14.55,-73.8333333
agocancha,,12,-11.7252778,-76.1622222
agocasa,,13,-7.73,-77.9711111
agochinchan,,10,-10.2063889,-76.2688889
agopampa,,06,-6.0172222,-79.15
agoshusha pampa,,12,-11.7283333,-76.1736111
agrio,,05,-15.2166667,-74.2166667
agua,,15,-11.835,-76.2319444
agua azul,,20,-5.3833333,-79.65
agua bianca,,22,-6.7166667,-76.5833333
agua blanca,,06,-6.3019444,-79.0202778
agua blanca,,10,-10.0933333,-76.2380556
agua blanca,,15,-10.5666667,-77.1333333
agua blanca,,18,-16.6666667,-70.8
agua blanca,,22,-6.7166667,-76.5833333
agua blanca hacienda,,06,-7.05,-78.9833333
agua buena,,04,-16.5558333,-71.3158333
agua caliente,,04,-16.2241667,-71.7088889
agua caliente,,10,-8.8333333,-74.6833333
aguacancha,,15,-12.0,-76.2113889
aguachini,,19,-10.5133333,-74.9213889
agua colorada,,06,-6.4975,-79.2747222
agua colorada,,13,-8.0833333,-78.2666667
aguada,,04,-15.1958333,-72.3222222
aguada,,05,-14.9333333,-74.5833333
aguada,,11,-13.9666667,-75.4166667
aguada de la zorra,,04,-15.95,-74.0333333
aguada de lomas,,04,-15.5094444,-74.7991667
aguada de palos,,11,-14.3088889,-75.6738889
agua de palos,,11,-14.3088889,-75.6738889
agua dulce,,04,-16.3833333,-71.4166667
agua dulce,,06,-6.8569444,-78.2580556
agua dulce,,20,-4.5766667,-80.3619444
aguajal,,17,-12.25,-69.2333333
agualani,,21,-14.1,-69.7
agualegua,,04,-15.6205556,-72.0638889
aguallane,,21,-15.3833333,-69.9666667
agua milagro,,21,-16.7833333,-69.1833333
aguana cancha,,21,-14.4205556,-69.9163889
aguana muyuna,,22,-6.6166667,-76.1666667
aguanana muyuna,,22,-6.6166667,-76.1666667
aguano muyuna,,22,-6.6166667,-76.1666667
aguapichuana,,08,-14.5869444,-71.9122222
aguaquita,,02,-8.9,-78.1666667
aguar,,15,-10.835,-76.9858333
agua salada,,04,-16.2936111,-71.7791667
agua salada,,11,-14.7666667,-75.2333333
agua salada,,24,-4.1202778,-80.8747222
agua salada hacienda,,11,-14.7666667,-75.2333333
agua santa,,04,-15.6922222,-72.4911111
agua santa,,11,-13.6666667,-76.1666667
agua santa,,14,-5.9383333,-79.7966667
aguasbamba,,08,-13.9,-72.05
aguas blanca,,06,-7.2333333,-78.05
aguas caliente,,10,-8.8333333,-74.6833333
aguas calientes,,10,-8.8333333,-74.6833333
aguashuarco,,15,-11.0813889,-76.8388889
aguas muertas,,18,-17.1702778,-70.9133333
aguas negras,,16,-0.4333333,-75.35
aguas verdes,9147,24,-3.4813889,-80.245
aguaylla,,05,-13.0333333,-73.9333333
aguaytane,,03,-13.9666667,-72.5333333
aguaytia,,25,-9.05,-75.5
aguen,,15,-10.8952778,-76.8211111
aguila,,15,-11.0633333,-76.6955556
aguirre,,16,-3.6,-70.95
agupampa,,20,-5.3666667,-79.3833333
agupampa hacienda,,20,-5.3666667,-79.3833333
agustino,,15,-12.0666667,-77.0166667
ahorca,,04,-17.0497222,-71.7077778
ahuac,,12,-12.0666667,-75.35
ahuajo,,05,-13.4605556,-73.9663889
ahuancata,,08,-14.8666667,-71.2833333
ahuashiyacu,,22,-6.5066667,-76.3369444
ahuay,,09,-13.0166667,-74.6666667
ahuituyoc,,12,-11.3347222,-75.9788889
aicagranga,,15,-11.8341667,-76.1322222
aichamarca,,05,-13.8666667,-74.6333333
aichi,,11,-13.1833333,-75.9166667
aichune,,05,-15.5191667,-74.0219444
aichuta chico,,23,-17.35,-69.7333333
aichuta grande,,23,-17.35,-69.7166667
aigarrobo,,20,-4.5319444,-81.1616667
aiguay,,02,-10.0666667,-78.1
aihuarinca,,04,-15.6163889,-71.2472222
aija,,02,-9.7666667,-77.6333333
aijadero,,15,-10.7261111,-76.72
aillo ccollana,,21,-14.7333333,-70.3333333
aillo sillata,,21,-14.6833333,-70.3833333
aillo silluta,,21,-14.6833333,-70.3833333
aiparipa,,04,-15.8205556,-74.3722222
aipena,,16,-5.1,-75.65
airabamba,,05,-13.4913889,-73.8288889
airabamba hacienda,,05,-13.4913889,-73.8288889
airampuycco,,05,-15.6166667,-73.9166667
airihuanca,,03,-14.1047222,-72.6125
airijas,,25,-10.6944444,-73.7883333
airiputi,,21,-15.9833333,-69.5166667
airoca,,04,-15.45,-73.5
aisan,,21,-15.4,-70.3833333
aja,,11,-14.8166667,-74.95
aja hacienda,,11,-14.8166667,-74.95
ajalle,,05,-13.4833333,-74.6666667
ajana,,04,-16.2333333,-70.9833333
ajana,,21,-15.5202778,-70.6255556
ajapata,,21,-14.4433333,-69.6141667
ajepata,,04,-15.3216667,-71.1636111
aji,,22,-8.3011111,-76.6713889
ajicata,,04,-15.2575,-72.2244444
ajlahuito,,05,-15.1,-74.4666667
ajo,,05,-13.1833333,-74.3166667
ajobamaba,,15,-12.7291667,-75.8644444
ajocancha,,21,-15.8666667,-70.1666667
ajoccasa,,05,-13.35,-74.2666667
ajococha,,05,-13.0666667,-74.3833333
ajocucho,,21,-15.6833333,-70.1666667
ajo cunca,,21,-14.2408333,-69.9883333
ajolla,,05,-14.9333333,-73.8333333
ajolmayo,,09,-13.1166667,-74.6666667
ajomachay,,05,-13.25,-74.4
ajonchi,,11,-14.6,-74.9
ajopampa,,09,-13.0333333,-74.7
ajopata,,04,-15.2522222,-72.9083333
ajopita,,05,-14.3527778,-73.8822222
ajopucro,,09,-13.1,-74.75
ajopujro,,04,-15.1061111,-72.3169444
ajoscca,,05,-14.9833333,-73.8333333
ajoscca hacienda,,05,-14.9833333,-73.8333333
ajosmayo,,06,-6.8488889,-79.1697222
ajotanapata,,09,-13.0763889,-74.7458333
ajotapampa,,21,-15.9666667,-69.9
ajoyane,,04,-15.3647222,-71.1688889
