names,population,state_code,lat,lon
afaahiti,5186,00,-17.75,-149.2833333
afareaitu,3213,00,-17.55,-149.7833333
afatauri,,00,-17.7833333,-149.1333333
ahurei,,00,-27.6,-144.3166667
akamaru,,00,-23.1777778,-134.9147222
akaputu,,00,-23.0783333,-134.9366667
amaru,238,00,-22.6333333,-152.8333333
anaho,,00,-8.85,-140.05
anapoo,,00,-9.95,-139.1
anapoto,233,00,-22.6333333,-152.8666667
anatonu,247,00,-23.8833333,-147.6333333
anau,1413,00,-16.5166667,-151.7333333
anganui,,00,-23.1408333,-135.0413889
anua,,00,-23.3833333,-149.5
aoua,,00,-17.6666667,-149.5833333
apaura,,00,-17.5666667,-149.85
apeakava,,00,-23.0936111,-134.96
apihaa,,00,-17.7666667,-149.1333333
apomaoro,,00,-17.75,-149.5
arahiri,,00,-17.5166667,-149.5333333
araiteva,,00,-17.7666667,-149.45
araito,,00,-17.5333333,-149.8833333
area,,00,-27.6,-144.3166667
arue,9492,00,-17.5166667,-149.5
arve,,00,-17.5166667,-149.5
ataiti,,00,-17.75,-149.3833333
atiakoa,,00,-23.1158333,-134.9905556
atiaoha,,00,-23.1158333,-134.9905556
atihiva,,00,-17.7333333,-149.2666667
atihoi,,00,-23.0902778,-134.9666667
atimaono,,00,-17.7666667,-149.4666667
atipiti,,00,-16.45,-152.2666667
atirikigaro,,00,-23.0883333,-134.9447222
atitouiti,,00,-23.1305556,-134.9744444
atituiti,,00,-23.1305556,-134.9744444
atiue,,00,-17.6,-149.6166667
atouana,,00,-9.8,-139.0333333
atuana,,00,-9.8,-139.0333333
atuona,1762,00,-9.8,-139.0333333
aua,,00,-17.6666667,-149.5833333
auaue,,00,-17.75,-149.1333333
auorotini,,00,-21.4833333,-135.6333333
auti,,00,-22.4666667,-151.3333333
avae,,00,-17.5833333,-149.6
avatoru,,00,-14.9333333,-147.7
avera,711,00,-22.45,-151.35
d'hauti,,00,-22.4666667,-151.3333333
faaa,29389,00,-17.55,-149.6
faanoa,,00,-16.45,-152.2666667
faanui,2061,00,-16.4833333,-151.75
faaone,1747,00,-17.6666667,-149.3
faarumai,,00,-17.5166667,-149.3833333
faatautia,,00,-17.6333333,-149.3166667
faauanu,,00,-17.5333333,-149.35
fakamaru,,00,-20.7833333,-138.55
fakatopatere,,00,-14.7,-145.25
