names,population,state_code,lat,lon
ababe,,09,-6.2833333,145.6333333
ababigab,,12,-4.4833333,145.2666667
abadi,,03,-10.2,149.8333333
abam,,06,-8.9333333,143.1666667
abap,,12,-4.9666667,145.7
abar,,12,-5.0166667,145.6666667
abarabofi,,09,-6.3333333,145.6333333
abaro,,01,-9.4725,147.8925
abaru,,18,-3.9,141.2
abasakur number 2,,12,-4.7666667,145.2666667
abau,,01,-10.1833333,148.7
abau,,18,-3.3666667,143.0333333
abauia 1,,11,-3.7,143.4333333
abauia 2,,11,-3.7166667,143.4333333
abauia,,11,-3.7,143.4333333
abegani,,12,-4.35,144.8166667
abegu,,11,-3.7833333,142.7166667
abel,,03,-9.8,150.8666667
abel mission,,03,-9.8,150.8666667
aber,,12,-4.4166667,144.8333333
aberagerema,,06,-8.3,143.1
abiagerima,,09,-6.4833333,145.0166667
abiera,,09,-6.35,145.8333333
abigu,,18,-3.6833333,142.55
abigusa,,09,-6.05,145.7333333
abikal,,12,-5.8666667,145.7166667
abinakenu,,09,-6.2166667,145.9
abiontem,,18,-4.8,141.0
abisan,,12,-4.6833333,146.05
ablatak,,11,-4.0166667,142.6333333
ablingi,,17,-6.3166667,150.05
aboba,,05,-6.35,143.7333333
abomotasa,,09,-6.6333333,145.6833333
abonamo,,09,-6.2666667,146.05
abopisa,,09,-6.5666667,145.4333333
abouia,,18,-3.9333333,141.1666667
abouma,,05,-6.4666667,143.7666667
abrame,,11,-4.5666667,143.5333333
abrau,,18,-3.7666667,141.9666667
abua,,05,-6.0,143.6666667
abuari,,04,-9.0,147.75
abuaro,,03,-9.75,149.8833333
abuaru,,03,-9.75,149.8833333
abuipi,,02,-7.9,145.6833333
abunkamin,,18,-5.05,141.6833333
abunkamun,,18,-5.05,141.6833333
abusit 1,,11,-3.7666667,143.0333333
abusit 2,,11,-3.75,143.0166667
abusit,,11,-3.7666667,143.0333333
abwaia,,03,-9.5333333,150.8166667
adapa,,12,-4.8666667,145.55
adau river,,04,-9.7333333,148.7666667
adiabo,,04,-9.4666667,148.3833333
adiba,,06,-8.0666667,142.8666667
adiobo,,04,-9.4666667,148.3833333
adjmari,,06,-6.2,142.5
adjora,,11,-4.35,144.4833333
adjum,,12,-5.4833333,145.6
adu,,06,-6.2166667,142.2
aduai,,01,-8.7666667,147.3166667
aduap,,17,-6.05,149.5666667
adulu,,06,-8.4,143.0333333
adum,,09,-6.65,145.2
adumo,,09,-6.65,145.2
aduru,,06,-8.4,143.0333333
aeba,,06,-6.5166667,142.25
aepukl,,16,-5.65,144.1333333
aewa,,06,-6.8333333,141.3333333
aewe,,06,-8.0333333,141.7
afamatuna,,03,-9.7833333,149.8333333
afamonofi,,09,-6.25,145.7833333
afanal,,06,-8.8166667,142.8666667
afoia,,09,-5.95,145.2666667
afoiyufa,,09,-6.1833333,145.35
afong,,14,-6.4166667,147.55
afore,,04,-9.15,148.3833333
afua,,18,-3.3,142.5833333
afwo,,18,-3.5833333,141.1333333
aga,,09,-6.5666667,145.6166667
agabara,,06,-8.65,143.6166667
agafintegu,,09,-6.2333333,145.7333333
agaganda,,14,-7.2666667,146.4666667
agaigau,,08,-5.9666667,144.8666667
agamoia,,03,-9.55,150.6166667
agandagu,,08,-5.95,144.85
agarauna,,03,-10.6166667,151.0833333
agare,,05,-6.2166667,144.0333333
agenahambo,,04,-8.8166667,148.1
agenahombo,,04,-8.8166667,148.1
agenanambo,,04,-8.8166667,148.1
agi,,03,-10.0833333,149.9833333
agiba,,09,-6.45,145.2166667
agibu,,09,-6.4333333,145.1833333
agieina,,03,-9.5,150.3666667
agiliga,,16,-5.8333333,144.4833333
agilimka,,16,-5.95,144.8
