names,population,state_code,lat,lon
aabayat,,51,15.7666667,120.4166667
aasowao,,21,10.7333333,123.95
aaygayon,,55,11.5694444,125.0327778
aba,,16,13.6666667,123.0666667
aba,,30,10.95,122.5666667
ababut,,28,18.1569444,120.6958333
abaca,,06,10.4961111,121.9619444
abaca,2480,11,9.9163889,124.4994444
abaca,,14,17.5772222,121.8305556
abaca,,21,10.2166667,123.75
abaca,,23,11.6666667,125.0833333
abaca,,24,7.5141667,125.7244444
abaca,,28,18.5311111,120.7577778
abaca,2139,30,11.1380556,122.7111111
abaca,,37,11.0869444,124.9177778
abaca,,39,12.05,123.95
abaca,,45,10.55,123.4
abaca,,48,16.0094444,121.2083333
abaca,,54,12.55,122.1166667
abaca,,70,6.0652778,124.4661111
abacai,,28,18.5311111,120.7577778
abacca,,29,17.0333333,120.5666667
abaccan,,29,17.0333333,120.5666667
abachanan proper,,11,9.8072222,124.3238889
abacjanan,,11,9.7113889,124.3602778
abad,,H2,14.63,121.9377778
abaga,,34,7.9338889,123.7738889
abaga,,57,7.1666667,124.8166667
abaga,,62,8.9402778,125.9958333
abagai,,34,7.8,123.9
abagao,,14,18.2166667,121.7
abagao,,59,10.1777778,124.9886111
abagatanen,,51,16.1666667,119.7666667
abagon,,63,15.6102778,120.6083333
abagu,,34,7.8,123.9
abahid,,12,7.9666667,125.3166667
abalete,,40,13.5166667,120.4333333
abalos,,51,15.95,120.8333333
abanaban,,49,12.3119444,119.9230556
abane,,55,11.5988889,125.0813889
abang,,01,17.5166667,120.7333333
abang-abang,,30,10.8166667,122.4166667
abang,,H2,14.1333333,121.55
abangan norte,,13,14.7722222,120.94
abangan sur,,13,14.7686111,120.9463889
abangay,,18,11.2666667,122.4833333
abangay,2207,30,10.9666667,122.6333333
abango,,37,11.25,124.75
abangu,,37,11.25,124.75
abani,,55,11.5988889,125.0813889
abanon,,51,15.8833333,120.3166667
abanon sur,,51,15.8833333,120.3166667
abaquid,,01,17.6966667,120.6663889
abar 1,,47,15.7861111,120.9730556
abar,,47,15.7861111,120.9730556
abar primero,,47,15.7861111,120.9730556
abarriongan,,14,17.95,121.6
abarrongan,,14,17.95,121.6
abar segundo,,47,15.7833333,120.9666667
abas,,01,17.5,120.7666667
abas,,58,12.9627778,123.6680556
abat,,30,10.95,122.6333333
abatan,,10,16.8052778,120.83
abaton,,67,12.4788889,125.0427778
abaya,,29,17.1833333,120.4666667
abaya,,34,7.9338889,123.7738889
abay,,30,10.9,122.4333333
abbag,,68,16.2730556,121.6583333
abbangaran,,14,18.4333333,121.3666667
abbatuan,,31,16.9816667,122.0561111
abbeg,,14,17.84,121.6186111
abbeg norte,,14,17.84,121.6186111
abbeg sur,,14,17.8319444,121.6108333
abbel,,32,18.1166667,121.0666667
abbey,,01,17.2,120.75
abbey sur,,14,17.8319444,121.6108333
abbigoy,,32,17.5833333,121.35
abbot,,44,17.6833333,121.4166667
abbuatan,,31,17.3002778,121.8022222
abec,,28,18.35,120.6333333
abejao,,23,11.1833333,125.6166667
