names,population,state_code,lat,lon
abbau maradtken,,47,53.8,21.1833333
abrahamsheide,,47,53.9833333,19.95
abramow,,45,51.05,22.5333333
abramow,,70,50.7,22.7
abramowice,,39,49.8,20.2
abramowice koscielne,,45,51.2,22.5833333
abramowice prywatne,,45,51.2166667,22.6
abramowka,,27,51.3166667,23.15
abramy,,49,53.0166667,21.8666667
abschermeningken,,61,54.3361111,22.1266667
abstich,,47,53.7833333,20.3833333
abtei,,87,54.3333333,16.4
abtshagen,,87,54.3166667,16.35
achodden,,47,53.6333333,21.05
achrymowce,,24,53.5333333,23.55
adama,,36,50.4166667,20.2166667
adamczowice,,63,50.6666667,21.4833333
adamczycha,,49,53.1166667,21.2666667
adamek,,36,51.0833333,20.5166667
adamierz,,37,52.15,17.8
adamierz,,64,50.2,20.9
adaminowo,,68,52.6,19.2666667
adamkowa rola,,25,49.7666667,19.6333333
adamkowo,,26,53.5333333,17.7
adamow,,27,51.25,23.1166667
adamow,,29,50.8666667,19.3333333
adamow,,36,51.0333333,21.1666667
adamow,,37,52.2666667,18.0833333
adamow,,43,51.85,19.25
adamow,,51,51.1,19.2833333
adamow,,52,52.2666667,19.2833333
adamow,,55,51.6333333,21.3833333
adamow,,57,51.7333333,22.2666667
adamow,,58,51.8666667,19.0166667
adamow,,59,51.7666667,19.7
adamow,,70,50.6,23.1666667
adamowa gora,,59,52.2666667,20.2166667
adamowek,,67,52.3666667,20.7333333
adamowice,,35,50.1333333,18.3333333
adamowice,,59,51.95,20.4833333
adamowice,,63,50.6666667,21.4833333
adamowizna,,61,54.1833333,23.15
adamowka,,45,51.4,21.9333333
adamowka,,54,50.25,22.7
adamowka,,70,50.6833333,23.7333333
adamowka powisle,,45,51.4333333,21.9333333
adamow nowy,,43,51.8333333,19.25
adamowo,,26,53.4,17.3166667
adamowo,,28,52.9166667,20.1833333
adamowo,,37,52.45,18.05
adamowo,,68,52.95,19.2833333
adamowo,,71,52.1,16.15
adamow stary,,43,51.8333333,19.2166667
adampol,,45,51.2166667,22.7
adampol,,57,52.5166667,21.5833333
adampol-letnisko,,45,51.2,22.65
adamsgut,,47,53.7166667,20.1833333
adamsguth,,47,53.7166667,20.1833333
adamsheide,,47,53.4833333,20.3166667
adamsverdruss,,47,53.5833333,21.3833333
adelheitsthal,,87,53.7833333,16.9166667
adelige,,47,53.4333333,20.4166667
adelina,,45,51.15,22.15
adelina,,70,50.6666667,23.7833333
adelin,,49,52.5,21.45
adelinow,,51,51.2833333,19.8666667
adlersdorf,,61,54.0491667,22.1522222
adlershorst,,47,53.45,20.5333333
adlershorst kreis neidenburg,,47,53.45,20.5333333
adlig blumenau,,30,54.2,19.6
adlig camiontken,,47,53.4,20.2166667
adlig-fliessdorf,,61,53.9333333,22.1833333
adlig jucha,,61,53.9333333,22.1833333
adlig kamiontken,,47,53.4,20.2166667
adlig kessel,,61,53.7333333,21.85
adlig rakowen,,61,53.6166667,21.9666667
adlig symken,,61,53.6,21.9833333
adlig wolka,,47,54.0666667,20.75
adligwolken,,47,54.0666667,20.75
adlig wolla,,61,53.8833333,22.0666667
adling kamionken,,47,53.4,20.2166667
adolfin,,27,51.1833333,23.3
adolfin,,55,51.4666667,21.3833333
adolfow,,57,52.65,22.3
adolfowo,,50,52.9666667,17.0
adolfowo,,53,52.1166667,16.2333333
agatowka,,63,50.6,22.0166667
aggustowka,,67,52.1833333,21.1
agnieszezyn,,48,50.3833333,17.9
agnieszkow,,34,51.75,18.35
agnieszkowo,,52,52.9166667,19.5166667
agrafinowka,,61,54.15,22.75
agstein,,30,54.1833333,20.0666667
akacja,,34,51.5166667,18.1666667
akacyjki,,34,51.5166667,18.1666667
aksmanice,,54,49.6666667,22.75
akwizgran,,36,50.9333333,20.3833333
albertow,,29,51.0333333,18.8333333
albertow,,37,52.0166667,18.4166667
albertow,,45,51.3,23.05
albertow,,58,51.8,19.1833333
albertowsko,,53,52.2833333,16.2166667
albigowa,,56,50.0166667,22.2333333
albinow,,59,51.9666667,19.8333333
albinow,,66,50.7833333,16.6833333
albinow,,70,50.7166667,22.7333333
albrechtowko,,30,53.7333333,19.4333333
albrechtsdorf,,30,54.0833333,20.15
albrechtsdorf,,47,54.2619444,20.6658333
albrechtsfelde,,61,54.0333333,22.45
albrechtswalde,,47,53.7666667,19.6833333
albrechtswiesen,,61,54.2333333,21.95
aleksandria,,34,51.6,18.2333333
aleksandria,,59,52.0,20.4166667
aleksandria druga,,29,50.75,18.95
aleksandria pierwsza,,29,50.7666667,18.9833333
aleksandrja,,34,51.6,18.2333333
aleksandrja,,59,52.0,20.4166667
aleksandrja druga,,29,50.75,18.95
aleksandrja krzywowolska,,27,51.15,23.2666667
aleksandrja pierwsza,,29,50.7666667,18.9833333
aleksandrow,,23,51.7833333,23.35
aleksandrow,,29,50.7333333,19.6833333
aleksandrow,,34,51.9,18.2333333
aleksandrow,,36,50.4166667,20.5
aleksandrow,,37,52.0166667,18.65
aleksandrow,,43,51.8166667,19.3
aleksandrow,,51,51.2333333,19.5
aleksandrow,,52,52.3,19.95
aleksandrow,,53,52.0666667,17.4
aleksandrow,,55,51.0833333,21.6
aleksandrow,,57,51.9,22.4666667
aleksandrow,,58,51.2833333,18.9
aleksandrow,,59,52.15,20.3333333
aleksandrow,,63,50.9333333,21.9666667
aleksandrow,,67,51.9833333,20.95
aleksandrow,,68,52.8666667,18.7
aleksandrow,,70,50.4666667,22.9166667
aleksandrowek,,58,51.5666667,19.2
aleksandrowek,,63,50.8666667,22.45
aleksandrowice,,25,49.8166667,19.0166667
aleksandrowice,,39,50.0833333,19.7666667
aleksandrowka,,27,51.0833333,23.35
aleksandrowka,,45,51.4833333,22.4
aleksandrowka,,55,51.4166667,21.6333333
aleksandrowka,,57,51.9666667,22.1166667
aleksandrowka,,58,51.1833333,18.6666667
aleksandrowka,,59,51.7666667,20.2833333
aleksandrowka,,61,54.2833333,23.1166667
aleksandrowka,,63,50.8666667,22.45
aleksandrow kujawski,12285,68,52.8666667,18.7
aleksandrow lodzki,,43,51.8166667,19.3
aleksandrow maly,,36,51.0166667,21.4833333
aleksandrow nowy,,55,51.9333333,20.7333333
aleksandrowo,,24,52.5666667,22.8
aleksandrowo,,26,53.2166667,18.1333333
aleksandrowo,,44,53.3833333,22.3
aleksandrowo,,49,53.1666667,21.4166667
aleksandrowo,,52,52.6333333,19.9
aleksandrowo,,61,54.0833333,23.1666667
aleksandrowsk,,61,54.0833333,23.1666667
aleksandrowska-stawka,,45,51.2833333,22.4166667
alfonsow,,51,51.3333333,20.1333333
alfredow,,34,52.05,17.8166667
alfredowka,,63,50.4666667,21.75
alinowo,,37,52.4,18.15
alken,,30,54.1166667,20.0333333
allenbruch,,61,54.0333333,21.8666667
allenshteyn,,85,53.7833333,20.4833333
allenstein,,85,53.7833333,20.4833333
