names,population,state_code,lat,lon
abasan,,00,31.323333,34.346111
abasan al kabir,,00,31.323333,34.346111
abasan el-kabir,,00,31.323333,34.346111
abu al `ajaj,,00,32.117778,35.488333
`abud,,00,32.013889,35.066944
abu dis,,00,31.766667,35.266667
abu el `ajaj,,00,32.117778,35.488333
abu qash,,00,31.95,35.183333
abu qashsh,,00,31.95,35.183333
abu shueidin,,00,31.966667,35.166667
abu shukhaydim,,00,31.966667,35.166667
abu shukheidim,,00,31.966667,35.166667
`abwayn,,00,32.036944,35.2025
`abwein,,00,32.036944,35.2025
adam,,00,31.833333,35.266667
ad dahiriyah,,00,31.416667,34.966667
ad duyuk,,00,31.883333,35.433333
adh dhahiriya,,00,31.416667,34.966667
adnim,,00,32.066667,35.1
adora,,00,31.516667,34.983333
adorah,,00,31.55,35.016667
`ain `arik,,00,31.9,35.133333
ain `atara,,00,32.003056,35.206667
`ain nuwi`ima,,00,31.9,35.433333
ain qiniya,,00,31.933333,35.15
`ain yabrud,,00,31.95,35.25
`ajja,,00,32.361389,35.193889
`ajjah,,00,32.361389,35.193889
`ajjul,,00,32.024167,35.181111
akabeh,,00,32.350556,35.349167
al atrun,,00,31.833333,34.983333
al `attara,,00,32.327222,35.160833
al `attarah,,00,32.327222,35.160833
al `auja,,00,31.95,35.4
al `awja',,00,31.95,35.4
al `ayzariyah,,00,31.766667,35.266667
al barid,,00,32.466111,35.220833
al bira,,00,31.9,35.216667
al birah,,00,31.9,35.216667
al burayj,,00,31.439444,34.403056
al-bureij,,00,31.439444,34.403056
al `eizariya,,00,31.766667,35.266667
al fandaqumiya,,00,32.320833,35.203333
al fandaqumiyah,,00,32.320833,35.203333
al fasa'il,,00,32.033333,35.433333
alfe menashe,,00,32.166667,35
al funduq,,00,32.189722,35.133889
al haram,,00,31.783333,35.233333
al haram ash sharif,,00,31.783333,35.233333
al hashimiyah,,00,32.466111,35.220833
al jaba`,,00,31.683333,35.083333
al jab`ah,,00,31.683333,35.083333
al jakhadim,,00,32.45,35.216667
al janiya,,00,31.933333,35.116667
al janiyah,,00,31.933333,35.116667
al jardah,,00,32.016667,35.3
al jib,,00,31.85,35.183333
al judayrah,,00,31.866667,35.2
al judayyidah,,00,32.336111,35.3
al khadr,,00,31.7,35.166667
al khalil,,00,31.533333,35.1
al khidr,,00,31.7,35.166667
al latrun,,00,31.833333,34.983333
allen more,,00,32.221389,35.142222
allon,,00,31.816667,35.35
allon shevut,,00,31.666667,35.116667
al lubban,,00,32.033611,35.037778
al maghtis,,00,31.838056,35.544167
al makhruq,,00,32.130833,35.508056
al mashahira,,00,31.516667,34.466667
al mashahirah,,00,31.516667,34.466667
al mazra`ah al qibliyah,,00,31.95,35.15
al mazra`ah ash sharqiyah,,00,32.001667,35.2725
al mazra`at al qibliyah,,00,31.95,35.15
al midya,,00,31.933333,35
al midyah,,00,31.933333,35
almog,,00,31.75,35.466667
`almon,,00,31.816667,35.283333
al mughaiyir,,00,32.019722,35.344722
al mughayir,,00,32.019722,35.344722
al mughayyir,,00,32.019722,35.344722
alon-morah,,00,32.221389,35.142222
alon moreh,,00,32.221389,35.142222
al qubaybah,,00,31.833333,35.133333
al qubeiba,,00,31.833333,35.133333
al yamun,,00,32.4825,35.2275
`ammaos,,00,31.833333,35
`ammuriya,,00,32.062222,35.206667
`ammuriyah,,00,32.062222,35.206667
`ammurya,,00,32.062222,35.206667
`ammuryah,,00,32.062222,35.206667
`amwas,,00,31.833333,35
`anabta,,00,32.308056,35.118611
`anabtah,,00,32.308056,35.118611
`anata,,00,31.816667,35.266667
`anatot,,00,31.816667,35.266667
`anebta,,00,32.308056,35.118611
`anin,,00,32.501389,35.163333
an maqurah,,00,32.265,35.200278
an nabi ilyas,,00,32.184167,35.0175
an nabi salih,,00,32.0175,35.124722
an nabi samu'il,,00,31.833333,35.183333
an nabi samwil,,00,31.833333,35.183333
an naqura,,00,32.265,35.200278
an naqurah,,00,32.265,35.200278
an nazla al gharbiya,,00,32.4025,35.085
an nazla al wusta,,00,32.408611,35.093889
an nazla ash sharqiya,,00,32.411389,35.107222
an nazlah al gharbiyah,,00,32.4025,35.085
an nazlah al wusta,,00,32.408611,35.093889
an nazlah,,00,31.533333,34.483333
an nazlah ash sharqiyah,,00,32.411389,35.107222
an nazlat al wusta,,00,32.408611,35.093889
an nazlat ash sharqiyah,,00,32.411389,35.107222
an nuway`imah,,00,31.9,35.433333
`anza,,00,32.358889,35.22
`anzah,,00,32.358889,35.22
aqabe,,00,32.350556,35.349167
`aqqaba,,00,32.350556,35.349167
`aqqabah,,00,32.350556,35.349167
`aqqabe,,00,32.350556,35.349167
`aqraba,,00,32.1275,35.342222
`aqrabah,,00,32.1275,35.342222
`aqrabe,,00,32.1275,35.342222
`arabbuna,,00,32.516667,35.366667
`arabbunah,,00,32.516667,35.366667
arabeh,,00,32.405,35.201944
`araqa,,00,32.468333,35.199444
`araqah,,00,32.468333,35.199444
`arava,,00,32.405,35.201944
