names,population,state_code,lat,lon
abacao,,04,41.4,-8.2666667
abacas,,21,41.2166667,-7.7
abade de neiva,,04,41.5666667,-8.65
abade de vermoim,,04,41.3833333,-8.4833333
abades,,18,39.7666667,-8.4666667
abadessa,,13,39.5666667,-8.9333333
abadia,,13,39.7,-8.7666667
abadia,,14,39.1,-9.2
abadim,,04,41.5333333,-7.9833333
abambres,,05,41.55,-7.1833333
abambres,,21,41.3,-7.7166667
abecao,,20,42.0666667,-8.4166667
abedim,,20,41.9833333,-8.5
abegoaria,,16,39.0166667,-7.1333333
abegoaria,,19,38.7333333,-8.5333333
abegoaria,,23,38.5666667,-28.6166667
abegoes,,22,40.6333333,-7.7
abela,,19,38.0,-8.5666667
abelhal,,17,41.1,-8.0166667
abelheira,,04,41.6,-8.1
abelheira,,13,39.8666667,-8.5
abelheira,,14,39.2833333,-9.3166667
abelheira,,20,41.7,-8.8166667
abelheira,,22,40.6333333,-8.15
abelheiros,,04,41.4833333,-8.7166667
abella,,19,38.0,-8.5666667
abitureira,,02,40.95,-8.35
abitureira,,06,40.0,-7.9
abitureiras,,18,39.3166667,-8.7833333
abiul,,13,39.8666667,-8.5333333
aboa,,05,41.8333333,-7.1
aboadela,,17,41.2833333,-7.9833333
abobada,,14,38.7166667,-9.3333333
abobara,,09,37.1333333,-7.6
abobeleira,,21,41.75,-7.5
aboboda,,14,38.7166667,-9.3333333
aboboreira,,06,39.8,-7.6833333
aboboreira,,18,39.5833333,-8.05
abobreira,,14,39.0166667,-9.3
abobreira cimeira,,18,39.6333333,-8.3333333
abodaneira,,16,39.1833333,-7.4833333
aboim,,04,41.5333333,-8.0833333
aboim,,17,41.3166667,-8.0666667
aboim da nobrega,,04,41.75,-8.3833333
aboim das chocas,,20,41.9166667,-8.45
abol de cima,,17,41.0833333,-8.3
aboleira,,21,41.4666667,-7.4333333
aborim,,04,41.6166667,-8.65
abotega,,20,41.8666667,-8.7
abraa,,18,39.4166667,-8.7833333
abragao,,17,41.15,-8.2166667
abrancalha de baixo,,18,39.4666667,-8.2333333
abrancalha de cima,,18,39.4833333,-8.2166667
abrantes,13646,18,39.4666667,-8.2
abraveia,,07,40.2,-8.2833333
abraveses,9319,22,40.6666667,-7.9166667
abreiro,,05,41.35,-7.3
abre mar,,17,41.4,-8.7666667
abrigada,,14,39.1333333,-9.0166667
abrigueiro,,20,41.7666667,-8.7166667
abrunheira,,07,40.1166667,-8.7166667
abrunheira,,13,39.4333333,-9.0333333
abrunheira,,14,38.7666667,-9.3666667
abrunheiro grande,,06,39.7166667,-8.1833333
abrunhosa,,22,40.55,-7.7666667
abrunhosa-a-velha,,22,40.5833333,-7.65
abrunhosa do mato,,22,40.55,-7.7666667
abrunhosa velha,,22,40.5833333,-7.65
abrunhoza velha,,22,40.5833333,-7.65
abunheira,,02,40.5166667,-8.5166667
abutreira,,09,37.3,-8.7
abuxarda,,14,38.7166667,-9.4166667
acafora,,14,38.9,-9.4166667
aceifaos,,09,37.1833333,-7.7666667
achada,,23,37.85,-25.2666667
achada de cima,,10,32.7166667,-17.15
achada de gaula,,10,32.6666667,-16.8166667
achada do gamo,,03,37.65,-7.5
achada do marques,,10,32.7833333,-16.9
achadas da cruz,,10,32.8333333,-17.2166667
achadinha,,10,32.6666667,-16.85
achadinha,,23,37.85,-25.2833333
achete,,18,39.3333333,-8.7
acor,,06,40.1,-7.6333333
acor,,07,40.1666667,-7.9833333
acor,,09,37.35,-8.5833333
acorda,,18,39.0,-8.3166667
acoreira,,05,41.1333333,-7.0333333
acores,,02,40.6833333,-8.4666667
acores,,11,40.65,-7.3
a da beja,,14,38.7833333,-9.2333333
adaes,,04,41.5166667,-8.5666667
adagoi,,21,41.6166667,-7.65
adail,,03,37.8,-8.7333333
adais,,21,41.6166667,-7.4666667
a da longa,,14,38.8833333,-9.4
adao,,11,40.45,-7.1666667
adao lobo,,14,39.2333333,-9.1166667
a da pera,,14,38.95,-9.3333333
a da perra,,14,38.95,-9.3333333
a da rainha,,14,39.0666667,-9.15
adarse,,14,38.9,-9.0166667
a das carreiras,,14,39.0666667,-9.15
a das lebres,,14,38.85,-9.1666667
adaufe,3850,04,41.5833333,-8.4
