names,population,state_code,lat,lon
aakip,,00,7.3619444,134.5122222
achelap,,00,7.6333333,134.6375
acholl,,00,7.6683333,134.6327778
adkip,,00,7.3619444,134.5122222
admodhorom,,00,7.4547222,134.4777778
aebukuru,,00,7.3469444,134.4836111
agol,,00,7.6683333,134.6327778
a gol,,00,7.6936111,134.6280556
agoru,,00,7.6936111,134.6280556
aibukit,,00,7.6344444,134.6358333
aiebukl,,00,7.3469444,134.4836111
aiekasaol,,00,7.3416667,134.4872222
aiekasol,,00,7.3416667,134.4872222
a imelogel,,00,7.0372222,134.2613889
aimeong,,00,7.5275,134.5255556
a imeungs,,00,7.5275,134.5255556
a imig,,00,7.4180556,134.495
aimion,,00,7.5275,134.5255556
aimuul,,00,7.4180556,134.495
aiokako-suido,,00,7.6333333,134.6375
a ipelau,,00,7.5041667,134.6288889
a irai,,00,7.3575,134.5577778
airai,960,00,7.3575,134.5577778
airrai,,00,7.3575,134.5577778
aiungel,,00,7.7211111,134.6097222
aiyon,,00,7.7211111,134.6097222
aiyunguru,,00,7.7211111,134.6097222
akalak,,00,7.6333333,134.6375
akalokul,,00,7.0436111,134.2594444
akalokul point,,00,7.0436111,134.2594444
akarappu,,00,7.6333333,134.6375
akarokoro kaku,,00,7.0436111,134.2594444
akarokoro point,,00,7.0436111,134.2594444
akoru,,00,7.6683333,134.6327778
akrappu,,00,7.6333333,134.6333333
akuro,,00,7.6936111,134.6280556
alakasoho,,00,7.4675,134.6072222
almaska,,00,7.5638889,134.5472222
almonogui,,00,7.52,134.5013889
amarakarakkuru,,00,7.3833333,134.5777778
a meungs,,00,7.3519444,134.4544444
amiyonsu,,00,7.3519444,134.4544444
amodhorom,,00,7.4547222,134.4777778
amolon,,00,7.4166667,134.5833333
amoron,,00,7.4166667,134.5833333
amurmomur head,,00,7.6666667,134.6333333
amuromur head,,00,7.6666667,134.6333333
angkaklau,,00,7.5911111,134.6366667
angkaluau,,00,7.5911111,134.6366667
arabaketsu,,00,7.3333333,134.4722222
aracalong,,00,7.7002778,134.6386111
