names,population,state_code,lat,lon
24 de julio,,08,-25.0833333,-57.3
28 km paranambu,,01,-25.8166667,-54.8333333
abai,3024,05,-26.0333333,-55.9333333
aba-ne-e,,24,-21.9333333,-61.9333333
abay,,05,-26.0333333,-55.9333333
acahai,,15,-25.9166667,-57.15
acahay,3205,15,-25.9166667,-57.15
aca vera,,24,-23.5333333,-60.9333333
achaval,,24,-22.8333333,-61.7666667
administracion lunardelli,,02,-23.2333333,-55.85
agriex,,01,-26.1166667,-54.6833333
agua dulce,,23,-20.0166667,-59.7666667
aguaity,,08,-25.3333333,-57.0333333
aguara charte,,19,-23.8333333,-55.4833333
aguara-i,,23,-19.85,-58.5166667
aguaray,,23,-19.85,-58.5166667
aguay,,23,-19.45,-61.2166667
aguerito,,07,-22.9166667,-56.6666667
aguero,,24,-23.55,-61.2166667
aguilera,,24,-23.25,-60.35
aguirre,,12,-26.8333333,-57.55
aguirre,,24,-23.1166667,-60.0666667
ajos,,04,-25.4166667,-56.45
alberdi,6518,13,-26.1666667,-58.15
alberto,,23,-21.9666667,-57.9333333
alborada,,24,-22.7166667,-61.3666667
alborada dos,,11,-27.3,-55.7166667
alborada uno,,11,-27.2666667,-55.7
aldea loma plata,,24,-22.3833333,-59.85
alianza,,24,-23.6333333,-61.1333333
altos,4763,08,-25.2333333,-57.25
alto vera,642,11,-26.5833333,-55.6333333
aluralde,,24,-22.0,-62.2333333
alurralde,,24,-22.0,-62.2333333
alvar nunez cabeza de vaca,,19,-24.45,-54.35
amambay,,05,-25.9333333,-55.7833333
amarillo,,24,-22.9666667,-61.95
amarillo pericote,,24,-22.9666667,-61.95
anahi,,19,-24.2333333,-54.85
andres aquirye,,08,-25.25,-56.9333333
angelito,,01,-25.8,-55.4666667
angelito,,07,-23.2166667,-56.35
angostura,,06,-25.5333333,-57.6166667
angua,,12,-26.8833333,-57.4
antequera,2701,17,-24.1333333,-57.0833333
apipe,,13,-27.1,-57.8166667
apya,,17,-24.7166667,-56.1333333
arce rojas,,16,-23.4333333,-59.7166667
areco,,15,-25.7,-56.6666667
arecutacua,,08,-25.1,-57.3833333
arecutacue,,08,-25.1,-57.3833333
aregua,11224,06,-25.3,-57.4166667
arquitecto tomas romero pereira,,11,-26.4833333,-55.25
arrocera softo,,12,-26.7333333,-56.9
arroyito,,07,-23.2666667,-56.45
arroyito,,10,-25.7333333,-56.6166667
arroyo costa,,15,-26.1833333,-56.85
arroyo horco,,13,-27.0833333,-58.3666667
