names,population,state_code,lat,lon
abondance,,00,-21.0333333,55.6666667
a. dubuisson,,00,-21.15,55.2833333
aloes,,00,-21.25,55.45
anse,,00,-21.3166667,55.55
anse-les bas,,00,-21.35,55.55
anse-les hauts,,00,-21.3,55.5666667
aurelien dijoux,,00,-21.2,55.5166667
aurere,,00,-21.0,55.4333333
avenir,,00,-20.9166667,55.3333333
avirons,,00,-21.2333333,55.3333333
bagatelle,,00,-20.9166667,55.5833333
bain,,00,-21.05,55.5166667
baril,,00,-21.35,55.7333333
basse vallee,,00,-21.3666667,55.7166667
bassin martin,,00,-21.3,55.5166667
beaufond,,00,-20.9166667,55.5666667
beaufonds,,00,-20.9166667,55.5666667
beaufonds usine,,00,-21.0333333,55.7333333
beaulieu,,00,-21.0333333,55.7166667
beaumont,,00,-20.9166667,55.5333333
beauvallon,,00,-20.9833333,55.7
bebour,,00,-21.1,55.6
be cabot,,00,-21.0,55.5166667
bel air,,00,-20.8833333,55.5833333
bellemene,,00,-21.0,55.3
bellevue,,00,-21.1333333,55.8
berive,,00,-21.3,55.55
berive-les bas,,00,-21.3,55.5333333
bernica,,00,-21.0166667,55.2833333
bernica-les bas,,00,-21.0166667,55.2833333
bethleem,,00,-21.0333333,55.6833333
bois-blanc,,00,-21.1833333,55.8166667
bois court,,00,-21.1833333,55.55
bois de nefles,,00,-20.9,55.4833333
bois d'olive,,00,-21.2833333,55.45
bois d'olives,,00,-21.2833333,55.45
bois-rouge,,00,-20.9,55.5333333
bois rouqe usine,,00,-20.9,55.65
boucan canot,,00,-21.0166667,55.2166667
bourbier,,00,-21.0166667,55.7166667
bout de l'etang,,00,-20.9833333,55.2833333
bras canot,,00,-21.0333333,55.7
bras de ponteau,,00,-21.2166667,55.4833333
bras des calumets,,00,-21.1333333,55.6166667
bras des chevrettes,,00,-20.9333333,55.6166667
bras madeleine,,00,-21.0333333,55.7
bras magdeleine,,00,-21.0333333,55.7
bras-panon,10445,00,-20.9833333,55.6833333
bretagne,,00,-20.9,55.5
brule,,00,-20.9,55.4333333
cafrine,,00,-21.3333333,55.5166667
cambuston,,00,-20.9166667,55.65
camp de pierrot,,00,-21.05,55.4666667
camp jacquot,,00,-20.9833333,55.6833333
cap blanc,,00,-21.2666667,55.65
cap noir,,00,-20.9833333,55.3833333
carosse,,00,-21.35,55.6
casabona,,00,-21.3166667,55.4666667
cascades,,00,-21.15,55.8333333
champ-borne,,00,-20.9333333,55.6833333
chaudron,,00,-20.8833333,55.5
chemin cesar,,00,-21.35,55.5833333
chiendent,,00,-20.9166667,55.55
cilaos,6225,00,-21.1166667,55.4666667
coeur saignant,,00,-20.9166667,55.6833333
colimacons,,00,-21.1166667,55.3166667
colosse,,00,-20.9166667,55.6833333
commune ango,,00,-20.9333333,55.6166667
commune begue,,00,-20.9333333,55.6333333
commune carron,,00,-20.9166667,55.6166667
conde,,00,-21.2833333,55.5
confiance,,00,-21.05,55.7166667
convenance ancienne usine,,00,-20.8833333,55.5666667
convenance,,00,-20.8833333,55.5666667
demenjod,,00,-20.9,55.5
desbassyns,,00,-20.9,55.5
desert,,00,-20.95,55.6333333
dimitile,,00,-21.2833333,55.6
domenjod,,00,-20.9,55.5
dos d'ane,,00,-20.9666667,55.3833333
entre-deux,5788,00,-21.2333333,55.4666667
eperon,,00,-21.0333333,55.25
esperance,,00,-20.9166667,55.5166667
etang de saint andre,,00,-20.9166667,55.6666667
etang,,00,-20.9166667,55.6666667
etang-les hauts,,00,-21.1333333,55.3333333
etang-sale,,00,-21.25,55.3833333
etang-sale les bains,,00,-21.25,55.3333333
etanq les hauts,,00,-21.1333333,55.3333333
etan-sale-les-hauts,,00,-21.25,55.3833333
fiague,,00,-21.25,55.4333333
fiagues,,00,-21.25,55.4333333
filaos,,00,-21.0666667,55.2333333
flacourt,,00,-20.8833333,55.5666667
fleurimont,,00,-21.0333333,55.2666667
fleurs jaunes-les hauts,,00,-21.0,55.5333333
franche terre,,00,-20.8833333,55.5833333
f. sauger,,00,-21.0166667,55.25
gillot,,00,-20.8833333,55.5166667
girofle,,00,-21.3666667,55.7
gol,,00,-21.25,55.4
gol-le haut,,00,-21.2333333,55.4166667
grand bassin,,00,-21.1666667,55.5333333
grand bois,,00,-21.35,55.5333333
grand coude,,00,-21.2666667,55.6333333
grande anse,,00,-21.3666667,55.55
grande chaloupe,,00,-20.8833333,55.3833333
grande place,,00,-21.0333333,55.4166667
grande ravine,,00,-20.9,55.5833333
grand fond,,00,-21.0333333,55.2166667
grand fonds,,00,-21.0333333,55.2166667
grand galet,,00,-21.2833333,55.6333333
grand ilet,,00,-21.0166667,55.4833333
grands bois,,00,-21.35,55.5333333
halte-la,,00,-20.95,55.3333333
harmonie,,00,-21.0,55.7166667
hell-bourg,,00,-21.05,55.5333333
hermitage,,00,-21.0666667,55.2333333
ilet a cordes,,00,-21.1333333,55.4333333
ilet a dejeuner,,00,-20.9833333,55.4166667
ilet a guillaume,,00,-20.9333333,55.4166667
ilet a malheur,,00,-21.0166667,55.4333333
ilet a vidot,,00,-21.3,55.6166667
ilet bois-rouge,,00,-21.0166667,55.4
ilet denise,,00,-20.9666667,55.3666667
ilet de roche plate,,00,-21.2333333,55.6166667
ilet des lataniers,,00,-21.0333333,55.4
ilet du palmiste rouge,,00,-21.15,55.4833333
ilet du peter-boot,,00,-21.15,55.4666667
ilet flamand,,00,-20.9833333,55.4666667
ilet marron,,00,-21.2,55.5166667
ilet morin,,00,-21.0,55.5666667
ilet nourry,,00,-20.9833333,55.4
ilet ronde,,00,-21.2333333,55.45
ilet solitude,,00,-20.9666667,55.3666667
ilet techer,,00,-21.1833333,55.5166667
ilet tommic,,00,-21.15,55.4666667
jacques payet,,00,-21.3166667,55.6666667
jean petit,,00,-21.3166667,55.6333333
jean petit-les bas,,00,-21.35,55.6166667
la bretagne,,00,-20.9,55.5
la butte,,00,-20.9166667,55.3
la caroline,,00,-20.9833333,55.65
la chaloupe saint-leu,,00,-21.1166667,55.3166667
la chatoire,,00,-21.2666667,55.5166667
la crete,,00,-21.3333333,55.65
