names,population,state_code,lat,lon
16 februarie,,43,44.4666667,26.0333333
1 decembrie,,42,44.2908333,26.0580556
1 mai,,05,46.9833333,21.9833333
1 (prim) decembrie,,42,44.2908333,26.0580556
23 august,,12,45.5166667,22.4333333
23 august,,26,44.7125,22.7658333
23 august,,38,46.2,28.0166667
23 (douazeci si trei) august,,26,44.7125,22.7658333
23 mila,,37,45.1833333,29.4
2 mai,,14,43.7833333,28.5833333
30 decembrie,,38,46.3333333,27.85
30 decembrie,,42,44.2833333,26.05
6 martie,,37,44.7666667,28.8833333
6 martie,,38,46.4,27.5333333
abafaja,,27,46.75,24.7
abasfalva,,20,46.25,25.4333333
abdulah,,14,44.0833333,28.4833333
abram,3291,05,47.3166667,22.3833333
abramut,2962,05,47.3166667,22.25
abranfalva,,20,46.2166667,25.2833333
abrud,6122,01,46.2666667,23.0666667
abrud,,14,44.15,27.9833333
abrudsat,,01,46.2333333,23.05
abrud-sat,,01,46.2833333,23.0666667
abrud-sat-buninginea,,01,46.2333333,23.0333333
abrud-sat-ciuruleasa,,01,46.25,23.0333333
abrudsat-cristea,,01,46.3,23.0333333
abrudsat-seliste,,01,46.2833333,23.0833333
abrud-sat-soharu,,01,46.2666667,23.05
abrud-seliste,,01,46.2833333,23.0833333
abucea,,12,45.9,22.5333333
abud,,27,46.5166667,24.9166667
abus,,27,46.35,24.3833333
academia,,38,46.35,27.65
acas,2819,32,47.5333333,22.7833333
acatar,,27,46.4833333,24.6333333
acatari,4719,27,46.4833333,24.6333333
acbasi,,14,43.8,28.4333333
ac cadan,,37,45.0666667,28.5333333
ac-cadin,,37,45.0666667,28.5333333
achillea,,37,45.4166667,29.2833333
achimetesti,,12,46.3833333,22.8
aciliu,,33,45.8333333,23.8833333
acis,,32,47.5333333,22.7833333
aciua,,25,47.6833333,23.3666667
aciura,,36,46.3333333,22.4833333
aciuta,,36,46.2833333,22.45
acmariu,,01,45.9666667,23.3666667
acris,,09,45.65,25.9833333
acrisu,,09,45.65,25.9833333
adakale,,26,44.7166667,22.45
ada kaleh,,26,44.7166667,22.45
adalin,,13,47.0166667,23.45
