names,population,state_code,lat,lon
ablian,,00,44.947222,21.370833
abrangje,,00,42.913889,21.170556
abria e eperme,,00,42.634722,20.789444
abrije e eperme,,00,42.634722,20.789444
abrije e poshteme,,00,42.641389,20.753611
abthausen,,00,45.671111,18.984722
acareve,,00,42.65,20.716667
acimija,,00,43.739722,19.788333
acimovici,,00,43.882222,19.655278
acina,,00,42.344722,21.504722
ackovici,,00,43.149444,20.643889
acumincum,,00,45.142778,20.2575
ada,10259,00,45.8025,20.125833
adam mala,,00,42.186389,21.278056
adasevci,,00,45.0775,19.221111
adda,,00,45.8025,20.125833
ade,,00,42.665833,21.029444
adilovic mahala,,00,42.713333,21.253889
adimovci,,00,44.008056,19.664167
adorjan,,00,45.997222,20.040278
adrani,,00,43.764722,20.635556
adrovac,,00,44.233333,20.966667
adrovici,,00,43.459167,19.6125
adzica mala,,00,44.545833,19.441111
adzici,,00,42.743056,20.046389
adzine livade,,00,43.903889,20.872222
adzini,,00,42.344722,21.504722
adzovice,,00,43.218056,21.0925
adzovici,,00,42.709722,20.044167
adzt,,00,42.347222,21.538056
agus mahala,,00,42.259444,21.114167
agusovic-mahala,,00,42.366111,21.224167
ahishta,,00,43.0525,21.060833
ahishte-a,,00,42.454444,21.561389
ahishte,,00,43.0525,21.060833
ahmote,,00,42.336389,21.560833
ajdacici,,00,43.658056,20.200556
ajdarevic mahala,,00,42.651111,20.941667
ajducica,,00,45.249167,20.957222
ajetovic mahala,,00,42.718611,21.248333
ajkobila,,00,42.733333,21.478333
ajkovila,,00,42.733333,21.478333
ajnevce,,00,42.629167,21.546667
ajnovce,,00,42.629167,21.546667
ajvalija,,00,42.618056,21.180833
ajvazi,,00,42.453056,21.345556
akllap,,00,42.541389,21.241389
akmacici,,00,43.424167,19.870278
akosnice,,00,42.606667,21.253056
akrashtice,,00,42.825278,20.909444
alabak,,00,42.794444,21.220833
alabana,,00,43.292778,21.348611
alagina reka,,00,42.728333,20.159444
alakince,,00,42.695833,22.144167
alakinci,,00,42.695833,22.144167
alavandici,,00,43.253056,19.678056
albana e madhe,,00,42.603333,21.020556
albana e vogel,,00,42.606111,21.028333
albanci,,00,42.435278,22.1225
albanija,,00,43.391389,21.176111
albanik,,00,42.856667,21.249444
albaniku,,00,42.856667,21.249444
albona e eperme,,00,43.0075,21.118333
albona e poshtme,,00,42.988889,21.135278
aldinac,,00,43.529444,22.445556
aldina reka,,00,43.451944,22.516944
aldinci,,00,43.529444,22.445556
aleksandrovac,,00,44.445,21.211667
aleksandrov gaj,,00,45.292222,21.136667
aleksandrovo,,00,45.636944,20.592778
aleksa santic,,00,45.930833,19.329722
aleksici,,00,43.018611,21.318611
aleksinac,16652,00,43.541667,21.707778
aleksinacki bujmir,,00,43.512778,21.749167
aleksinacki rudnici uglja,,00,43.558056,21.691389
aleksine,,00,42.978056,22.289722
aleksino,,00,43.054444,21.409167
alexanderkirchen,,00,44.739167,20.6975
alibunar,3353,00,45.080833,20.965833
aliderce,,00,42.290833,21.733333
aligerce,,00,42.290833,21.733333
alil-mahala,,00,42.190833,21.213889
alin potok,,00,43.701389,19.7975
alisbrunn,,00,45.080833,20.965833
aliverovice,,00,43.145278,20.169167
alivit,,00,42.340278,21.212778
aljinovice,,00,43.331944,19.847222
aljinovici,,00,43.331944,19.847222
aljovic,,00,42.421667,20.8025
aljsic,,00,42.390278,21.602222
aljudovo,,00,44.506667,21.428889
allaga,,00,42.728333,20.159444
allibunar,,00,45.080833,20.965833
almad,,00,45.078056,21.392222
alsoaradi,,00,45.383056,20.301389
alsoittebe,,00,45.559444,20.694444
alsokabol,,00,45.227778,20.021667
alsokovil,,00,45.227778,20.021667
alt-betsche,,00,45.618889,20.036111
alt-borscha,,00,44.870278,20.458611
alt-etschka,,00,45.293889,20.456667
alt-futok,,00,45.241111,19.71
altfuttak,,00,45.241111,19.71
alt-kanischa,,00,46.066667,20.05
alt-keer,,00,45.453611,19.685833
alt-ker,,00,45.453611,19.685833
alt-letz,,00,45.283611,20.963056
alt-palanka,,00,44.8425,21.326667
alt-pasua,,00,44.985,20.160833
alt-pazua,,00,44.985,20.160833
alt-sankamen,,00,45.142778,20.2575
alt-schowe,,00,45.450278,19.619167
alt-sivac,,00,45.704167,19.379722
