names,population,state_code,lat,lon
agatwi,,09,-1.8847222,30.0686111
astrida,,01,-2.5972222,29.7388889
banda,,03,-2.4333333,29.1833333
bandazi,,09,-1.9333333,30.2333333
basa,,05,-1.6833333,29.35
bganga,,02,-1.45,30.4333333
bibale,,02,-1.4666667,30.2333333
bicumbi,,09,-1.9966667,30.3497222
bigutu,,03,-2.4833333,28.9833333
biguzi,,03,-2.4333333,28.9666667
bihe,,05,-1.6333333,29.3666667
bihembe,,09,-2.0666667,30.2833333
bilembo,,05,-1.6833333,29.5166667
binana,,05,-1.75,29.6333333
birenga,,07,-2.1816667,30.5325
biru,,03,-2.5411111,28.9186111
bisaga,,10,-1.4833333,29.85
bishyiga,,04,-2.4333333,29.45
bitare,,01,-2.6833333,29.65
bitare,,03,-2.4,29.05
biumba,,02,-1.5775,30.0625
buberuka,,10,-1.4883333,29.8352778
budaya,,05,-1.75,29.3166667
bugali,,01,-2.4333333,29.8833333
bugaragara,,02,-1.5502778,30.0411111
bugaragara,,09,-1.9166667,29.9666667
bugarama,,03,-2.6469444,29.0094444
bugarura,,09,-1.7502778,30.3327778
bugesera,,09,-2.1455556,30.0913889
bugindi,,02,-1.4833333,29.9333333
bugobagoba,,06,-2.0166667,29.8833333
bugoya,,07,-1.6833333,30.5
bugu,,05,-1.6333333,29.3
buguma,,02,-1.45,30.1833333
bugungu,,03,-2.4333333,28.9833333
buhimba,,01,-2.4333333,29.7666667
buhokoro,,03,-2.3333333,29.0166667
buhongo,,05,-1.8833333,29.3
buhoro,,05,-1.9,29.3
buhuga,,10,-1.6166667,29.7333333
buhungwe,,05,-1.5833333,29.3833333
bukamba,,02,-1.3875,30.2575
bukaragata,,10,-1.45,29.8833333
bukarakata,,10,-1.45,29.8833333
bukekele,,02,-1.3333333,30.2833333
bukondjo,,05,-1.6,29.3166667
bulega,,09,-1.7333333,30.0333333
bulenga,,02,-1.6833333,30.05
bulengera,,05,-1.595,29.32
bulimba,,09,-1.7333333,29.85
bulinga,,06,-1.9977778,29.6972222
bumazi,,03,-2.45,29.0
bumbogo,,09,-1.7130556,29.8530556
bunga,,01,-2.7,29.65
bungeshi mukuru,,05,-1.5422222,29.3830556
bunyambilili,,04,-2.3283333,29.5302778
bunyereri,,03,-2.5833333,29.0333333
burama,,01,-2.3166667,29.8166667
burega,,10,-1.6666667,29.7
burenga,,02,-1.6491667,30.0313889
burere,,05,-1.6333333,29.3166667
busekera,,03,-2.6,28.9166667
bushara,,02,-1.3333333,30.1666667
bushenyi,,09,-1.9508333,30.3952778
bushiga,,02,-1.6666667,29.9333333
bushingamohetu,,02,-1.55,29.95
bushoka,,10,-1.5833333,29.7333333
butale,,09,-1.8666667,30.1
butambamo,,03,-2.65,28.95
butambara,,03,-2.3333333,29.0872222
butambwe,,10,-1.7,29.6666667
butamwa,,09,-2.0266667,30.0258333
butandi,,10,-1.4833333,29.9
butare,89709,01,-2.5966667,29.7394444
butaro,,10,-1.4,29.8333333
butete,,10,-1.3791667,29.7358333
butezi,,05,-1.8833333,29.6166667
butozo,,02,-1.4666667,30.05
buvali,,02,-1.1666667,30.3166667
buvumu,,01,-2.6833333,29.7333333
buyanga,,10,-1.4166667,29.8166667
buyenzi,,04,-2.7177778,29.5344444
buyoga,,02,-1.69,30.0136111
buyoga,,07,-1.6833333,30.5
buzigi,,02,-1.7,29.95
bwakira,,08,-2.1575,29.5497222
bweya,,02,-1.2666667,30.2666667
bwisha,,10,-1.65,29.7333333
bwishya,,02,-1.4166667,30.1166667
bwisige,,02,-1.5761111,30.1555556
byumba,70586,02,-1.5775,30.0625
churusi,,01,-2.4666667,29.85
chyugi,,05,-1.7,29.55
chyuna,,01,-2.7,29.6
colline bandazi,,09,-1.9333333,30.2333333
colline basa,,05,-1.6833333,29.35
colline bganga,,02,-1.45,30.4333333
colline bibale,,02,-1.4666667,30.2333333
colline bigutu,,03,-2.4833333,28.9833333
colline biguzi,,03,-2.4333333,28.9666667
colline bihe,,05,-1.6333333,29.3666667
colline bihembe,,09,-2.0666667,30.2833333
colline bilembo,,05,-1.6833333,29.5166667
colline binana,,05,-1.75,29.6333333
colline bisaga,,10,-1.4833333,29.85
colline bishyiga,,04,-2.4333333,29.45
colline bitare,,01,-2.6833333,29.65
colline bitare,,03,-2.4,29.05
colline budaya,,05,-1.75,29.3166667
colline bugali,,01,-2.4333333,29.8833333
colline bugaragara,,09,-1.9166667,29.9666667
colline bugarura,,09,-1.7502778,30.3327778
colline bugindi,,02,-1.4833333,29.9333333
colline bugoya,,07,-1.6833333,30.5
colline bugu,,05,-1.6333333,29.3
colline buguma,,02,-1.45,30.1833333
colline bugungu,,03,-2.4333333,28.9833333
colline buhimba,,01,-2.4333333,29.7666667
colline buhokoro,,03,-2.3333333,29.0166667
colline buhongo,,05,-1.8833333,29.3
colline buhoro,,05,-1.9,29.3
colline buhuga,,10,-1.6166667,29.7333333
colline buhungwe,,05,-1.5833333,29.3833333
colline bukamba,,02,-1.7166667,30.0
colline bukaragata,,10,-1.45,29.8833333
colline bukekele,,02,-1.3333333,30.2833333
colline bukondjo,,05,-1.6,29.3166667
colline bulega,,09,-1.7333333,30.0333333
colline bulenga,,02,-1.6833333,30.05
colline bulengera,,05,-1.595,29.32
