names,population,state_code,lat,lon
aalia,,14,19.6086111,41.9716667
aba ad dud,,10,27.0272222,44.0694444
aba al hiran,,13,27.0525,40.9438889
aba al kibash,,10,24.7883333,46.5280556
aba ar ruwath,,15,30.4594444,42.0094444
aba as su`ud,,17,17.4666667,44.1
abab,,10,25.25,44.6
ab-ad-dud,,10,27.0272222,44.0694444
abalah,,17,18.7333333,42.2666667
abal dud,,10,27.0272222,44.0694444
abaqaiq,,06,25.9355556,49.6683333
abarahee at taybi,,10,23.9666667,45.0333333
abar el-shifaiya,,05,23.8247222,39.1425
aba sa`ud,,17,17.4666667,44.1
`abassah,,14,21.1319444,40.5805556
`abd al mutliq,,10,23.9333333,46.9836111
abd mutliq,,10,23.9333333,46.9836111
abha,142255,17,18.2163889,42.5052778
abhur al janubiyah,,14,21.6788889,39.0941667
abi `arish,,17,16.9677778,42.8294444
abkayk,,06,25.9355556,49.6683333
abqaik,,06,25.9355556,49.6683333
abqaiq,,06,25.9355556,49.6683333
abqayq,,06,25.9355556,49.6683333
abraqiyah,,10,24.4919444,46.035
`absiya,,17,17.2666667,43.1166667
`absiyah,,17,17.2666667,43.1166667
abu `alaq,,05,24.8166667,38.7833333
abu al `arish,,17,16.9677778,42.8294444
abu al kibash,,10,24.7883333,46.5280556
abu al qa`a'id,,17,17.2833333,42.6
abu al qa`ayid,,17,17.2833333,42.6
abu an na`am,,05,25.2280556,38.8283333
abu `arish,,17,16.9677778,42.8294444
abu ar radif,,17,16.6161111,43.1291667
abu `ashirah,,10,24.5319444,43.5822222
abu as suwadi,,14,19.45,40.9166667
abu at tuyur,,17,17.1666667,42.4833333
abu dhiba,,05,23.1986111,39.5580556
abu diba`,,05,23.1986111,39.5580556
abu diha`,,05,23.1986111,39.5580556
abu duba`,,05,23.1986111,39.5580556
abu duda,,14,20.5666667,39.6
abu dudah,,14,20.5666667,39.6
abu es suadi,,14,19.45,40.9166667
abu hadriya,,06,27.3333333,48.9666667
abu hadriya camp,,06,27.3333333,48.9666667
abu hadriyah,,06,27.3333333,48.9666667
abu hajar a`la,,17,16.6838889,43.0297222
abu hajar al a`la,,17,16.6838889,43.0297222
abu hajar ula,,17,16.6833333,43.0166667
abu hanash,,14,19.3666667,40.9833333
abu hanesh,,14,19.3666667,40.9833333
abu hasani,,14,21.7305556,39.7833333
abu hathrah,,17,17.9166667,43.3833333
abu hisani,,14,21.7305556,39.7833333
abu `irwah,,14,21.6477778,39.7055556
abu jassa,,10,25.8666667,44.2166667
abu jilal,,08,25.1469444,43.4797222
abu jissah,,10,25.8666667,44.2166667
abu jusaysah,,08,25.5225,42.6694444
abu khusayfa',,10,25.7641667,45.85
abu kirsh,,17,16.6833333,43.0333333
abul kabash,,10,24.7883333,46.5280556
abu makhruq,,10,24.7830556,46.6352778
abu maragh,,14,21.5241667,39.7961111
abu ma`raj,,17,17.2166667,42.9
abu ma`rij,,17,17.2166667,42.9
abu markha,,05,25.1166667,38.25
abu markhah,,05,25.1166667,38.25
abu marwa,,08,25.8666667,43.4
abu marwah,,08,25.8666667,43.4
abumnura,,17,17.05,42.8833333
abu nakhla,,10,24.9833333,44.7166667
abu nakhlah,,08,25.1955556,43.4136111
abu nakhlah,,10,24.9833333,44.7166667
abu qa`ar,,06,28.3880556,45.9591667
abu qirfah,,14,21.7694444,39.6791667
abu radif,,17,16.6161111,43.1291667
abu rijum,,10,24.0541667,45.0358333
abu rubaiq,,05,23.7333333,39.7
abu rubayq,,05,23.7333333,39.7
abu rukab,,02,25.1072222,43.4577778
abu salama,,19,27.15,35.7833333
abu salma,,19,27.15,35.7833333
abu sawr,,15,29.0327778,44.4208333
abu sha`ib,,14,21.5822222,39.6991667
abu shaibana,,05,23.8688889,38.3688889
abu shaitana,,05,23.8688889,38.3688889
abu shauk,,14,20.0166667,42.6
abu shawk,,14,20.0166667,42.6
abu shaytanah,,05,23.8688889,38.3688889
abu sheitana,,05,23.8688889,38.3688889
abu shu`ayb,,14,21.5822222,39.6991667
abu sidayrah,,02,24.4427778,43.6580556
abu sulal,,14,22.6338889,41.3675
abu talh,,08,25.4288889,42.8375
abu tutah,,15,28.8325,45.1363889
abu `urwah,,14,21.6477778,39.7055556
abyar `ali,,05,24.4166667,39.55
ac-chafe,,08,27.0777778,43.0225
a`dabi,,17,17.2333333,42.95
adaim,,08,26.1833333,44.0
adan,,10,25.8666667,44.2333333
adaya,,17,17.1666667,42.55
