names,population,state_code,lat,lon
aakae,,08,-9.05,161.2
a'ama,,00,-8.35,160.6333333
a'ama,,08,-9.0833333,160.15
aanosusura,,08,-8.6666667,160.8666667
a'arai,,08,-8.7833333,160.9333333
aarite,,08,-9.8333333,160.8333333
abalolo,,08,-8.9,160.7666667
abe,,08,-8.6833333,160.9666667
abira'adoa,,08,-8.6666667,160.8833333
abu,,08,-8.7666667,160.7
abungari,,08,-9.1833333,160.9333333
adou,,08,-8.5666667,160.9666667
ae'akwato,,00,-8.4166667,160.8166667
aena,,00,-8.1166667,156.6
aena'aiwasi,,08,-9.25,161.0166667
aenaangingi,,00,-8.4166667,160.65
aenakaro,,08,-9.0833333,161.15
aenalite,,08,-8.5666667,160.9666667
aenariki,,08,-9.2,161.1166667
aenathaia,,00,-8.35,160.65
aerotoro,,08,-9.3,161.2
aesunia,,08,-9.05,161.2
afudodo,,08,-8.5833333,160.75
afufu,,00,-8.35,160.5666667
afusalo,,00,-8.3666667,160.75
afutala,,08,-9.1833333,160.95
age,,08,-8.8,160.95
ageraba,,08,-8.6,160.8166667
ahanga,,08,-11.2666667,159.7833333
ahatu,,00,-7.1,155.7333333
ahboga,,08,-9.8,160.3333333
ahenawai,,08,-9.6,161.4166667
ahe'ohia,,08,-9.2166667,161.2
ahesia,,08,-9.0666667,161.1833333
ahi'a,,08,-10.2,161.3
ahia,,08,-9.4166667,161.25
ahi'a,,08,-9.8166667,161.9333333
ahu'amu,,08,-9.15,161.2333333
ahuu,,08,-9.4666667,161.25
ai,,08,-10.3333333,161.3333333
aiasi,,08,-8.55,160.7333333
'aifaafasu,,08,-8.9166667,161.0666667
aifiri,,08,-8.9333333,161.0166667
'ailali,,00,-8.45,160.8166667
ailau,,08,-8.9166667,160.7666667
'aimburu,,08,-8.9,161.0333333
aimela,,00,-8.3166667,160.7
'aimela,,08,-8.7333333,160.7
aimera,,08,-9.2833333,161.1333333
ainiasi,,08,-9.1833333,161.1166667
'ai ni mae,,08,-8.9,161.0166667
'ainimae,,08,-8.9,161.05
aio,,00,-8.2166667,161.2333333
'aio,,08,-9.0333333,161.2166667
airaea,,08,-9.2333333,161.15
'airumu,,08,-8.95,161.0333333
aisasale,,08,-8.6,160.8166667
aisato,,08,-8.6833333,160.95
'aisi'ina,,08,-8.9166667,161.0166667
aisiko,,08,-8.8,160.7833333
aisina,,08,-8.7166667,160.95
aisisiki,,08,-8.55,160.7333333
akwariri,,00,-8.3333333,160.75
akwe,,00,-8.4833333,160.6833333
alafe,,08,-8.6666667,160.9833333
alahasiai,,08,-9.1333333,161.1
alangakaula,,08,-10.25,161.7333333
alangaula,,08,-10.25,161.7333333
alavugu,,08,-9.8833333,160.7666667
alialia,,08,-9.1,159.8166667
alialiala,,08,-9.1,159.8166667
aliali,,08,-9.6,160.2333333
aligegeo,,08,-8.75,160.6833333
alikata,,08,-8.7666667,160.7666667
alita,,08,-9.8333333,160.8333333
alite'au,,00,-8.4666667,160.6666667
alligator creek,,08,-9.4166667,160.0666667
alogha,,08,-9.4,159.6
aloha,,08,-9.4,159.6
alosolo,,08,-9.7833333,160.1666667
alotatahoma,,08,-9.6833333,160.1333333
alundava,,08,-9.8,160.2666667
ama,,08,-9.0833333,160.15
ama'ama,,08,-9.1,161.2333333
amba,,00,-11.2666667,166.5
ambi,,00,-11.6833333,166.8166667
amboiosi,,08,-8.9166667,161.0166667
ambuambili,,08,-9.4333333,160.15
ambuasu,,00,-8.3666667,160.6333333
ambuavao,,08,-9.4333333,160.2166667
'ambungali,,08,-8.9666667,160.75
ambuporondavi,,08,-9.55,160.3666667
anakelo,,08,-8.5666667,160.7333333
anata,,08,-10.3333333,161.35
andandaiesi,,00,-8.3166667,160.6
anda'ua,,00,-8.3833333,160.7333333
andeande,,08,-9.4666667,160.45
andevadhu,,08,-9.55,160.3666667
andi,,00,-8.3666667,160.6166667
andina,,00,-9.1166667,159.2166667
ane'efafako,,08,-8.9166667,161.05
angali,,08,-9.5333333,161.4833333
anggia,,08,-9.0,161.15
angoango,,08,-9.7833333,160.1666667
aniuke,,00,-8.3333333,160.6
anoano,,08,-8.9833333,160.7666667
anofai,,08,-8.55,160.8833333
anofalake,,08,-8.6333333,160.7166667
anoketo,,00,-8.45,160.8166667
anokwakwale,,08,-8.6333333,161.0
anokwasi,,00,-8.3833333,160.5666667
anoni'usu,,08,-9.6333333,161.5333333
anotole,,08,-9.6833333,161.4333333
anuta,,08,-10.3333333,161.35
anutaiasi,,08,-9.35,161.1333333
aoani'iru,,08,-9.1,161.15
aola,,08,-9.5333333,160.4833333
aona,,08,-9.3333333,161.15
a'opasi,,08,-9.35,161.2166667
aopasi,,08,-9.5,161.4833333
apakho,,00,-11.3,166.4666667
apaone,,08,-10.2666667,161.7333333
apaora,,08,-10.55,161.5
apaoro,,08,-10.55,161.5
apauni,,08,-10.2666667,161.7333333
apio,,08,-9.6166667,161.4
apuara,,08,-9.4,161.4166667
apuiraramua,,08,-9.2833333,161.1833333
apunahunu,,08,-9.1833333,161.1833333
apurahe,,08,-10.7,161.7166667
apurahi,,08,-10.7,161.7166667
ara'arauna,,08,-9.0166667,161.05
arabala,,08,-8.8833333,160.75
arabale,,08,-8.8833333,160.75
arairou,,08,-9.2833333,161.0333333
araki,,08,-8.5166667,160.9166667
arambu,,00,-11.6,166.8833333
aranimamu,,08,-9.4666667,161.2333333
arao,,00,-8.4833333,160.6833333
ara'ou,,08,-9.0833333,161.1833333
araro puti,,08,-9.45,159.9333333
arasi,,08,-9.1833333,161.1833333
araumana,,08,-9.3166667,161.1
araveu,,08,-9.3666667,159.8666667
arinapa'ewa,,08,-9.1833333,161.25
aroaha,,08,-9.7333333,161.95
aro,,08,-9.4,159.6166667
aroaro,,08,-9.4166667,160.3333333
arohane,,08,-10.4666667,161.95
arona,,08,-9.2333333,161.2166667
arovachivi,,08,-9.9,160.65
arovia,,08,-9.7166667,160.2166667
aruligo,,08,-9.2833333,159.7666667
aruliho,,08,-9.2833333,159.7666667
asaibala,,08,-8.6,160.85
asibonga,,08,-8.7833333,160.8833333
asimaenioha,,08,-10.2333333,161.4833333
asimana,,08,-9.15,160.8666667
asimanioha,,08,-10.2333333,161.4833333
asimboa,,00,-11.3,166.4666667
assimaniona,,08,-10.2333333,161.4833333
ato,,00,-8.4833333,160.9
