names,population,state_code,lat,lon
anse boileau,,08,-4.7166667,55.4833333
anse royal,,08,-4.7333333,55.5166667
anse royale,,08,-4.7333333,55.5166667
anse volbert village,,08,-4.3166667,55.7333333
beau vallon,,08,-4.6,55.4166667
belle ombre,,08,-4.6166667,55.4166667
bel ombre,,08,-4.6166667,55.4166667
cascade,,08,-4.6666667,55.5
de quincey village,,08,-4.6,55.45
de quincy village,,08,-4.6,55.45
donja mahala,,00,42.6408333,22.0330556
la misere,,08,-4.6666667,55.4666667
la reunion,,08,-4.35,55.8333333
l'esperance,,08,-4.7166667,55.4833333
machabee,,08,-4.5666667,55.45
mahe,,08,-4.6166667,55.45
misere,,08,-4.6666667,55.4666667
port glaud,,08,-4.6666667,55.4166667
port victoria,,08,-4.6166667,55.45
takamaka,,08,-4.7666667,55.5
victoria,26361,08,-4.6166667,55.45
