names,population,state_code,lat,lon
a,,24,62.9,17.8333333
a,,28,58.2666667,11.85
aapua,,14,66.85,23.5333333
aareavaara,,14,67.45,23.5
abacka,,23,65.4666667,16.9
abacken,,24,63.15,16.9833333
abarp,,27,56.0333333,13.6333333
abbantorp,,09,56.75,16.65
abbasen,,07,63.0333333,14.3666667
abbekas,,27,55.4,13.6
abbeshult,,12,56.6666667,13.4166667
abbetorp,,09,56.95,16.1333333
abbetorp,,16,58.3,14.95
abborkroken,,26,59.3694444,18.6333333
abborraslatt,,12,56.6,13.9833333
abborrberg,,10,60.15,14.8
abborrberg,,23,65.4833333,16.6
abborrberget,,10,60.15,14.8
abborremala,,02,56.3833333,14.7333333
abborrholmberget,,07,64.4333333,15.6333333
abborrhult,,28,57.35,12.6666667
abborrselet,,07,62.85,15.8666667
abborrsjoknoppen,,03,61.6,14.6666667
abborrtjarn,,23,64.2333333,19.7333333
abborrtorp,,18,58.6666667,16.75
abborrtrask,,14,65.45,19.3833333
abborrtrask,,23,64.5,19.3333333
abbortrask,,14,65.45,19.3833333
aberga,,10,61.1666667,14.7666667
aberga,,25,59.65,16.6666667
aberget,,14,65.9666667,19.4833333
aberget,,22,60.7833333,12.6666667
aberget,,24,63.15,16.9833333
abild,,06,56.9333333,12.7166667
abisko,,14,68.3333333,18.85
abjornahall,,02,56.1,15.7833333
abo,,03,61.7666667,15.8166667
aboda,,09,57.0666667,15.9666667
aboda,,12,57.0833333,14.4666667
aboda,,15,59.7166667,15.1333333
abogen,,12,56.5,14.6
aboland,,28,58.5330556,11.7
abord,,24,62.7833333,17.9666667
abosjo,,23,63.75,17.7666667
abosjon,,23,63.75,17.7666667
abrahamsa,,14,66.0666667,21.65
abrahamsan,,14,66.0666667,21.65
abramsa,,14,66.0666667,21.65
abramsan,,14,66.0666667,21.65
abranna,,07,63.8166667,13.1
abro,,09,56.8833333,16.3333333
abron,,03,60.85,16.7
abrotorpen,,03,60.8333333,16.7
abuen,,27,56.3166667,13.9166667
aby,,03,60.65,17.0333333
aby,,09,56.5833333,16.65
aby,,12,56.7,15.55
aby,,15,59.15,15.2833333
aby,,16,58.6666667,16.1833333
aby,,21,59.6333333,17.45
aby,,25,59.6,16.3
aby,,26,59.9,18.7166667
aby,,27,56.05,14.4666667
aby,,28,57.65,12.0
abyfors,,12,57.0333333,14.7666667
abyggeby,,03,60.7333333,17.1166667
abyholm,,02,56.4333333,15.6166667
abylund,,18,58.9666667,17.4166667
abyn,,03,60.9166667,17.0333333
abyn,,23,63.95,20.4166667
abysater,,16,58.2833333,15.4833333
abytorp,,15,59.1166667,15.0666667
ackelsjo,,23,63.85,19.7
ackelsta,,26,59.7,18.0666667
acklinga,,28,58.2,13.8666667
acklingsedet,,07,63.7166667,12.9666667
ackran,,28,57.6666667,11.8666667
ackron,,28,57.6666667,11.8666667
acksi,,10,60.9166667,14.2330556
acksjoasen,,10,60.3333333,13.8333333
acksjohyttan,,22,59.6833333,13.75
acksjon,,22,59.6330556,13.7330556
acktjara,,03,61.2666667,16.4833333
acktjarn,,10,60.2833333,15.8
ad,,09,56.4333333,16.1166667
adak,,23,65.35,18.6166667
adakgruvan,,23,65.3666667,18.6
adakjaure,,14,66.6666667,20.55
adakliden,,23,65.3333333,18.5833333
adala,,26,59.0330556,17.9830556
adal,,24,62.8666667,18.3333333
adalen,,21,59.8333333,16.9166667
adbodarna,,10,61.1830556,13.5330556
adelfors,,08,57.4166667,15.3166667
adelov,,08,58.0333333,14.6666667
ado,,26,59.4666667,17.5833333
adolfsberg,,15,59.25,15.1666667
adolfsfors,,22,59.8,12.2166667
adolfsstrom,,14,66.2833333,16.6666667
adolfstrom,,14,66.2833333,16.6666667
adran,,26,59.1330556,18.0
adriansnas,,09,57.5463889,16.5908333
adseke,,27,56.0333333,13.7333333
afard,,28,57.8833333,13.5333333
afholm,,03,61.9,16.55
aflo,,07,63.4833333,13.8666667
afors,,12,56.75,15.4833333
afors,,14,65.25,20.7
afva,,03,61.8166667,16.55
afva,,24,62.4488889,17.6497222
afvaliden,,23,64.8666667,19.4166667
afvan,,14,65.6833333,21.8
afvan,,23,64.3333333,21.3
afvasjo,,23,64.2666667,16.9166667
afvatrask,,23,64.3333333,16.2833333
afvaudden,,14,66.4333333,20.6666667
afvelsater,,22,59.1,12.8
afvelsbol,,22,59.5333333,12.8166667
agalma,,21,60.3166667,18.3083333
agard,,06,56.4333333,13.3333333
agebo,,09,56.6666667,15.8333333
agelsta,,15,59.1,14.85
agenas,,22,59.2166667,12.3
agerod,,27,55.9333333,13.4
ageror,,06,56.9166667,12.4
agersgol,,08,57.6833333,15.1166667
agersryd,,08,57.7666667,14.9833333
agersta,,21,59.5833333,17.3333333
agerum,,02,56.15,14.6333333
agesta,,26,59.2333333,18.0833333
aggarna,,07,62.0166667,14.3
aggarp,,08,57.5833333,14.8666667
aggarp,,27,55.5,13.2333333
aggarp,,28,57.35,13.3333333
aggatorp,,09,57.3,15.5333333
aggdal,,28,57.85,11.6833333
aggebo,,16,57.7833333,15.2666667
aggen,,07,62.0166667,14.3
aggen,,10,60.5833333,13.8
aggerud,,15,59.3166667,14.5
aggfors,,07,63.3166667,13.6833333
aggnas,,23,63.85,19.2666667
aggosund,,24,63.3,19.0833333
aggosundet,,24,63.3,19.0833333
aggsjon,,07,63.55,12.8333333
agnaryd,,12,57.0,14.4
agnesberg,,28,57.7833333,12.0
agnesund,,18,59.5166667,16.9666667
agnetar,,08,57.1,13.5333333
agnetaryd,,08,57.1,13.5333333
agno,,26,59.25,18.3833333
ago hamn,,03,61.5391667,17.4344444
ags bruk,,10,60.7666667,16.05
agunnaryd,,12,56.75,14.15
agusa,,27,55.7666667,13.9833333
aha,,23,65.4666667,17.75
ahaga,,09,58.0333333,16.1166667
aheden,,23,63.6833333,20.05
aholmen,,25,59.4833333,16.2833333
ahult,,08,57.4166667,14.8333333
ahult,,12,56.9,15.3333333
ahult,,28,57.3166667,13.3333333
ahus,,27,55.9166667,14.2833333
ahusby,,26,59.6,17.9
ahuskarr,,27,55.8166667,14.1833333
ahylte,,06,57.05,13.1166667
aijavaara,,14,66.9333333,22.05
aijavara,,14,66.9333333,22.05
airivaara,,14,67.3833333,23.7166667
aitejokk,,14,67.8166667,19.7166667
ajaur,,23,64.7666667,19.2333333
ajaureforsen,,23,65.5,15.6666667
ajmunds,,05,57.45,18.2666667
ajumunds,,05,57.45,18.2666667
akarp,,08,57.75,14.2666667
akarp,,09,57.5166667,15.7
akarp,,27,55.65,13.1166667
akarp,,28,58.2333333,13.65
akastugan,,14,67.6333333,17.4333333
akebo,,09,57.4833333,15.7166667
akeholm,,02,56.2833333,14.75
aker,,06,56.9833333,13.3333333
aker,,08,57.3833333,13.9833333
aker,,12,57.1166667,15.2666667
aker,,18,59.25,17.0833333
aker,,28,58.1833333,11.75
akerang,,07,63.1333333,14.5
akerangen,,14,66.1166667,22.8
akerback,,23,64.0666667,20.3166667
akerbergshult,,12,56.7166667,13.4666667
akerbranna,,24,63.9,16.9333333
