names,population,state_code,lat,lon
adam park,,00,1.3316667,103.8122222
adelphi park estate,,00,1.355,103.8288889
ah soo garden,,00,1.3502778,103.9002778
aik hong and aik chiang estate,,00,1.3908333,103.7286111
alexandra,,00,1.2938889,103.8197222
alexandra estate,,00,1.2938889,103.8197222
ama keng,,00,1.4044444,103.7066667
ama keng village,,00,1.4044444,103.7066667
ang mo kio,,00,1.3691667,103.8497222
ang mo kio new town,,00,1.3691667,103.8497222
ang mo kio village,,00,1.3691667,103.8497222
ardmore flats,,00,1.3094444,103.83
ayer rajah,,00,1.305,103.7833333
ayer raja new town,,00,1.305,103.7833333
bajau estate,,00,1.3369444,103.6633333
bamboo grove park,,00,1.3577778,103.7577778
bandar baharu jurong,,00,1.3341667,103.7227778
ban guan park,,00,1.3236111,103.7891667
banta tengeh,,00,1.35,103.65
bedok,,00,1.3225,103.9613889
bedok garden,,00,1.3227778,103.9577778
bedok new town,,00,1.3263889,103.9416667
bedok village,,00,1.3225,103.9613889
bedok ville,,00,1.3244444,103.9544444
bena park,,00,1.3516667,103.975
bin tong park,,00,1.3205556,103.7975
bishan new town,,00,1.3463889,103.8530556
boon lay,,00,1.3333333,103.7
boon lay resettlement area,,00,1.3352778,103.6988889
braddell heights estate,,00,1.3452778,103.8652778
brickworks estate,,00,1.2872222,103.8083333
bright hill crescent,,00,1.35,103.8333333
brizay park,,00,1.3302778,103.7866667
bukit batok,,00,1.3516667,103.7627778
bukit batok new town,,00,1.3516667,103.7627778
bukit ho swee estate,,00,1.2877778,103.83
bukit mandai,,00,1.4122222,103.7566667
bukit mandai village,,00,1.4122222,103.7566667
bukit merah estate,,00,1.2841667,103.8230556
bukit panjang,,00,1.3797222,103.7647222
bukit panjang estate,,00,1.3816667,103.7525
bukit panjang new town,,00,1.3797222,103.7647222
bukit sembawang estate,,00,1.3597222,103.9702778
bukit timah,,00,1.3402778,103.7758333
bukit timah estate,,00,1.3402778,103.7758333
bukit timah village,,00,1.3402778,103.7758333
bulim,,00,1.3744444,103.7177778
bulim village,,00,1.3744444,103.7177778
buona vista,,00,1.2805556,103.7880556
buona vista village,,00,1.2805556,103.7880556
caidecutt hill estate,,00,1.3366667,103.835
caldecott hill estate,,00,1.3366667,103.835
camden park,,00,1.3277778,103.8163889
chai chee estate,,00,1.3266667,103.9333333
changi,,00,1.3416667,103.9636111
changi village,,00,1.3844444,103.9830556
charlton park,,00,1.3563889,103.9013889
chia keng,,00,1.36,103.8916667
chia keng village,,00,1.36,103.8916667
chia tong quah estate,,00,1.4086111,104.0508333
chinese gardens,,00,1.3113889,103.7977778
chip hock garden,,00,1.3202778,103.8136111
choa chu kang,,00,1.3825,103.7497222
choa chu kang new town,,00,1.3825,103.7497222
chong pang,,00,1.4444444,103.8238889
chong pang village,,00,1.4444444,103.8238889
chye kay,,00,1.4261111,103.8241667
city west,,00,1.3166667,103.8166667
clementi,,00,1.3158333,103.7647222
clementi housing estate,,00,1.3158333,103.7647222
clementi new town,,00,1.3158333,103.7647222
coronation gardens,,00,1.3233333,103.8036111
delta estate,,00,1.2911111,103.8294444
dixil,,00,1.3972222,103.8719444
dragon view park,,00,1.2955556,103.8238889
dunearn estate,,00,1.3252778,103.8230556
eastern gardens,,00,1.3180556,103.945
east view garden,,00,1.3458333,103.9652778
eden hall,,00,1.3105556,103.8219444
eden park,,00,1.3313889,103.7925
eng khong gardens,,00,1.3361111,103.7705556
ewart park,,00,1.3247222,103.7825
faber garden,,00,1.3630556,103.8297222
faber hills,,00,1.3208333,103.7597222
fernhill gardens,,00,1.3144444,103.8222222
fish farming estate,,00,1.3636111,103.9136111
frankel estate,,00,1.3136111,103.9294444
fuyong estate,,00,1.3594444,103.7680556
gay world park,,00,1.3111111,103.8911111
geylang serai,,00,1.32,103.91
geylang serai village,,00,1.32,103.91
ghim moh,,00,1.3111111,103.7877778
goldhill gardens,,00,1.3222222,103.8319444
hai sing park,,00,1.3636111,103.905
happy gardens,,00,1.3305556,103.8963889
havelock/delta estate,,00,1.2911111,103.8294444
havelock estate,,00,1.2911111,103.8294444
heap guan,,00,1.2666667,103.8
heap guan village,,00,1.2666667,103.8
henderson estate,,00,1.2891667,103.8233333
hillcrest park,,00,1.3347222,103.8091667
holland grove park,,00,1.3136111,103.7802778
holland,,00,1.3119444,103.7933333
holland village,,00,1.3119444,103.7933333
hong kah,,00,1.3594444,103.7227778
hong kah village,,00,1.3594444,103.7227778
hong kong park,,00,1.3397222,103.7855556
hong leong garden,,00,1.3194444,103.7547222
hougang new town,,00,1.3566667,103.8908333
huat choe,,00,1.34,103.6936111
huat choe village,,00,1.34,103.6936111
hume heights,,00,1.355,103.765
hun yeang,,00,1.3686111,103.9319444
hun yeang village,,00,1.3686111,103.9319444
island view estate,,00,1.2947222,103.7727778
jalan kayu,,00,1.3972222,103.8719444
jurong east,,00,1.3413889,103.7391667
jurong east new town,,00,1.3413889,103.7391667
jurong,,00,1.3341667,103.7227778
jurong new town,,00,1.3341667,103.7227778
jurong town,,00,1.3341667,103.7227778
jurong village,,00,1.3341667,103.7227778
jurong west,,00,1.3502778,103.7227778
jurong west new town,,00,1.3502778,103.7227778
