names,population,state_code,lat,lon
deadwood,,00,-15.9333333,-5.6833333
edinburgh,271,00,-37.05,-12.3
georgetown,538,00,-7.9333333,-14.4166667
half tree hollow,,00,-15.9333333,-5.7166667
hutts gate,,00,-15.9666667,-5.7
jamestown,637,00,-15.9333333,-5.7166667
levelwood,,00,-15.9666667,-5.6833333
longwood,,00,-15.95,-5.6833333
new ground,,00,-15.9333333,-5.7333333
settlement of edinburgh,,00,-37.05,-12.3
taglate,,00,-15.9666667,-5.6833333
thornton,,00,-7.9333333,-14.4166667
tristan island settlement,,00,-37.05,-12.3
tristan settlement,,00,-37.05,-12.3
two boats village,,00,-7.9883333,-14.3661111
wild cattle pound,,00,-16.9833333,-5.7666667
