names,population,state_code,lat,lon
acquariva,,04,45.4691667,13.9708333
acquaro,,04,45.5286111,13.7819444
acquaviva dei vena,,04,45.4691667,13.9708333
adelsberg,,04,45.7769444,14.2166667
adergas,,04,46.2730556,14.4669444
adlesici,,04,45.5333333,15.3166667
adorjanfalva,,09,46.5866667,16.2802778
adrijanci,,09,46.8183333,16.2472222
aiba,,04,46.105,13.6461111
aidussina,,04,45.8875,13.9111111
ajba,,04,46.105,13.6461111
ajbelj,,04,45.5327778,14.8558333
ajdovec,,04,45.8333333,15.0166667
ajdovscina,6527,04,45.8875,13.9111111
ajsevica,,04,45.9511111,13.6966667
albaro vescova,,04,45.5663889,13.7994444
alber di sesana,,04,45.7808333,13.8722222
alsobeszterce,,09,46.54,16.2886111
alsobesztercze,,09,46.54,16.2886111
also-bisztricze,,09,46.54,16.2886111
alsocsalogany,,09,46.7833333,16.0666667
alsojanosfa,,09,46.7633333,16.3008333
alsolakos,,09,46.5530556,16.4180556
alsolendva,,09,46.5613889,16.4505556
alsolendvalakos,,09,46.5530556,16.4180556
alsoszentbenedek,,09,46.7330556,16.2402778
altendorf,,09,46.0333333,15.7166667
altenmarkt,,04,45.7127778,14.4694444
ambrus,,04,45.8272222,14.8166667
ancarano,,04,45.5786111,13.7361111
ancorano,,04,45.5833333,13.7833333
ancovo,,04,46.0575,13.6058333
andorhaza,,09,46.8183333,16.2472222
andorhegy,,09,46.7333333,16.2
andraz nad polzelo,,09,46.325,15.0925
andrejci,,09,46.7333333,16.2
andrej nad zmincem,,04,46.1333333,14.2833333
andrenci,,09,46.55,15.9333333
anhovo,,04,46.0575,13.6058333
anicovo,,04,46.0575,13.6058333
ankaran,2895,04,45.5786111,13.7361111
ankarano,,04,45.5833333,13.7833333
antignano,,04,45.5622222,13.835
antignano d' istria,,04,45.5622222,13.835
antinjan,,04,45.5622222,13.835
anze,,09,45.9833333,15.5333333
apace,,09,46.3769444,15.8025
arclin,,09,46.2744444,15.3030556
armesko,,09,46.0,15.4833333
arnace,,09,46.3369444,15.1213889
arsevica,,04,45.9511111,13.6966667
artice,,09,45.9538889,15.5877778
arto,,09,45.9833333,15.4
artuise,,04,45.6127778,14.0305556
artvize,,04,45.6127778,14.0305556
arzise,,04,46.1677778,14.9611111
assling,,04,46.4305556,14.0669444
auersperg,,04,45.8788889,14.6152778
auremo di sopra,,04,45.6555556,14.0505556
auremo di sotto,,04,45.6613889,14.0380556
auzza,,04,46.1008333,13.6602778
avber,,04,45.7808333,13.8722222
avce,,04,46.1008333,13.6602778
azenski vrh,,09,46.65,15.9666667
babenfeld,,04,45.6477778,14.5511111
babici,,04,45.5027778,13.7794444
babina gorica,,04,45.9852778,14.5130556
babina polica,,04,45.6663889,14.5163889
babino polje,,04,45.6477778,14.5511111
babna gora,,09,46.1666667,15.5
babna gorica,,04,45.9852778,14.5130556
babna polica,,04,45.6663889,14.5163889
babno polje,,04,45.6477778,14.5511111
baca,,04,46.1333333,13.7666667
baca pri modreji,,04,46.1333333,13.7666667
baca pri modreju,,04,46.1333333,13.7666667
baca pri podbrdu,,04,46.2238889,13.9711111
bac,,04,45.6316667,14.2577778
baccia,,04,45.5833333,14.0
baccia di modrea,,04,46.1333333,13.7666667
backova,,09,46.65,15.9
bac pri materiji,,04,45.5833333,14.0
bagolina,,09,46.6761111,16.2838889
bagonya,,09,46.6761111,16.2838889
bajgot,,09,46.4813889,15.4494444
bakonak,,09,46.6936111,16.3255556
bakovci,,09,46.6188889,16.1502778
bane,,04,45.8180556,14.5597222
banja loka,,04,45.5063889,14.8855556
banjscice-sveti-duha,,04,46.05,13.7166667
banjsica,,04,46.05,13.7166667
banjsice,,04,46.05,13.7166667
banovci,,09,46.5725,16.1675
bantornya,,09,46.6277778,16.3202778
banuta,,09,46.6025,16.4119444
barca,,04,45.6380556,14.0544444
barka,,04,45.6380556,14.0544444
barkoc,,09,46.6188889,16.1502778
barkocz,,09,46.6188889,16.1502778
baselj,,04,46.3166667,14.4
bate,,04,46.0447222,13.675
battaglia,,04,46.0447222,13.675
battaglia della bainsizza,,04,46.0447222,13.675
battyand,,09,46.7066667,16.1563889
battyanfalva,,09,46.6516667,16.2041667
batuje,,04,45.8963889,13.7777778
bausizza,,04,46.3663889,13.6227778
bavsica,,04,46.3663889,13.6227778
beca,,04,45.6005556,13.8944444
bedenj,,04,45.5333333,15.2833333
begunje,,04,45.8180556,14.3822222
begunje na gorenjskem,,04,46.3833333,14.2166667
begunje pri cerknici,,04,45.8180556,14.3822222
beka,,04,45.6005556,13.8944444
bela,,04,45.87,14.0363889
bela cerkev,,09,45.8666667,15.2666667
belatinc,,09,46.6052778,16.2405556
belatincz,,09,46.6052778,16.2405556
bela voda,,04,45.6952778,14.6080556
belca,,04,46.4783333,13.915
bele vode,,09,46.4125,14.9611111
belica,,04,46.4783333,13.915
bella d' idria,,04,45.9613889,13.9819444
bella di vipacco,,04,45.87,14.0363889
belo,,09,46.2316667,15.5519444
belsko,,04,45.8161111,14.1536111
beltinci,2258,09,46.6052778,16.2405556
belveder,,04,45.4627778,13.8236111
belvedur,,04,45.4627778,13.8236111
benedek,,09,46.7563889,16.2694444
benedicki vrh,,09,46.6086111,15.8883333
benedikt,,09,46.6086111,15.8883333
benedikt v slovenskih goricah,,09,46.6086111,15.8883333
benko,,04,45.9038889,14.4855556
berdo,,04,45.7716667,14.1119444
berdo di elsane,,04,45.5119444,14.2169444
berglez,,04,46.3205556,14.7955556
bergogna,,04,46.2647222,13.4277778
bericevo,,04,46.0833333,14.6166667
berie,,04,45.7775,13.8419444
berkehaza,,09,46.5527778,16.0830556
berkhaus,,09,46.7544444,16.2925
berkovci,,09,46.5527778,16.0830556
berkovci pri proseljakovcih,,09,46.7544444,16.2925
berkovci pri prosenjakovcih,,09,46.7544444,16.2925
bernhard,,09,46.6383333,15.1863889
bertocchi,,04,45.5455556,13.7677778
bertoki,,04,45.5455556,13.7677778
berze di torrenova,,04,45.5741667,14.1913889
besnica,,04,46.0333333,14.6666667
bevke,,04,45.9838889,14.3558333
bezina,,09,46.35,15.45
beznovci,,09,46.7322222,16.0716667
bezuljak,,04,45.8316667,14.37
bic,,09,46.9333333,14.9
bicje,,04,45.9411111,14.6188889
biglia,,04,45.8944444,13.6322222
(( bile )),,04,45.7277778,14.2188889
bilje,,04,45.8944444,13.6322222
bilje konjarna,,04,45.7277778,14.2188889
billichgratz,,04,46.0669444,14.3161111
bircna vas,,04,45.7666667,15.15
biroszek,,09,46.6744444,16.0508333
bis,,09,46.5275,15.8869444
bischoflack,,04,46.1672222,14.3088889
bisecki vrh,,09,46.5155556,15.8736111
bisterza,,04,45.5697222,14.2408333
bistra,,09,46.45,14.8
bistrica,,04,45.5666667,15.1166667
bistrica,,09,46.0588889,15.6641667
bistrica ob sotli,,09,46.0588889,15.6641667
bistrica pri limbusa,,09,46.5538889,15.5508333
bistrica pri limbusu,,09,46.5538889,15.5508333
bistrica pri mokronogu,,04,45.9666667,15.1166667
bistrica pri rusah,,09,46.5572222,15.5144444
bistrica pri trzicu,,04,46.3547222,14.2916667
bistricica,,04,46.2666667,14.6
bistriski dom,,04,46.3333333,14.6
bizeljska vas,,09,46.0333333,15.7166667
bizeljsko,,09,46.0133333,15.6966667
bizovik,,04,46.0383333,14.5725
blagovica,,04,46.1769444,14.8072222
blanca,,09,45.9833333,15.4
blanke,,09,46.5638889,15.5527778
blata,,04,45.7013889,14.7477778
blate,,04,45.7013889,14.7477778
blatna brezovica,,04,45.9797222,14.3477778
blatnik,,04,45.65,15.1333333
blatnik,,09,46.4930556,15.0291667
blatnik pri crmosnjicah,,04,45.65,15.1333333
blatno,,09,45.9666667,15.6333333
blato,,04,46.3158333,13.8516667
blato,,09,46.3333333,15.45
blaz,,04,46.3133333,13.6544444
blazevci,,04,45.4872222,15.0816667
blazic,,09,46.4458333,15.51
blecji vrh,,04,45.9788889,14.7083333
blec vrh,,04,45.9788889,14.7083333
bled,5205,04,46.3691667,14.1136111
bled-mlino,,04,46.3580556,14.1025
bled-recica,,04,46.3833333,14.1
blejska dobrava,,04,46.4,14.1
blocice,,04,45.7611111,14.4575
bloke,,04,45.7844444,14.4805556
bloschkapoliza,,04,45.7622222,14.4691667
bloska,,04,45.7622222,14.4691667
bloska polica,,04,45.7622222,14.4691667
bobovo pri ponikvi,,09,46.2663889,15.5097222
bocaji,,04,45.4947222,13.8302778
boccavizza,,04,45.9008333,13.6672222
bocna,,04,46.2894444,14.855
bodislavci,,09,46.5166667,16.0666667
bodohegy,,09,46.7441667,16.0922222
bodonci,,09,46.7441667,16.0922222
bodovlje,,04,46.15,14.3
boginja vas,,04,45.8338889,14.9077778
bogojina,,09,46.6761111,16.2838889
bogolina,,09,46.6761111,16.2838889
boharina,,09,46.3833333,15.3833333
bohinjska bela,,04,46.3488889,14.0638889
bohinjska bistrica,,04,46.2769444,13.955
bohova,,09,46.5,15.6666667
bojanci,,04,45.5036111,15.2497222
bojanja vas,,04,45.7,15.3333333
bojtina,,09,46.4666667,15.5
bokraci,,09,46.7333333,16.1833333
bokracs,,09,46.7333333,16.1833333
bolcina,,04,45.9202778,13.9277778
boldraz,,04,45.6833333,15.35
boldrez,,04,45.6833333,15.35
bolehnecici,,09,46.5541667,16.0572222
boletina,,09,46.25,15.4833333
bonini,,04,45.5286111,13.7819444
boraceva,,09,46.6444444,16.0241667
boracova,,09,46.6444444,16.0241667
boreana,,04,46.2591667,13.4775
