names,population,state_code,lat,lon
barentsburg,576,00,78.0666667,14.2333333
funksjonaerbyen,,00,78.2166667,15.6333333
grumantbyen,,00,78.1833333,15.1333333
grumant city,,00,78.1833333,15.1333333
haugen,,00,78.2166667,15.6333333
longyearbyen,1232,00,78.2166667,15.6333333
longyear city,,00,78.2166667,15.6333333
longyear-tal-stadt,,00,78.2166667,15.6333333
navarhaugen,,00,78.2166667,15.6333333
neu-aalesund,,00,78.9333333,11.95
new aalesund,,00,78.9333333,11.95
ny-alesund,40,00,78.9333333,11.95
nybyen,,00,78.2,15.6166667
ostre sverdrupbyen,,00,78.2,15.6166667
sveagruvan,,00,77.9,16.6833333
sveagruva,,00,77.9,16.6833333
sveakaivos,,00,77.9,16.6833333
svea,,00,77.9,16.6833333
svenskstad,,00,77.9,16.6833333
