names,population,state_code,lat,lon
abafalva,,03,48.3166667,20.3333333
abelova,,01,48.4166667,19.4333333
abovce,,03,48.3166667,20.3333333
abraham,,04,48.5166667,18.6166667
abraham,,07,48.25,17.6166667
abrahamovce,,05,49.05,20.45
abramova,,08,48.9333333,18.8
abranovce,,05,48.9333333,21.35
adamov,,02,48.7166667,17.05
adamovce,,06,48.85,17.9333333
adidovce,,05,49.0166667,22.05
agcsernyo,,03,48.4333333,22.1
aggerdo pusta,,07,48.1,17.65
agota majer,,04,48.0666667,18.7666667
agov,,04,48.0166667,18.5833333
agyagos puszta,,04,47.8333333,18.1
aha,,04,48.25,18.3166667
albertinsky dvor,,06,49.0333333,18.1666667
albin,,03,48.7333333,21.6666667
aleksince,,04,48.3666667,17.95
alistal,,02,47.9333333,17.7166667
almad,,01,48.2,19.9833333
almagy,,01,48.2,19.9833333
almas,,04,48.2,18.1833333
almas pusta,,02,47.7833333,17.8166667
almas puszta,,02,47.7833333,17.8166667
also-balog,,01,48.45,20.1333333
also bodok,,04,48.3166667,18.2166667
also csitar,,04,48.35,18.1666667
alsofalu,,03,48.5,20.2166667
alsogyertyan,,03,48.85,21.7666667
alsohrabocz,,03,48.85,21.7666667
also-kalosa,,03,48.4166667,20.2333333
alsokubin,,08,49.2,19.3
also macskas,,04,47.8833333,18.5666667
alsomislye,,03,48.6166667,21.3666667
also-szecse,,04,48.1666667,18.5666667
also szeli,,07,48.1,17.7833333
also szemered,,04,48.1166667,18.85
also-tur,,04,48.1166667,18.95
also-valy,,03,48.45,20.2
alte meierei,,05,49.4,20.3666667
altendorf,,05,49.3833333,20.3666667
alt schmecks,,05,49.15,20.2333333
altsohl,,01,48.5833333,19.1333333
alt-walddorf,,05,49.1333333,20.3166667
altwasser,,03,48.8,20.6833333
amade-karcsa,,02,47.9666667,17.5833333
amadeovske korcany,,02,47.9666667,17.5833333
ambrusovce,,05,49.1666667,21.1666667
anala,,04,47.9666667,18.1333333
andac,,04,48.3833333,17.9833333
andelek,,04,48.1833333,17.9166667
andice,,01,49.0666667,19.55
andod,,04,48.0,18.1166667
andovce,,04,48.0,18.1166667
andrasova,,04,48.5833333,18.4
andrejova,,05,49.3333333,21.35
andrejovka,,05,49.2833333,20.9
anna majer,,04,48.0666667,18.1333333
antalhaza,,04,47.8666667,18.3833333
antalova pusta,,01,48.3666667,19.9333333
antonia,,02,47.95,17.5166667
antonov sad,,04,47.8666667,18.3833333
apaca-szakallas,,02,47.9,17.8166667
apat-ujfalu,,01,48.1166667,19.2833333
apollo majer,,04,48.1,18.0166667
arad puszta,,04,47.8833333,18.4833333
aranyos,,02,47.7666667,17.9666667
arcibiskupska pusta,,04,47.95,18.6
arcibiskupsky lel,,02,47.7666667,17.9
ardanovce,,04,48.5333333,17.9
ardocska,,03,48.5333333,20.5333333
ardovo,,03,48.5333333,20.4166667
arnutovce,,05,48.9833333,20.5
asakert,,04,48.4833333,17.9833333
aszod pusta,,04,47.9333333,17.8666667
bab,,04,48.3166667,17.8666667
babie,,05,49.0666667,21.5
babina,,01,48.4333333,19.1
babin,,08,49.3333333,19.3833333
babindol,,04,48.2833333,18.25
babinec,,01,48.5166667,20.0
babin potok,,05,49.1166667,21.2166667
babisis,,08,49.3333333,18.5166667
babkov,,08,49.1666667,18.65
bab majer,,04,48.2833333,17.9
babolici,,06,48.7333333,17.65
bacala majer,,04,48.1833333,18.0
bac,,02,48.0166667,17.3833333
bac,,07,48.1333333,17.5666667
bacfa,,02,48.0166667,17.3833333
bacin,,08,49.2166667,18.9333333
backa,,03,48.4333333,22.05
backov,,03,48.75,21.6166667
backovik,,03,48.7833333,21.4333333
bacovce,,04,48.2333333,18.9166667
bacovna,,03,48.95,22.0
bacuch,,01,48.8666667,19.8166667
bacurov,,01,48.5166667,19.0666667
bad'an,,01,48.3333333,18.85
badice,,04,48.4,18.1333333
badin,,01,48.2666667,19.0666667
bad schmecks,,05,49.15,20.2333333
bagota,,04,47.8833333,18.2
bahon,,07,48.3,17.45
bajany,,03,48.6,22.1166667
bajc,,04,47.9166667,18.2166667
bajcs,,04,47.9166667,18.2166667
bajerov,,05,48.95,21.1166667
bajerovce,,05,49.2166667,20.8
bajes,,04,47.9166667,18.2166667
bajka,,04,48.15,18.5166667
bajtava,,04,47.85,18.75
baka,,02,47.9,17.5333333
bakohaza,,01,48.1666667,19.9833333
bakta,,01,48.4,20.1
balaze,,01,48.8166667,19.2
balazsfa,,02,47.9833333,17.6666667
balazstag,,04,47.85,18.2333333
baldovce,,05,48.9833333,20.7166667
balince,,01,48.4,19.9166667
balog,,01,48.0833333,19.1333333
balogovska pusta,,04,47.7666667,18.3666667
balog-ujfalu,,03,48.35,20.2
balon,,02,47.8333333,17.6666667
balony,,02,47.8333333,17.6666667
balovia,,08,49.2833333,18.7166667
balpotok,,05,49.1166667,21.2166667
balvany,,04,47.8333333,18.0166667
bana,,03,48.6666667,20.5166667
bana lucia,,03,48.7333333,20.9333333
banka,,07,48.5833333,17.85
bankov,,03,48.75,21.2166667
banky,,01,48.4833333,18.8666667
banky,,06,48.7833333,18.5
banova,,08,49.2,18.7333333
banov,,04,48.05,18.2
banovce,21328,06,48.7166667,18.2666667
banovce nad bebravou,,06,48.7166667,18.2666667
banovce nad ondavou,,03,48.6833333,21.8166667
banovska kesa,,04,48.05,18.2
banska bela,,01,48.4833333,18.9333333
