names,population,state_code,lat,lon
aberdeen,,04,8.4925,-13.2844444
adonkia,,04,8.4166667,-13.2686111
aku town,,02,8.6638889,-13.1880556
alikalia,3279,02,9.1666667,-11.4
allen town,,04,8.4136111,-13.1602778
amaria,,02,8.7302778,-13.1905556
angola,,04,8.4119444,-13.265
angola town,,04,8.4119444,-13.265
baama,,01,8.1880556,-10.3461111
baama,,03,8.1,-11.45
baba,,03,7.3069444,-12.2219444
babahun,,01,8.05,-10.9333333
babakalia,,02,9.35,-11.95
babalahun,,01,7.9883333,-11.3275
babawahun,,01,7.9883333,-11.3275
babu,,03,7.4455556,-12.46
babura,,02,8.9833333,-11.5833333
baburo,,02,9.0333333,-10.9166667
bachalo,,03,7.5947222,-12.8588889
bada,,01,8.4666667,-10.7
badi,,02,9.1666667,-12.4333333
badja,,01,8.3666667,-11.5333333
bado,,01,8.0,-11.2833333
badugula,,02,9.9,-12.2166667
bafawahun,,01,7.7166667,-11.3
bafehun,,01,7.8833333,-10.9166667
bafodia,,02,9.6833333,-11.7333333
bafodu,,01,8.7166667,-10.6166667
baga,,02,8.7166667,-11.5666667
bagahun,,02,9.35,-11.9833333
bagayima,,01,8.65,-10.7166667
bagbamma,,04,8.3322222,-13.0180556
bagbe,,01,7.3833333,-11.2
bagbema,,01,8.7,-11.25
bagbwema,,03,8.15,-12.15
bagemba,,01,8.7,-11.25
baha,,03,7.5091667,-12.3183333
bahal,,03,7.5319444,-12.0169444
bahama,,01,7.5888889,-11.0663889
bahama,,03,7.2977778,-11.3486111
bahol,,03,7.5277778,-12.0308333
baia,,02,8.6572222,-13.1944444
baiama,,01,7.6666667,-11.3333333
baiama,,03,7.3333333,-11.2666667
baiame,,01,8.5166667,-10.9666667
baiawa,,03,7.4166667,-11.7166667
baiawaindu,,01,8.9833333,-11.0333333
baibunda,,02,8.8833333,-12.3
baidu,,01,8.5,-11.05
baiima,,01,7.9002778,-10.9297222
baiima,2826,03,7.8333333,-11.6166667
bainaru,,01,8.1666667,-10.6666667
baine,,02,8.4991667,-13.0663889
baiwala,,01,7.9941667,-10.6475
bajibo,,01,8.1,-10.8
baka,,01,7.8436111,-11.4661111
baka,,02,8.4891667,-13.0788889
baka,,03,7.4305556,-12.2883333
bakaia,,02,9.3666667,-11.25
bakando,,02,8.95,-10.7833333
bake,,02,8.9166667,-11.9166667
bakebana,,02,8.4030556,-13.0738889
bakedu,,01,8.6666667,-11.15
bakelimri,,02,8.85,-13.0847222
bake loko,,02,8.4,-12.3
bake mamule,,02,8.4666667,-12.9166667
bakinia,,02,8.7452778,-13.165
baknya,,01,8.5,-11.15
bakodu,,01,8.6166667,-10.55
bakolo,,02,8.72,-13.0641667
bakuidu,,01,8.85,-10.9
bakuya,,01,8.5,-11.15
balahun,,01,8.2533333,-10.4916667
balahun,,03,7.9255556,-12.0147222
balalo,,03,7.4833333,-12.5166667
balamuya,,02,9.1666667,-12.95
balandugu,,02,9.6666667,-11.5666667
balansera,,02,8.9158333,-13.1794444
balantin,,03,8.1,-12.7666667
balea,,02,8.9,-11.45
bale,,02,9.2,-10.7666667
bale,,03,7.3833333,-11.7833333
balentakura,,02,9.8,-12.3333333
balia,,02,8.9166667,-11.7333333
bali,,02,8.85,-13.1
balinia,,02,8.65,-12.6
ballo wharf,,02,8.8341667,-13.2333333
balo,,03,7.4763889,-12.3419444
balu,,01,8.3,-10.6166667
bamabalia,,02,8.9166667,-11.5
bama,,03,7.1713889,-11.4036111
bamaia,,02,8.9666667,-11.45
