names,population,state_code,lat,lon
abattoirs,,01,14.6794444,-17.4497222
abdalla,,04,16.25,-13.9666667
abdallah,,04,16.25,-13.9666667
abdou,,03,14.95,-16.3333333
abdou dao,,08,14.9166667,-15.7333333
abdou dia,,08,15.55,-16.35
abekouta,,11,13.3333333,-14.6166667
abeme,,12,13.0,-16.7333333
abirane gaye,,04,15.8833333,-16.2333333
adabere,,04,15.1333333,-12.7833333
adeane,,12,12.63,-16.0169444
adebere,,04,15.1333333,-12.7833333
adiana,,11,12.45,-15.8166667
adioufa,,11,12.5433333,-15.7541667
adjing,,11,12.4575,-15.6719444
adoun bram,,12,12.4683333,-15.9158333
adoune bram,,12,12.4683333,-15.9158333
afe,,03,14.7833333,-15.9333333
afe niang,,08,15.775,-16.2591667
affe,,08,15.75,-16.3
affiniam,,12,12.6544444,-16.3627778
affinian,,12,12.6544444,-16.3627778
afia,,11,13.2333333,-13.7
afiniam,,12,12.6544444,-16.3627778
aga,,07,14.3666667,-16.7666667
aga babou,,07,14.3333333,-16.75
agnak,,12,12.5719444,-16.1219444
agnak grand,,12,12.5719444,-16.1047222
agnak petit,,12,12.5719444,-16.1219444
agoun,,12,12.4538889,-16.5344444
aguior,,12,12.9333333,-16.1333333
ahabetou talap,,08,14.8666667,-15.6166667
aher,,12,12.6733333,-16.7
ahere,,12,12.6733333,-16.7
ahibdia,,08,15.5166667,-15.85
ahinga,,12,12.4125,-16.3641667
ai,,07,14.7361111,-17.1211111
aidara,,09,13.6833333,-16.4166667
aidra,,09,13.6833333,-16.4166667
aine bala,,04,16.0166667,-13.7166667
aine madi,,11,12.7166667,-14.9833333
ainoumal,,08,15.85,-16.0166667
ainoumal,,10,13.6166667,-15.6666667
ai noumale,,07,15.0166667,-16.3
ainoumane,,07,15.0166667,-16.3
ainoumane,,09,13.0691667,-16.5780556
aitia,,01,14.7127778,-17.1602778
akal,,11,12.8,-13.6666667
akinntou mankagne numero 1,,11,12.5319444,-15.88
akintou,,11,12.5319444,-15.88
akounde,,11,13.1333333,-14.3333333
aladji ali,,08,15.2833333,-15.9
aladji omar,,08,15.0333333,-15.8833333
alahina,,05,14.4333333,-12.2
alakounda,,12,13.1666667,-15.9666667
alaleri,,05,14.85,-12.55
alalevi,,05,14.85,-12.55
alalevy,,05,14.85,-12.55
alali,,05,13.9333333,-13.4833333
alalima,,05,14.4333333,-12.2
alalon,,11,12.9833333,-14.5666667
alana,,04,14.9166667,-12.6
alanbato,,11,12.8958333,-15.5644444
alarba,,04,16.4333333,-15.7
albadar,,12,13.0,-16.7
alfa sadou,,11,12.7,-15.0166667
alie,,03,14.9166667,-15.9
ali gane,,10,14.0666667,-15.6166667
alika,,09,14.6833333,-15.6333333
alikali,,11,12.9166667,-13.7
ali ndene,,08,15.5166667,-15.8
aline madi,,11,12.7166667,-14.9833333
alinnguel,,05,13.8,-12.1833333
alinnkane,,05,14.2166667,-12.2
ali ouri,,04,15.9666667,-13.3666667
ali yoro ndero,,08,15.6833333,-15.7333333
alkalikounda,,11,12.8688889,-15.9438889
alla gaouri,,10,13.9166667,-15.6
allague,,05,14.1333333,-13.0333333
allouki,,10,14.1833333,-15.3833333
alo,,04,16.6,-14.4666667
alouki,,10,14.2833333,-15.6666667
aloulaye,,08,15.7666667,-16.1666667
