names,population,state_code,lat,lon
aabaan weyn,,04,2.65,44.0166667
aabaan yare,,04,2.6166667,44.0333333
aabarak,,04,3.0666667,43.5
aabow,,04,3.0333333,44.1666667
aadan harmey,,14,1.4333333,43.9166667
aadan nuur,,14,1.8333333,44.6333333
aadan waraabow,,01,3.5833333,43.8666667
aadan yabaal,,07,3.7833333,46.25
aaminaay,,06,2.3,42.3333333
aantaara,,03,11.4413889,49.5530556
aawla,,04,2.9666667,44.0166667
aayolay,,04,3.05,43.95
abaaji,,05,3.6,46.95
abaarey,,10,7.0833333,47.4833333
abaarso,,16,9.6,43.8833333
abaar yoma,,04,2.6833333,44.1
abaati,,08,2.0833333,42.5166667
abaayle,,06,2.1,42.25
abaayow,,14,2.6833333,45.1
ababscia,,14,1.6333333,44.2666667
abac gurei,,04,2.7666667,43.7833333
abag dheere,,01,3.9833333,44.35
abakor cadaawe,,16,10.0333333,43.35
abal,,01,3.9333333,43.9333333
abaq dheere,,08,1.6169444,42.3833333
abaq mudule,,14,1.35,44.2
abaqsaarre,,04,2.9166667,44.05
`abasa,,16,10.1166667,43.2333333
abawle,,04,2.7666667,44.1
abbaayow,,14,2.7,45.0833333
abbannaale,,14,2.2166667,45.15
abbas,,13,2.8833333,45.45
abdi ali,,14,1.75,44.4833333
abdi arbo,,09,-0.0333333,42.6
abdi boloh,,15,9.2666667,45.8333333
abdi farah,,15,9.1833333,44.9833333
abdille,,14,2.3333333,44.8333333
abdi uurane,,04,2.8833333,43.8666667
abdurug,,04,3.0166667,43.4833333
abduuch,,05,6.2166667,46.3833333
abeesaale,,01,4.9,44.5166667
abeesaale,,14,2.7666667,45.1333333
abees eemid,,04,3.1166667,43.4666667
abeesgarwaal,,04,3.1166667,43.5
abesale,,01,4.9,44.5166667
abikarow,,14,1.7333333,44.6666667
abliko,,14,1.8666667,44.7333333
abo,,03,11.7833333,50.5166667
aboow cali,,14,1.75,44.55
aboreu,,09,0.0755556,42.7327778
aborey,,07,4.0166667,45.6833333
aborko,,04,2.9,43.95
aboro,,09,0.0755556,42.7327778
aborou,,09,0.0755556,42.7327778
abou,,01,4.35,43.05
abrarow,,14,1.3333333,43.8333333
abrone,,06,2.4666667,41.5833333
abu gala,,09,0.0666667,41.3666667
aburriin,,16,9.5166667,43.8166667
abuukar xaaji figow,,04,2.9666667,43.4
abuu sheegow,,14,1.4166667,44.2833333
acable,,01,4.35,44.7
acaca,,08,1.5433333,42.4341667
acqua uadi,,11,8.15,48.35
ada,,11,9.9166667,43.7833333
adada,,09,-1.1,41.7333333
adad,,15,8.9333333,45.95
adadere,,07,3.2666667,45.6333333
adad gheri,,04,2.3166667,42.7166667
adadle,,16,9.7666667,44.6833333
adadleh,,16,9.7666667,44.6833333
adado,,05,6.15,46.6333333
`adado,,09,-1.1,41.7333333
adahio,,13,2.3833333,45.7666667
adaio,,05,4.4,46.4333333
adale,,13,2.75,46.3166667
adale,,14,2.4833333,45.2166667
adale afuen,,07,3.2333333,45.4166667
adale afweyna,,07,3.2333333,45.4166667
adalei,,10,1.9333333,43.3
adalei,,14,2.4833333,45.2166667
adale ibrahim,,07,3.2,45.3666667
adaliyow,,14,1.75,44.6333333
adalou,,13,2.9,45.5166667
adat,,10,5.4166667,47.5166667
addomo,,09,0.6666667,42.7166667
addow,,01,3.5833333,43.8166667
`addudo,,14,1.1666667,43.1333333
ade adeye,,11,8.6666667,47.15
adega,,13,2.55,45.3333333
adega mobilen,,13,2.55,45.3333333
adego,,03,8.9666667,49.5833333
adegow,,04,3.4166667,43.3833333
adeile,,10,1.9333333,43.3
adelta,,14,1.15,43.4666667
adhicadeeye,,11,8.6666667,47.15
adim,,10,4.6544444,47.8575
adinsoone,,03,9.5333333,49.2333333
adizona,,03,9.5333333,49.2333333
adudo,,14,1.1666667,43.1333333
aduma,,14,1.7666667,44.5666667
aesow,,14,1.75,44.6
aeula,,03,11.9666667,50.75
afaafo,,04,2.35,43.7666667
afad,,07,3.5833333,45.6666667
afar daar,,07,3.1666667,44.8166667
afar iato,,04,3.25,43.55
af barwaaqo,,10,6.5,48.7833333
af ed,,10,1.9666667,43.3666667
af gedud,,11,8.3833333,49.15
afgoi addo,,13,3.25,45.55
afgoi,,14,2.15,45.1166667
afgooy,,08,0.9491667,42.6216667
afgooye,,01,3.45,43.8333333
afgooye,,08,2.2166667,42.2833333
afgooye,,14,2.15,45.1166667
afgooye,,15,9.75,45.6333333
afgooye cadde,,13,3.25,45.55
afgooye yare,,14,1.6666667,44.4166667
afgoye,65461,14,2.15,45.1166667
af gudud,,03,10.0666667,50.1833333
af gudud,,11,8.3833333,49.15
af gudut,,03,10.0666667,50.1833333
afguduudle,,10,5.7666667,48.05
afhuug,,04,3.1333333,43.6333333
afjiinow,,04,2.9333333,43.6333333
afkala haya,,03,11.9,50.5833333
af karin,,03,11.2833333,50.1666667
afmadoow,,09,0.5172222,42.0711111
afmadow,,09,0.5172222,42.0711111
afmadu,11939,09,0.5172222,42.0711111
af ruugleey,,03,10.2166667,50.9
afuein,,14,1.5333333,44.5333333
af uen,,07,3.3,45.15
afweyn,,14,1.5333333,44.5333333
af yar,,06,2.4333333,42.3166667
agabar,,16,9.9166667,43.9166667
`ag,,03,8.4333333,50.2333333
agagable,,06,2.1666667,42.15
agamsaha,,16,9.6833333,43.6833333
agarada,,15,8.6333333,45.7
agarboale,,03,10.4833333,50.8166667
