names,population,state_code,lat,lon
abanna kondre,,10,5.1333333,-54.9833333
abenaston,,18,4.45,-55.3666667
abendanon,,18,4.2833333,-54.5
abenekokondre,,13,5.3,-54.2333333
abene-oton,,18,4.45,-55.3666667
abetwakondre,,18,3.9166667,-54.8
abontjeman,,18,4.8666667,-55.0
acote,,18,4.3333333,-54.45
adawai,,10,4.5833333,-55.1833333
adjama,,10,4.8166667,-55.0
adjamoe-kondre,,13,5.6,-54.25
adjoemakondre,,13,5.6,-54.25
affifisitie,,18,4.05,-54.8
affivisiti,,18,4.05,-54.8
affivisitie,,18,4.05,-54.8
affobakka,,10,5.0,-54.9833333
afobaka,,10,5.0,-54.9833333
agama kreek,,15,5.5,-54.7
agamakriki,,15,5.5,-54.7
agila,,15,5.3666667,-55.0
agitiondro,,13,5.7833333,-54.4666667
agitriondre,,13,5.7833333,-54.4666667
agossa,,18,3.5,-55.1
ajokojokondre,,18,3.9166667,-54.8
akalikondre,,13,5.6,-54.4333333
akalli kondre,,13,5.6,-54.4333333
akoelitatajeprati,,18,4.15,-55.9
akoelitatojeprati,,18,4.15,-55.9
akote,,18,4.3333333,-54.45
akroikondre,,13,5.4666667,-54.1
alalapadu,,18,2.5333333,-56.3333333
albina,4138,13,5.5,-54.05
aliance,,11,5.9,-54.9
alkmaar,,11,5.85,-55.0333333
alliance,,11,5.9,-54.9
aloepi 1,,18,2.8166667,-55.8833333
aloepi 2,,18,2.8,-55.9
aloepi,,18,2.8166667,-55.8833333
aloepi een,,18,2.8166667,-55.8833333
aloepi twee,,18,2.8,-55.9
alopi,,18,3.25,-55.5333333
alopidorp,,18,3.25,-55.5333333
americankondre,,18,4.8333333,-54.4666667
anapaike,,18,3.4166667,-54.0333333
anapi,,18,2.35,-56.2833333
aneewakampoe,,18,3.9666667,-54.8
aneewakondre,,18,3.9666667,-54.8
anna maria,,17,5.8666667,-55.5666667
antongron,,17,5.8833333,-55.65
antonigron,,17,5.8833333,-55.65
apetina,,18,3.5,-55.0666667
apikalo,,18,2.1166667,-56.25
apikollo,,18,2.1166667,-56.25
apikolo,,18,2.1166667,-56.25
apikotto,,18,2.1166667,-56.25
apoekakondre,,18,3.9,-54.8
apoera,,18,5.2,-57.1666667
apoteki,,18,2.8833333,-55.3833333
apotheki,,18,2.8833333,-55.3833333
apothekidorp,,18,2.8833333,-55.3833333
appera,,18,5.2,-57.1666667
appikalo,,18,2.1166667,-56.25
apura,,18,5.2,-57.1666667
arakoniekondre,,18,5.3333333,-56.4833333
arokonie kondre,,18,5.3333333,-56.4833333
asafiri kondre,,17,5.5,-55.9
asidonhopo,,18,4.0,-55.4833333
asidonhoppo,,18,4.0,-55.4833333
asidonkondre,,18,3.8333333,-54.85
asindonhopo,,18,4.0,-55.4833333
asoenoebo,,18,4.6166667,-55.6833333
asognekondre,,18,4.2166667,-54.55
assidonhoppo,,18,4.0,-55.4833333
atereboto,,18,4.45,-55.7666667
atipakondre,,18,3.95,-54.8
auca,,10,5.35,-55.0333333
aucaners,,18,3.8,-54.85
aurora,,18,4.3833333,-55.4
awadam,,18,3.8333333,-55.65
awa-damkondre,,18,3.8333333,-55.65
baikoetoe,,10,4.5666667,-55.3
bajkoetoe,,10,4.5666667,-55.3
bakrakondre,,18,3.8,-55.7
bakra oppestan,,10,4.7333333,-55.1
bakra-oppeston,,10,4.7333333,-55.1
bakra opposton,,10,4.7333333,-55.1
bakrapranas,,18,3.8,-55.7
balin,,18,4.9333333,-55.55
baloemadam,,18,3.9833333,-55.5
bamboesi,,13,5.5333333,-54.0333333
bamboesie,,13,5.5333333,-54.0333333
basiakampoe,,13,5.65,-54.2
batavia,,17,5.7,-55.8666667
beerdoti,,10,4.7833333,-55.0666667
beerdotti,,10,4.7833333,-55.0666667
begoeba,,18,4.3166667,-55.4166667
belwaarde,,11,5.85,-55.0833333
bendorp,,18,3.6833333,-54.0833333
bensdorp,,18,3.6833333,-54.0833333
benzdorf,,18,3.6833333,-54.0833333
benzdorp,,18,3.6833333,-54.0833333
berceba,,15,5.5166667,-55.2166667
berendslust,,11,5.6,-55.0333333
bergendaal,,10,5.15,-55.0666667
berg en dal,,10,5.15,-55.0666667
bergen op zoom,,11,5.55,-55.0333333
berlijn,,15,5.4,-55.2166667
bersaba,,15,5.5166667,-55.2166667
bethania,,17,5.85,-55.4833333
bethesda,,11,5.6166667,-55.0666667
bethsebs,,15,5.5166667,-55.2166667
biakronie,,18,3.8333333,-54.85
bigi poika,,15,5.4166667,-55.5
bigiston,,13,5.4,-54.1333333
bilawatra,,18,4.9333333,-55.55
bilo langa hoekoe,,13,5.7666667,-54.4
birihoedoematoe,,10,4.9,-55.0833333
birthoedoematoe,,10,4.9,-55.0833333
bitagron,,18,5.1666667,-56.1
blakawabra,,15,5.3833333,-54.9166667
blakawatra,,15,5.3833333,-54.9166667
bloferie,,15,5.6166667,-55.3833333
bofe,,18,5.0,-55.55
bombay,,14,5.8333333,-56.8166667
boom jachtlust,,11,5.8166667,-55.1
boschland,,10,5.1,-54.9833333
boschland,,18,4.3333333,-55.7833333
boskamp,,17,5.7833333,-55.9
bosland,,10,5.1,-54.9833333
bosland,,18,4.3333333,-55.7833333
boslanti,,18,4.3333333,-55.7833333
boston,,15,5.7166667,-55.3666667
botopasi,,18,4.2333333,-55.45
botopasie,,18,4.2333333,-55.45
botopassi,,18,4.2333333,-55.45
bottopass,,18,4.2333333,-55.45
bottopassi,,18,4.2333333,-55.45
bottriekoe santi,,18,5.0666667,-55.55
boxel,,11,5.7166667,-55.1
broederschap,,17,5.8833333,-55.55
brokolonko,,18,5.0333333,-55.5333333
brokolonko placer,,18,5.0333333,-55.5333333
brokopondo,2072,10,5.0666667,-54.9666667
