names,population,state_code,lat,lon
a. andrade,,02,0.2333333,6.7
abade,,01,1.6333333,7.45
agua-coco,,02,0.05,6.5333333
agua ize,,02,0.2166667,6.7333333
alto douro,,02,0.05,6.5333333
amparo,,02,0.1833333,6.6666667
amparo ii,,02,0.3166667,6.7166667
anselmo de andrade,,01,1.6,7.3666667
antonio dias,,02,0.2,6.6666667
atalaia,,01,1.6166667,7.45
azeitona,,01,1.6666667,7.4
babudo,,01,1.65,7.4
bela vista,,01,1.6166667,7.4166667
bela vista,,02,0.3666667,6.7
belmonte,,02,0.3333333,6.65
belo monte,,01,1.6833333,7.45
bemfica,,02,0.3166667,6.65
bemposta,,02,0.3166667,6.6333333
b. faro,,02,0.2333333,6.6666667
binda,,02,0.2166667,6.4666667
blublu,,02,0.3166667,6.7166667
boa entrada,,02,0.35,6.6666667
boa esperanca,,02,0.3333333,6.6333333
bombaim,,02,0.25,6.6333333
bombom,,01,1.6833333,7.4
bombon,,02,0.3166667,6.7333333
buenos aires,,02,0.2666667,6.7166667
buenos ayres,,02,0.2666667,6.7166667
cadao,,02,0.3333333,6.5333333
caixao grande,,02,0.3,6.7166667
caldeiras,,02,0.35,6.6333333
campainha,,01,1.6833333,7.4333333
canavial,,02,0.3833333,6.6666667
cantagalo,,02,0.2166667,6.6833333
caridade,,02,0.2,6.7
cascalheira,,01,1.6833333,7.4166667
catumbela,,02,0.25,6.6666667
chamico,,02,0.3166667,6.6
cidade de santo antonio,,01,1.65,7.4333333
cincoenta,,01,1.6833333,7.3666667
colonia acoreana,,02,0.1833333,6.6833333
correio,,01,1.6,7.35
costa e silva,,01,1.5666667,7.35
diana,,02,0.3333333,6.6833333
diogo vaz,,02,0.3166667,6.5
dona augusta,,02,0.1166667,6.6333333
dona eugenia,,02,0.1333333,6.6166667
enjale,,02,0.0333333,6.5166667
ermelinda,,02,0.1333333,6.5833333
esperanca,,01,1.6333333,7.4
esprainha,,02,0.3333333,6.5166667
fernao dias,,02,0.4166667,6.6833333
f. mantero,,02,0.25,6.7166667
