names,population,state_code,lat,lon
acachapa,,13,13.5483333,-89.6677778
acajutla,22764,13,13.5927778,-89.8275
aceituno,,08,13.75,-88.1166667
aceituno,,12,13.4833333,-88.6833333
achichilquito,,12,13.5666667,-88.7166667
agua,,07,13.1675,-88.0313889
agua blanca,,07,13.7486111,-87.9208333
agua blanca,,08,13.8166667,-88.05
agua blanca,,10,13.9888889,-89.2880556
agua caliente,,03,14.1833333,-89.2333333
agua caliente,,05,13.8691667,-89.2577778
agua caliente,,07,13.2411111,-87.96
agua caliente,,13,13.7166667,-89.6333333
aguacatal,,03,14.3333333,-89.1166667
aguacate,,02,13.8666667,-88.6
aguacayo,,04,13.9277778,-89.0494444
aguacayo,,14,13.3333333,-88.5833333
aguachapio,,01,13.7666667,-89.9833333
agua chuca,,13,13.6491667,-89.5833333
agua escondida,,05,13.8308333,-89.3508333
agua escondida,,07,13.2975,-87.8108333
agua fria,,01,13.9016667,-90.0
agua fria,,03,14.2333333,-89.25
agua fria,,07,13.4002778,-87.9333333
agua fria,,08,13.8833333,-88.0333333
agua fria,,11,13.95,-89.5166667
agua fuerte,,12,13.4166667,-88.7333333
agua helada,,10,13.9888889,-89.2880556
agua helada,,12,13.7166667,-88.7333333
aguaje escondido,,03,14.1,-89.1666667
agua salada,,07,13.5833333,-87.8333333
agua salada,,09,13.4761111,-88.1061111
agua santa,,13,13.7,-89.75
aguas frias,,07,13.4002778,-87.9333333
agua shuca,,01,13.9166667,-89.8
agua shuca,,13,13.6491667,-89.5833333
agua zarca,,02,13.8833333,-88.65
agua zarca,,03,14.1333333,-89.2166667
agua zarca,,06,13.4,-88.8
agua zarca,,08,13.7666667,-88.0833333
agua zarca,,09,13.5333333,-88.2
aguilares,21445,10,13.9572222,-89.1897222
ahuachapan,34104,01,13.9213889,-89.845
ahuachapio,,01,13.7666667,-89.9833333
ajuluco,,04,13.8166667,-88.9333333
albornoz,,07,13.5833333,-87.95
albornoz arriba,,07,13.5833333,-87.95
albornoz de arriba,,07,13.5833333,-87.95
alcancia,,14,13.2833333,-88.4666667
aldea de la cruz,,11,13.9111111,-89.4919444
aldea del zapote,,11,14.2833333,-89.3833333
aldea de mercedes,,10,13.8,-89.2
aldea el zapote,,11,14.2833333,-89.3833333
aldea mercedes,,10,13.8,-89.2
aldea san antonio,,11,13.9833333,-89.5666667
aldea vieja,,03,14.05,-88.85
aldea zapote,,11,14.2833333,-89.3833333
aldeita,,03,14.1333333,-89.1166667
alegria,,14,13.5,-88.4833333
aleman,,13,13.6691667,-89.7230556
almendro,,13,13.7711111,-89.7016667
almohadas,,11,14.1666667,-89.45
altamiz,,09,13.3577778,-88.0972222
alto del llano,,09,13.4275,-88.1861111
alto del roble,,07,13.3241667,-87.9761111
alto el roble,,07,13.3241667,-87.9761111
alto el sitio,,03,13.9833333,-88.8833333
altomiro,,09,13.5833333,-88.1833333
altos del mora,,09,13.4116667,-88.0844444
altos del moral,,09,13.4116667,-88.0844444
alvarenga,,03,14.0,-88.8
alvares,,05,13.7333333,-89.2666667
alvarez,,05,13.7333333,-89.2666667
amapalita,,07,13.305,-87.8294444
amapalito,,07,13.305,-87.8294444
amaquilco,,05,13.5833333,-89.25
amatecampo,,06,13.4361111,-89.1347222
amate de taltapanca,,01,13.8333333,-89.7833333
amatepe,,06,13.5122222,-89.0261111
amatepeque,,10,13.6833333,-89.1666667
amatillo,,01,13.7822222,-90.1075
amatillo,,14,13.1666667,-88.2333333
amatitan abajo,,12,13.7666667,-88.7166667
amatitan,,10,13.7,-89.1
amatitan arriba,,12,13.75,-88.7333333
amaya,,09,13.5666667,-88.35
amayo,,06,13.5666667,-88.8833333
amayo,,10,13.5172222,-89.1719444
amayon,,10,13.5172222,-89.1719444
amulunco,,06,13.5666667,-88.9666667
anal abajo,,13,13.7833333,-89.7333333
