names,population,state_code,lat,lon
aaba kebire,,01,36.8666667,40.2333333
aaba serhire,,01,36.85,40.2333333
aabateine,,04,36.6666667,39.0166667
aabba,,14,34.9666667,35.8833333
aabbade,,08,33.5,36.5666667
aabbassiye,,11,34.5833333,37.0
aabb ej jinnate,,12,35.45,37.1166667
aabb el khazne,,10,35.4166667,37.1166667
aabboudiye,,11,34.35,36.8666667
aabd ech cheikh,,04,36.5166667,38.95
aabdekliye,,09,36.4666667,38.3666667
aabdet biche,,09,35.8,37.4333333
aabdine,,03,32.7666667,35.8166667
aabdou,,04,36.4333333,38.9666667
aaber beit sif,,10,35.3666667,36.3
aable,,09,36.4166667,37.35
aabra,,01,37.0275,41.7863889
aabreita,,12,36.15,36.65
aabreite,,12,36.1333333,36.5166667
aabtine,,09,36.05,37.1166667
aacharheu tachleuk,,09,36.7666667,38.5166667
aacharne,,10,35.2666667,36.4
aachchet charqiye,,11,34.5,38.3166667
aache,,03,32.9666667,35.8666667
aacheq omar,,10,34.95,36.3166667
aachini,,09,36.2166667,37.9
aachqane,,09,36.8166667,38.4666667
aadaouane,,06,32.8166667,35.9833333
aadassiye,,12,35.8166667,36.2166667
aaddaye,,01,36.7166667,40.8333333
'aadeissa,,03,32.8238889,35.6988889
aadliye,,08,33.3666667,36.3333333
aadouane,,06,32.8166667,35.9833333
aadra,,08,33.6166667,36.5
aafrine,,09,36.2333333,37.3333333
aafrite,,01,36.9333333,40.7
aafsouniye,,14,34.9,36.0833333
aahire,,05,32.8833333,36.4666667
aajaja,,01,36.25,40.7666667
aajami,,06,32.7333333,35.9833333
aajami,,09,36.4666667,37.7
aajeilate,,05,32.7666667,36.7833333
aajjaz,,10,35.6166667,36.9166667
aajjel,,09,36.1833333,36.9166667
aajjoura,,09,36.0833333,37.9166667
aakakir,,10,34.9333333,36.45
aakiba,,09,36.4333333,36.9666667
aakkari,,11,34.6666667,36.1833333
aakobar,,08,33.7333333,36.4666667
aakrak,,02,35.85,35.8833333
aalamdar,,09,36.7166667,36.7333333
aalgana,,09,36.2166667,37.6333333
aali badrane,,01,37.0611111,41.7341667
aali bajliye,,04,36.5333333,38.9833333
aalidji,,09,36.5666667,37.4666667
aali farro,,01,37.0166667,41.0833333
aali koz,,01,37.0555556,41.7811111
aalio,,02,35.7,36.1166667
aali qorane,,01,36.95,40.8
aalissa,,09,36.2333333,37.75
aaliyate,,11,34.5333333,36.8333333
