names,population,state_code,lat,lon
abercorn,,02,-26.8333333,32.1333333
abercorn point,,02,-26.8333333,32.1333333
abercorn pont,,02,-26.8333333,32.1333333
balegana,,01,-26.1,31.5666667
balegane,,01,-26.1,31.5666667
balegane store,,01,-26.1,31.5666667
bennets,,01,-25.95,31.5166667
bhunya,3050,03,-26.55,31.0166667
big bend,10344,02,-26.8166667,31.9333333
bremersdorp,,03,-26.4833333,31.3666667
bulembu,2263,01,-25.9666667,31.1333333
bunya,,03,-26.55,31.0166667
commissie nek,,01,-26.3333333,31.2333333
compound,,01,-25.9666667,31.1333333
croydon,,01,-26.2,31.5666667
darkton,,01,-26.2333333,31.0333333
darktown,,01,-26.2333333,31.0333333
dwaleni,,04,-27.1666667,31.2666667
emhlembi,,01,-25.9666667,31.1333333
emlembe,,01,-25.9666667,31.1333333
esulweni,,01,-26.4,31.1666667
etjanine,,03,-26.3833333,30.9
ezulweni,,01,-26.4,31.1666667
ezulwini,,01,-26.4,31.1666667
forbes reef,,01,-26.1666667,31.1
gege,,04,-26.95,31.0166667
goedgegun,,04,-27.1166667,31.2
gollel,,04,-27.3166667,31.9
grand valley estate,,04,-26.9166667,31.2833333
granvalley,,04,-26.9166667,31.2833333
havelock,,01,-25.95,31.1333333
havelock mine,,01,-25.95,31.1333333
herefords,,01,-25.8333333,31.5
hlatikulu,2748,04,-26.9666667,31.3166667
hluti,6763,04,-27.2166667,31.6166667
holobela,,02,-26.7,31.8333333
horo,,01,-25.75,31.4166667
inyetane,,02,-26.5333333,32.0166667
kobolondo heights,,01,-25.9,31.2166667
kubuta,2038,04,-26.8833333,31.4833333
kwaluseni,3395,03,-26.4833333,31.3333333
lavumisa,1300,04,-27.3166667,31.9
lismore,,04,-27.1166667,31.9333333
lobamba,4557,01,-26.4666667,31.2
lobomba,,01,-26.4666667,31.2
lomahasha,,01,-25.9833333,32.0
lomati,,01,-25.8166667,31.35
lomati store,,01,-25.8166667,31.35
lubuli,,02,-27.0166667,31.9
luyengo,,01,-26.5333333,31.2333333
macnab,,03,-26.4166667,31.5833333
mac nabs,,03,-26.4166667,31.5833333
macnab store,,03,-26.4166667,31.5833333
madlangampisi,,01,-26.0833333,31.55
magomba,,02,-26.5666667,31.8333333
mahamba,,04,-27.1,31.0833333
mahlanya,,03,-26.5,31.2833333
malkerns,9726,01,-26.5666667,31.1833333
maloma,,04,-27.0166667,31.65
maneini,,03,-26.4833333,31.3666667
mankaiana,,03,-26.6833333,31.0833333
mankayane,,03,-26.6833333,31.0833333
manzini,110543,03,-26.4833333,31.3666667
matapa,,03,-26.5166667,31.3166667
matsapa,,03,-26.5166667,31.3166667
matsapha,,03,-26.5166667,31.3166667
mbabane,76223,01,-26.3166667,31.1333333
mbuluzana,,03,-26.35,31.5166667
mgamane,,04,-26.8166667,31.1
mhlambanyati,,03,-26.45,31.0166667
mhlambanyatsi,2886,03,-26.45,31.0166667
mhlosheni,,04,-27.1833333,31.3833333
mhlotsheni,,04,-27.1833333,31.3833333
mhlume,8654,01,-26.0333333,31.85
mhlumeni,,02,-26.25,32.1
mlawula,,02,-26.1833333,31.9833333
mliba,,01,-26.25,31.5833333
mooihoek,,04,-26.9666667,31.4666667
mvangalini,,03,-26.75,31.6
mvangatini,,03,-26.75,31.6
ngonini,,01,-25.7666667,31.3833333
nhlangano,9017,04,-27.1166667,31.2
nkanni,,01,-26.45,31.2166667
nkonjane,,02,-26.7666667,32.0833333
nokwane,,02,-26.1333333,31.9166667
nomahasha,,01,-25.9833333,32.0
nsoka,,02,-27.0333333,31.95
nsoko,1180,02,-27.0333333,31.95
nyabe,,04,-26.75,31.0833333
palata,,02,-26.5333333,32.0166667
piggs peak,,01,-25.9666667,31.25
rocklands,,01,-25.95,31.2833333
rondspring,,04,-26.8833333,31.7
sandlane,,03,-26.5666667,30.7833333
sibobela,,04,-26.8833333,31.6
sicunusa,,04,-26.8666667,30.95
sidvokodvo,1747,03,-26.6166667,31.45
sigunusa,,04,-26.8666667,30.95
sinceni,,03,-26.7666667,31.5833333
singceni,,03,-26.7666667,31.5833333
siphofaneni,,03,-26.6833333,31.6833333
sipofaneni bridge,,03,-26.6833333,31.6833333
sipofanenibrug,,03,-26.6833333,31.6833333
sipofaneni,,03,-26.6833333,31.6833333
siteki,6153,02,-26.45,31.95
sitobela,,04,-26.8833333,31.6
skombeni,,03,-26.4,31.35
spofanene,,03,-26.6833333,31.6833333
stegi,,02,-26.45,31.95
stylkloof,,04,-26.7833333,31.1333333
tahaneni,,01,-25.9833333,31.7166667
tshaneni,,01,-25.9833333,31.7166667
usutu mission,,03,-26.5833333,31.1833333
usutu,,03,-26.5833333,31.1833333
verdun,,04,-26.85,31.4
von wissel,,02,-26.8666667,31.9333333
