names,population,state_code,lat,lon
back salina,,00,21.45,-71.1333333
balfour town,,00,21.3166667,-71.2166667
bambarra,,00,21.8166667,-71.7166667
blue hills,,00,21.8,-72.2833333
blue hills settlements,,00,21.8,-72.2833333
bottle creek settlements,,00,21.8833333,-71.9166667
cockburn harbour,1744,00,21.4833333,-71.5333333
cockburn town,5525,00,21.4666667,-71.1333333
conch bar,,00,21.8333333,-71.7833333
five cays settlement,,00,21.75,-72.25
grand turk,,00,21.4666667,-71.1333333
greenwich,,00,21.95,-71.9333333
kew,,00,21.9,-72.0333333
lorimers,,00,21.7833333,-71.6833333
over back the damp,,00,21.4666667,-71.1333333
sandy point,,00,21.95,-72.0333333
the bight settlements,,00,21.7833333,-72.2
the bight,,00,21.7833333,-72.2
west road,,00,21.4666667,-71.1333333
whitby,,00,21.95,-71.9666667
yankee town,,00,21.65,-72.4666667
