names,population,state_code,lat,lon
aaba,,12,12.3666667,22.2833333
ababot,,02,14.3166667,21.7166667
abacher,,12,13.8166667,20.8166667
abachta,,01,13.2,18.3
abadji,,10,10.6333333,15.3166667
abado,,04,12.8333333,14.8
ab agaride,,01,13.5166667,19.2833333
abaher,,05,12.3333333,19.35
abakada,,02,14.55,22.25
abakar,,02,14.2666667,21.3166667
abakari karoua,,04,13.15,15.7333333
abakar karoua,,04,13.15,15.7333333
abalagn,,04,11.6666667,16.7666667
abalagne,,13,11.5333333,19.0833333
abaleinie,,04,12.3833333,15.4769444
abaleygne,,04,12.3833333,15.4769444
ab amdourou,,01,13.05,17.7166667
ab amre,,01,13.2,18.7333333
ab amsouar,,01,13.1333333,18.4166667
abani,,06,13.8166667,15.5333333
abanie birgit,,12,12.6666667,20.5
abarai,,04,10.85,16.1333333
abaron,,12,13.55,21.6
abayro,,06,14.1,15.3666667
abbi,,08,8.35,15.5333333
ab boda,,01,13.2166667,18.55
ab charami,,01,12.95,18.9333333
ab charganie,,01,13.5666667,19.0833333
ab cheikh,,04,12.4666667,16.1833333
abchour,,12,12.1666667,21.3
abdata,,12,13.45,21.9833333
ab delena,,04,12.8055556,15.2458333
abd en rasou,,01,13.5,18.65
abd er rasoul,,01,13.5,18.65
abdi,,12,12.8,21.3
abdier,,12,12.8,20.3666667
abdiguil,,01,13.7666667,19.5833333
abdilisi,,01,12.5833333,17.3333333
ab djidat,,01,12.9,19.3166667
ab djimie,,01,12.9666667,18.3833333
abdjogana,,04,12.3666667,15.0
ab djoudoul,,05,12.7166667,19.4833333
ab djouet,,01,13.2166667,18.3666667
ab djoulou,,01,13.8666667,19.9666667
abd obo,,04,12.4538889,15.3561111
ab dorot,,04,12.4208333,15.5633333
abdouel,,04,10.8,17.3833333
abdoulay kaou,,04,12.5333333,17.1166667
abd oumbour,,04,12.7166667,16.5
abdourta,,12,12.5,20.75
abdurta,,12,12.5,20.75
abebeabo,,04,10.6333333,16.5333333
abeche,74188,12,13.8166667,20.8166667
abecher,,12,13.8166667,20.8166667
abela,,13,11.1833333,20.3666667
abel basan,,04,12.1283333,15.8144444
abel bassane,,04,12.1283333,15.8144444
abele,,02,14.7833333,21.8
abelrati,,12,13.1833333,21.1
abena,,04,12.0825,15.3902778
abenakabre,,04,12.1361111,15.8433333
aberber,,02,14.25,21.25
abere,,04,11.5333333,16.7833333
aberei,,05,12.6166667,19.2
abere tchertcher,,12,12.3666667,21.6333333
abetil,,02,14.5166667,21.8
ab gabara,,01,12.6333333,18.0833333
ab gara,,01,13.1666667,18.4333333
abgara,,01,13.3666667,19.3333333
abgara,,02,14.3166667,21.2833333
ab garib,,01,13.5166667,19.2333333
abgarna,,02,14.25,22.3166667
abge,,13,11.95,19.5166667
abgoroum ramadan,,12,14.0833333,20.2333333
ab gouka,,01,12.9666667,18.9
abgue,,13,11.95,19.5166667
ab hodja,,01,12.75,19.1833333
abi,,08,8.35,15.5333333
ab idimi,,01,13.0166667,17.6833333
abidjio,,04,12.05,15.8666667
abief,,04,10.8666667,16.6333333
abiet,,02,14.3166667,21.3333333
abiet,,04,10.8666667,16.6333333
abil,,12,13.0333333,21.6
abilaye,,01,13.7166667,19.3833333
abile,,04,11.8833333,17.15
abilelai,,12,12.3833333,21.1833333
abilelay,,12,12.05,22.1333333
abilelaye,,12,12.0666667,22.1166667
abilele kebir,,12,12.9,21.6166667
abilele sarer,,12,12.8833333,21.6
abioka,,02,14.6,22.2
abioko,,01,13.0333333,18.4833333
abirbri,,12,12.6,22.1666667
abirdi,,04,12.7833333,16.6166667
abisa madala,,12,14.3333333,20.7166667
abjafa,,04,12.0791667,15.36
abjer,,12,12.6333333,20.5333333
abjouet,,01,13.2166667,18.3666667
ab kanfouta,,01,13.0666667,18.2666667
abkar djombo,,12,13.1833333,21.0833333
abkaro djonbo,,12,13.1833333,21.0833333
