names,population,state_code,lat,lon
abagatchi,,25,7.4666667,1.3
abagnivegoui,,13,6.9333333,1.2833333
abakouande,,04,9.4,1.25
abalakope,,13,6.9833333,1.1333333
abali,,18,6.8166667,1.2833333
abalo kakaou,,03,8.0333333,1.4833333
abalokope,,03,7.5166667,1.4
abalo kpele,,18,7.4333333,1.5833333
abalou-kakaou,,03,8.0333333,1.4833333
aban,,09,9.4833333,1.3166667
abanakope,,25,7.6,1.1166667
abassakope,,03,7.7333333,1.2166667
abatame,,02,6.2666667,1.65
abati kope,,02,6.2166667,1.5333333
abazikope,,18,6.5166667,1.0333333
abedinekope,,01,7.25,1.0166667
abegba,,03,8.0166667,1.5833333
abekba,,03,8.0166667,1.5833333
abekope,,18,6.7166667,0.9833333
abessakope,,18,6.4166667,0.95
abessankope,,25,7.3666667,1.15
abidikope,,18,6.55,1.0166667
abissoukope,,13,6.9833333,1.1333333
ablame,,18,6.4833333,0.8
abledo,,18,6.55,0.9666667
ablochrhi kope,,18,6.3669444,1.1016667
ablogame,,10,6.1344444,1.2633333
ablogbe,,18,6.2211111,1.0847222
abobo,,18,6.2358333,1.3761111
abodji,,25,7.3833333,1.3
abodjopo,,13,6.85,1.1666667
abofla kope,,18,6.45,0.8833333
abokoukope,,25,7.55,1.0833333
abolegbe,,18,6.5,0.9333333
abolokope,,18,6.7,1.15
abonakope,,13,7.05,1.1333333
aboni kope,,10,6.1758333,1.1919444
abonkope,,01,7.4333333,1.0333333
abossoumkofe,,16,8.1166667,0.6333333
abotesse,,25,7.5333333,1.2
aboudiokope,,18,6.65,0.7166667
aboudyo kope,,18,6.65,0.7166667
abouloukope,,25,7.3333333,1.2166667
aboundji,,18,7.1,1.6333333
abowikovhe,,18,6.4833333,0.75
abreouanko,,01,7.6166667,0.6
abrewanko,,01,7.6166667,0.6
abvelebe,,18,6.6166667,1.0166667
achikopoui,,18,7.0833333,1.6166667
adabiam,,17,6.65,1.6
adablai,,10,6.2061111,1.2191667
adabou kope,,21,6.3,1.5333333
adabyaou,,17,6.65,1.6
adafokope,,18,6.6833333,0.6666667
adagali,,08,7.0666667,0.7
adakakpe,,13,6.8166667,1.1833333
adakope,,18,6.55,0.8
adakoui,,13,6.85,1.3
adakouse,,10,6.1738889,1.2136111
adakpame,,10,6.1677778,1.2869444
adakpo kondji,,02,6.3619444,1.4897222
adame,,02,6.3333333,1.7833333
adame,,08,6.7666667,0.6666667
adame,,18,6.7,0.8333333
adamiabo,,16,8.2,0.9833333
adanauara,,09,9.2166667,1.0833333
adangbe,,18,6.5333333,1.3
adaniabo,,16,8.2,0.9833333
adanka,,13,7.25,1.1666667
adanou,,25,7.4,1.2666667
adanouve,,13,6.8833333,1.15
adate kope,,17,6.7333333,1.3333333
adato,,18,6.435,1.1861111
adavo kope,,18,6.6833333,0.6666667
adedakope,,18,7.3333333,1.3333333
adekoe,,13,7.0166667,1.1333333
adekplovi,,10,6.2091667,1.1630556
adeli,,03,7.7666667,1.2166667
adeta,,08,7.1333333,0.7333333
adeti-kope,,18,6.3230556,1.2158333
adgenou,,10,6.1847222,1.2455556
adiaboulkoukope,,25,7.3333333,1.2
adiakiti,,03,8.05,1.5666667
adialakope,,18,6.6833333,1.15
adiblikope,,18,6.5833333,0.8833333
adidogome,,02,6.3666667,1.6
adido gome,,10,6.1794444,1.1652778
adidome,,10,6.2341667,1.1572222
adidome,,18,6.2313889,1.3086111
adidovi,,18,6.3338889,1.2680556
adidovikope,,18,6.3338889,1.2680556
adiemasi kope,,18,6.5333333,0.7666667
adiemassikope,,18,6.5333333,0.7666667
adigbli,,18,6.5833333,0.8833333
adigo,,25,7.3666667,1.1166667
adioba,,03,8.25,1.5833333
adiougbe,,16,8.2333333,0.9833333
adire kope,,02,6.5333333,1.4333333
