names,population,state_code,lat,lon
aeng pok,,49,12.566667,102.45
ai,,02,19.683333,99.166667
ai na lai,,04,18.533333,100.7
ainarai,,04,18.533333,100.7
ai rot,,45,13.883333,101.216667
ai taut,,63,7.8,98.983333
akat am nuai,,20,17.6,103.983333
akat amnuai,,73,17.7,104.216667
amanat charoem,,77,15.85,104.633333
ambhawa,,54,13.416667,99.95
ambheu barnbhot,,16,15.934167,99.978889
ambheu wangha,,50,15.1,98.466667
amnat,,71,15.683333,104.65
amnat charoen,34769,77,15.85,104.633333
amper khan ngern,,58,9.95,99.066667
amphawa,,54,13.416667,99.95
ampho ban pho,,44,13.6,101.083333
amphoe akat amnuai,,20,17.533333,103.95
amphoe amnat charoen,,77,15.85,104.633333
amphoe amphawa,,54,13.416667,99.95
amphoe ao luk,,63,8.383333,98.716667
amphoe aranpradbet,,80,13.683333,102.5
amphoe aranyaprathet,,80,13.683333,102.5
amphoe at samat,,25,15.859444,103.859722
amphoe bacho,,31,6.616667,101.65
amphoe ba cho,,69,6.518889,101.651944
amphoe bachock,,31,6.616667,101.65
amphoe bachoh,,31,6.616667,101.65
amphoe bamnet narong,,26,15.499167,101.689722
amphoe ban aranyaprathet,,80,13.683333,102.5
amphoe ban bang talat,,23,16.4,103.383333
amphoe ban bung,,46,13.3,101.116667
amphoe ban chiang dao,,02,19.366667,98.966667
amphoe ban dan lan hoi,,09,17.015278,99.707778
amphoe ban don,,60,9.133333,99.316667
amphoe ban dung,,19,17.704722,103.254167
amphoe bang ban,,36,14.416667,100.466667
amphoe bang bua thong,,38,13.916667,100.433333
amphoe bang hia,,42,13.566667,100.833333
amphoe bang kaeo,,35,14.583333,100.45
amphoe bang kapi,,42,13.766667,100.65
amphoe bang khen,,38,13.866667,100.6
amphoe bang khla,,44,13.716667,101.216667
amphoe bang khon thi,,54,13.466667,99.933333
amphoe bang khun thian,,42,13.7,100.466667
amphoe bangkok noi,,40,13.75,100.483333
amphoe bangkok yai,,42,13.733333,100.483333
amphoe bang krathum,,12,16.566667,100.3
amphoe bang kruai,,38,13.8,100.483333
amphoe bang lamung,,46,12.966667,100.9
amphoe bang len,,53,14.016667,100.166667
amphoe bang mun nak,,13,16.033333,100.383333
amphoe bang nam prieo,,44,13.85,101.066667
amphoe bang pa han,,36,14.466667,100.55
amphoe bang pa-in,,36,14.233333,100.583333
amphoe bang pakong,,44,13.55,101
amphoe bang phae,,52,13.7,99.933333
amphoe bang phlat,,38,13.783333,100.5
amphoe bang phli,,42,13.6,100.716667
amphoe bang pla,,53,14,100.166667
amphoe bang pla ma,,51,14.4,100.166667
amphoe bang rachan,,33,14.883333,100.316667
amphoe bang rakam,,12,16.75,100.116667
amphoe bang rak,,40,13.733333,100.533333
amphoe bang sai,,36,14.216667,100.5
amphoe bang saphan,,57,11.116667,99.45
amphoe bang yai,,38,13.8,100.483333
amphoe ban hong,,05,18.314722,98.8175
amphoe ban khai,,47,12.783333,101.3
amphoe ban khemmarat,,75,16.05,105.216667
amphoe ban khwao,,26,15.763333,101.913056
amphoe ban kluai,,32,15.183333,100.133333
amphoe ban krai,,09,16.933333,99.966667
amphoe ban kruat,,28,14.366667,103.05
amphoe ban laem,,56,13.216667,99.983333
amphoe ban lamung,,46,12.966667,100.9
amphoe ban lat,,56,13.05,99.933333
amphoe ban mae sot,,08,16.716667,98.566667
amphoe ban meung,,41,19.166667,100.283333
amphoe ban mi,,34,15.043611,100.566111
amphoe ban mo,,37,14.616667,100.733333
amphoe ban muang,,41,19.166667,100.283333
amphoe ban na,,43,14.259167,101.068333
amphoe ban na kae,,73,16.966667,104.5
amphoe bannang sata,,70,6.266111,101.263889
amphoe ban pak thong chai,,27,14.716667,102.016667
amphoe ban phaeng,,73,17.9,104.15
amphoe ban phaeo,,55,13.583333,100.116667
