names,population,state_code,lat,lon
22 (dvadtsat' vtorogo) parts''yezd,,02,38.5286111,68.7797222
abdan,,02,38.4666667,68.9333333
abdu,,03,38.7166667,68.3666667
abdulay,,02,38.3166667,68.5666667
abdusamar,,03,39.4294444,67.5013889
abdusamat,,03,39.4294444,67.5013889
adinobay,,02,37.725,69.8491667
adrasman,,03,40.6486111,69.9855556
adrasmon,13372,03,40.6486111,69.9855556
afandi,,02,38.5366667,69.8447222
(( afgan-kishlak )),,02,37.4666667,69.3666667
aflotuk,,02,37.9786111,69.8277778
aftoluk,,02,37.9786111,69.8277778
agaravak,,02,37.9833333,68.5666667
agurty,,02,38.6602778,68.8711111
aini,,03,39.3975,68.5405556
aiwanj,,02,36.9788889,68.0325
akalchin,,02,38.5166667,68.4833333
akarbulok,,02,37.8619444,69.3766667
akbaytal,,01,38.4894444,73.8783333
ak-bulak,,02,37.9666667,68.4
akbulok,,02,38.3483333,68.6586111
ak-buryu,,02,38.4,68.6333333
akcha,,02,37.4005556,68.1672222
akderob,,01,37.25,71.4833333
ak-dzhar,,01,37.6833333,68.5833333
akdzhar,,01,37.7180556,73.1494444
ak-dzhar,,03,38.6,68.2666667
ak-dzhor,,03,38.6,68.2666667
ak-guaz-kaaz,,03,39.8666667,68.95
akhdzev,,01,37.95,71.6166667
akhteraki bolo,,02,38.3833333,70.0166667
akkamar,,02,38.0722222,68.6788889
ak-kurgan,,02,38.4666667,68.75
ak-kutal,,03,39.3866667,67.6708333
ak-mamad,,01,37.7,72.2333333
ak-mazar,,02,37.6691667,69.6525
akmazar,,02,37.9833333,68.8666667
akmazor,,02,37.6691667,69.6525
ak-mechet',,02,38.0561111,68.3541667
aknakhodzha,,03,38.5705556,68.1058333
aksa-rovat,,02,38.2666667,68.8
aksay,,03,39.3833333,71.6
(( akshivan )),,02,37.85,69.55
ak-su,,02,38.1166667,68.5666667
aksu,,02,38.15,69.3
ak-tailak,,01,37.6666667,72.5166667
ak-tak,,02,38.6166667,68.8666667
ak-tash,,01,37.6333333,74.8
ak-taylyak,,01,37.6666667,72.5166667
(( akteri )),,02,37.4666667,68.55
aktero,,02,37.4666667,68.55
ak-tyube,,03,40.0166667,69.4666667
akuyli,,02,38.4666667,68.6
akzhar,,01,37.7180556,73.1494444
alakchin,,02,38.675,68.7694444
alakdzhar,,03,39.45,67.5166667
al'cha-bulak,,02,38.2,69.5166667
al'chagi,,02,38.4186111,69.0833333
alchagy,,02,38.4186111,69.0833333
alchin,,02,37.7666667,68.8
alibegi,,02,38.6347222,68.5713889
aliberdy,,02,37.26,69.1475
alichur,,01,37.7447222,73.2569444
alidzhan,,02,38.1686111,69.4
aligalabon,,02,38.7627778,69.8344444
alijon,,02,38.1686111,69.4
alipberdy,,02,37.26,69.1475
alisurkhon,,01,38.9083333,71.0113889
al'kadzhar,,02,38.5380556,68.8366667
alkamazhar,,02,37.4036111,69.1461111
alkhitay,,02,38.6719444,68.8030556
alkhitoy,,02,38.6719444,68.8030556
alkhuch,,03,38.7322222,68.7077778
alla-baytal,,02,38.3794444,68.7311111
al'ma-bulak,,02,38.0666667,69.4833333
al'mabulak,,02,38.2,69.5166667
al'mabulok,,02,38.2,69.5166667
almaly,,03,39.9166667,68.9166667
almasi,,02,38.6833333,68.6166667
al'masy,,02,38.6833333,68.6166667
almyshabad,,02,38.3308333,68.8719444
almysh,,02,38.3308333,68.8719444
alobaytal,,02,38.3794444,68.7311111
aloudin,,02,37.4644444,69.3677778
alovuddin,,02,37.4644444,69.3677778
altin mazar,,01,39.1833333,72.2333333
alton mazar,,01,39.1833333,72.2333333
altyn-magar,,01,39.1833333,72.2333333
altynmazar,,01,39.1833333,72.2333333
altyn-topkan,4823,03,40.645,69.5966667
amaler,,01,36.7936111,71.5805556
amandara,,03,39.5177778,67.8130556
amdarbog,,01,38.2316667,71.5575
amondara,,03,39.5177778,67.8130556
amonshaykhi,,02,38.6086111,69.1102778
amonsheykhi,,02,38.6086111,69.1102778
amring,,02,37.7333333,70.25
anatrosh,,02,38.05,70.0166667
andarab,,01,37.25,71.4833333
andarbag,,01,38.2316667,71.5575
andarbak,,01,38.2316667,71.5575
andarbog,,01,38.2316667,71.5575
andarob,,01,37.25,71.4833333
andarsay,,03,40.0738889,69.4433333
andarsoy,,03,40.0738889,69.4433333
anderavdzh,,01,37.7666667,72.5833333
anderbag,,01,38.2316667,71.5575
anderbak,,01,38.2316667,71.5575
anderob,,01,37.25,71.4833333
andigon,,02,38.5708333,69.0575
andizhan,,02,37.2897222,69.0613889
andreyev,,02,38.5163889,68.6425
andygon,,02,38.5708333,69.0575
andzhirak,,01,38.4775,70.7786111
andzhir,,02,38.4461111,69.0041667
andzhirkon,,02,37.6619444,69.5225
andzhirobi-bolo,,02,37.8102778,70.1822222
angurli,,02,38.2,68.45
anjirak,,01,38.4775,70.7786111
anjir,,02,38.4461111,69.0041667
anjirkhon,,02,37.6619444,69.5225
anjirobi bolo,,02,37.8102778,70.1822222
anna-khudzha,,03,38.55,68.1
annakul-ravat,,02,38.4,68.75
annakul-rovat,,02,38.4,68.75
ansh-abad,,02,37.9666667,68.6666667
anzhirou-bolo,,02,37.8102778,70.1822222
(( anzhirou-poyen )),,02,37.8333333,70.1833333
anzob,,03,39.1658333,68.8238889
aptyuray,,03,40.1666667,70.6666667
aq tash,,01,37.6333333,74.8
arab,,02,37.2088889,68.0313889
arab,,03,40.1833333,70.5833333
arabkhana,,02,37.2088889,68.0313889
arab-khana,,02,37.3891667,68.1866667
arabkhonai kalon,,02,37.3891667,68.1866667
arabo,,02,37.4969444,69.3491667
aral,,02,37.8025,69.6441667
arbob,,02,38.5544444,68.7216667
arbobi,,02,38.6166667,68.5666667
arbobkhotun,,02,38.5544444,68.7216667
archa,,02,37.6308333,69.4522222
ardabag,,01,38.4438889,71.5930556
ardabog,,01,38.4438889,71.5930556
ardobag,,01,38.4438889,71.5930556
ardzhanak,,03,38.75,68.5833333
argankul,,01,38.8680556,70.8955556
argankun,,01,38.8680556,70.8955556
arkhu,,03,39.0166667,69.2666667
arla-tugul'dy,,02,37.7736111,69.5877778
arpa-bulak,,02,38.4666667,68.8833333
arpatuguldi,,02,37.7736111,69.5877778
arpatuguldy,,02,37.7377778,69.5569444
arpatugul'dy,,02,37.7736111,69.5877778
arshi,,03,38.65,68.3666667
artuch,,03,39.3397222,68.1141667
arzanion,,02,38.3666667,69.8666667
arzing,,01,38.8666667,71.35
arzying,,01,38.8666667,71.35
arzyng,,01,38.8666667,71.35
ashaba,,03,40.7333333,70.4333333
ashat,,03,40.8,70.6166667
asht,11705,03,40.6666667,70.3333333
askari,,02,38.5408333,68.5119444
askari surkh,,02,37.4194444,68.6405556
askari -surkh,,03,38.5658333,68.2708333
askerabad,,02,38.5666667,68.9833333
asvob,,03,38.5833333,68.2166667
ataugor,,01,38.55,70.8333333
(( atchanar )),,02,37.7666667,69.5
atchapar,,02,37.7938889,69.5802778
atochibulok,,02,37.8872222,69.3511111
auchi,,03,39.5902778,69.0830556
auchi-kalyacha,,03,40.1263889,69.6711111
avchi,,03,39.5902778,69.0830556
avchikalacha,,03,40.1263889,69.6711111
avdzh,,01,36.9333333,71.4833333
avtoulyuk,,02,37.9786111,69.8277778
avzali,,02,38.0430556,68.5716667
