names,population,state_code,lat,lon
aadzi,,04,38.1,64.85
admi-yab,,02,37.4197222,54.1583333
adzhi,,04,38.1,64.85
adzhikui,,02,39.7666667,54.9833333
adzhi-kuyu,,02,39.7666667,54.9833333
adzhiyab,,02,37.4197222,54.1583333
adzhyyab,,02,37.4197222,54.1583333
agach-arvat,,02,37.7005556,54.7833333
aga-many,,02,39.3891667,53.2819444
agar,,04,37.6666667,65.4
agdzha-kala,,01,37.3,60.5833333
agja kala,,01,37.3,60.5833333
ajyyap,,02,37.4197222,54.1583333
ak,,02,38.1833333,56.2166667
ak-altyn,,00,42.1833333,58.3666667
ak-bay,,05,37.7166667,61.8
akbogaz,,02,39.3666667,55.4833333
ak-bulak,,04,37.5166667,66.3333333
akdash,,02,40.1166667,53.1666667
ak-dashayak,,01,37.5833333,60.3166667
akdepe,,01,38.3,57.5833333
akdepe,14177,03,42.05,59.4
ak-gaudan,,01,38.25,57.75
akhchadepe,,01,36.7525,60.4741667
akhchaguyma,,02,39.3666667,55.1666667
akhcha-kuyma,,02,39.3666667,55.1666667
akhcha-tepe,,01,36.7525,60.4741667
akhtash-ovliya,,01,36.2833333,61.2166667
akkala,,04,39.0,63.6
ak-kaya,,02,38.3833333,56.5
akkui,,02,40.1666667,54.3333333
ak-kum,,04,37.6,65.75
akkumulam,,04,37.54,65.8641667
akkumulyam,,04,37.54,65.8641667
ak-kungur,,01,37.6666667,60.3
ak-kuyu,,02,40.1666667,54.3333333
ak-mechet,,04,39.2833333,63.0166667
ak-rabat,,04,39.5261111,62.9922222
akrabat,,05,35.4666667,61.7166667
ak-saray,,03,41.6333333,60.1
ak-say,,04,37.8833333,66.4166667
(( aktash )),,01,37.9288889,58.4419444
aktepe,,01,38.0138889,58.1833333
ak-tepe,,01,38.3,57.5833333
ak-tepe,,03,42.05,59.4
aktepe,,04,37.3794444,66.2672222
ak-tere,,04,37.3794444,66.2672222
ak-teri,,04,38.0833333,64.9
ak-tugay,,04,39.65,62.6833333
ak-tyube,,03,42.05,59.4
ak'yayla,,02,37.4888889,54.6911111
akyayla,,02,37.4888889,54.6911111
aladzha,,02,39.3569444,53.2122222
alaja,,02,39.3569444,53.2122222
alam,,01,36.7613889,61.1280556
alangyrtly,,02,38.4652778,54.3541667
alibek,,01,37.9019444,58.1708333
allan-tepe,,05,37.3,62.4
alla-sakal,,05,37.6833333,61.65
allatepe,,02,39.8333333,52.9833333
almysh,,05,37.2666667,62.3166667
alnysh,,05,37.2666667,62.3166667
alpan,,04,38.8666667,63.8
altykui,,02,38.6088889,54.2125
alyandor,,04,39.2333333,63.5333333
aman,,01,37.65,60.55
amandor,,02,41.4833333,52.8333333
amannazar,,02,38.85,55.45
amansha,,05,37.6166667,61.9166667
amansha-kapan,,01,37.4333333,60.3833333
amasha kapan,,01,37.4333333,60.3833333
amasha-kapin,,01,37.4333333,60.3833333
ammanazar,,02,38.85,55.4
amu-dar'inskiy,,04,39.1166667,63.3833333
amudar'ya,,04,37.5902778,65.5761111
amu-dar'ya,,04,37.8880556,65.2447222
amyderya,,04,37.8880556,65.2447222
anansha,,05,37.6166667,61.9166667
anar-bulak,,04,37.95,67.35
anau,,01,37.8883333,58.5280556
andreyevsk,,03,41.85,60.1333333
anew,,01,37.8883333,58.5280556
angat,,01,37.7833333,60.1
anna-mamed,,03,41.9833333,59.7
anna-mamet,,03,41.9833333,59.7
annamurat,,04,38.35,64.3166667
annau,27527,01,37.8883333,58.5280556
anvamurat,,04,38.35,64.3166667
apchin camp,,01,37.55,60.2833333
arab-kala,,01,37.3333333,59.5166667
arab-khana,,04,39.25,63.0833333
araki,,04,39.1833333,63.55
arap,,04,40.65,61.7
arapchuk,,02,38.4166667,56.4833333
arap-kala,,01,37.3333333,59.5166667
arap-kala,,02,38.4166667,56.4833333
arapkhana,,04,39.0166667,63.7166667
archin,,01,37.4666667,60.3333333
archin'yak,,01,37.15,59.6
archin'yan,,01,37.15,59.6
archman,,01,38.55,57.15
arpaklen,,02,38.35,56.5833333
arpaklon,,02,38.35,56.5833333
artyk,,01,37.5666667,59.3
arychagyl,,03,42.55,58.7166667
arykagyl,,03,42.5333333,58.7333333
arzuv,,01,37.9511111,58.4447222
asgabat,797900,01,37.95,58.3833333
ashgabadskaya ptitsefabrika,,01,37.9927778,58.3258333
ashgabat,,01,37.95,58.3833333
ashkabad,,01,37.95,58.3833333
ashkhabad,,01,37.95,58.3833333
ashqabad,,01,37.95,58.3833333
askabad,,01,37.95,58.3833333
askhabad,,01,37.95,58.3833333
astanababa,,04,37.9166667,65.0833333
ata,,01,36.6666667,61.15
ata,,04,40.5,62.15
atamyrat,,04,37.8344444,65.2097222
atatlyk,,04,38.7038889,63.9558333
ata-yab,,01,36.6666667,61.15
auazy,,02,39.9591667,52.8591667
auchi,,04,38.8544444,63.8791667
aul-alnysh,,05,37.3166667,62.3333333
aul,,05,36.4563889,62.6272222
aul gassan-kuli,,02,37.4655556,53.9725
aul geok-che,,05,37.75,61.5666667
auliye,,03,41.5166667,59.8166667
aul kul'dzha,,05,35.9383333,62.9483333
aul nomer pyat'desyat vtoroy,,05,37.6166667,62.35
aul nomer shestoy,,05,37.4666667,62.3833333
aul sary-yazy,,05,36.4563889,62.6272222
aul urazaly,,05,35.9666667,62.8
avaza,,02,39.9591667,52.8591667
avazy,,02,39.9591667,52.8591667
avchi,,04,38.8544444,63.8791667
ayak,,04,39.3,63.0166667
aydere,,01,38.4,56.75
aydin,,02,39.35,54.8166667
aymyr,,03,42.25,59.3333333
azat,,05,37.6166667,62.2666667
babadayhan,,01,37.6922222,60.3933333
babadaykhan,,01,37.6833333,60.4333333
babadaykhan pervyy,,01,37.5166667,60.5333333
babadaykhan vtoroy,,01,37.6833333,60.4333333
baba-deykhan,,01,37.5166667,60.5333333
baba-deykhan pervyy,,01,37.5166667,60.5333333
baba-deykhan-pervyy,,01,37.6833333,60.4333333
baba-deykhan vtoroy,,01,37.6833333,60.4333333
babadurmaz,,01,37.65,59.15
baba-ishak,,00,42.2666667,58.4
babakhodzha,,02,39.35,54.2
babarabkala,,01,38.1,58.1166667
bagabat,,01,37.7983333,58.5286111
bagadzha,,00,40.0166667,58.35
bagadzha,,05,37.6,61.7333333
bagarka,,05,37.6,61.7333333
bagir,,01,37.9652778,58.2205556
bagshimirish,,01,37.4666667,60.4333333
bagt,,05,37.6666667,62.1833333
bagyr,,01,37.9652778,58.2205556
baherden,22991,01,38.4302778,57.4369444
bairam ali,,05,37.6166667,62.1666667
bairobab,,04,39.0591667,63.6366667
bakauli,,04,38.5238889,64.2536111
bakharden,,01,38.4302778,57.4369444
bakhardok,,01,38.7666667,58.5
bakhshi,,01,37.6333333,60.2833333
bakhshimarish,,01,37.4666667,60.4333333
bakhshi-mirish,,01,37.6333333,60.2833333
bakshi-marish,,01,37.4666667,60.4333333
bala-ishem,,02,39.4333333,54.4833333
balkanabat,87830,02,39.5119444,54.365
balkui,,02,38.3894444,54.4797222
