names,population,state_code,lat,lon
abarda,,28,33.7775,10.7694444
abbah qusur,,14,35.9447222,8.8325
`abbas,,35,33.9011111,8.1305556
abbes,,35,33.9011111,8.1305556
abd er rahmane,,23,36.15,10.25
abd er rahmane el garsi zaouia,,23,36.15,10.25
abes,,29,33.8833333,10.1166667
abzeg,,32,35.0333333,10.9666667
ad dabdabah,,29,33.8833333,9.8
ad dakhilah,,18,36.8666667,9.7
ad damus,,16,35.6666667,10.7666667
ad damus,,19,36.7666667,10.7333333
ad dulab,,02,35.4,8.9
ad duwayrat,,34,32.8666667,10.2833333
adeloun,,28,33.7666667,10.7833333
adh dhahibat,,34,32.0166667,10.7
adjim,,28,33.7247222,10.7519444
adlet touila,,33,35.0677778,9.7847222
africa,,15,35.5047222,11.0622222
agareb,,32,34.7411111,10.53
aggarset nepte,,35,33.8741667,7.8797222
aghir,,28,33.7666667,11.0166667
ahmad al hakim,,06,36.6333333,8.5666667
ahmad bin `ali,,06,36.5333333,8.8169444
ahmed ben ali,,06,36.5333333,8.8169444
ahmed el hakim,,06,36.6333333,8.5666667
ahmed zid,,27,36.6330556,10.2836111
ahzeg,,32,35.0333333,10.9666667
ailet jridani,,03,35.1016667,10.0330556
ain bou seba,,06,36.2788889,8.4508333
ain cherichera,,03,35.6372222,9.815
ain djelloula,,03,35.8002778,9.7955556
ain djeloula,,03,35.8002778,9.7955556
ain draham,,06,36.7772222,8.6925
aine djeloula,,03,35.8002778,9.7955556
aine draham,,06,36.7772222,8.6925
aine el asker,,37,36.5747222,9.9913889
aine faroua,,18,37.1955556,9.765
ain el asker,,37,36.5747222,9.9913889
ain el faroua,,18,37.1955556,9.765
ain el mouia,,14,36.2536111,8.9075
aine radouane,,31,33.7333333,9.25
aine sellam,,17,36.8,9.1166667
aine zigzaou,,31,33.7333333,9.2166667
ain jioula,,03,35.8002778,9.7955556
ain krannguet sour,,14,35.8777778,8.6577778
ain mestour,,03,35.9,9.6333333
ain moulares,,30,34.4833333,8.2666667
ain radouane,,31,33.7333333,9.25
ain sahalin,,16,35.7533333,10.7116667
ain saidana,,31,33.7666667,9.3
ain saidane,,31,33.7666667,9.3
ain sayada,,03,35.6113889,9.3933333
ain sellam,,17,36.8,9.1166667
ain zigzaou,,31,33.7333333,9.2166667
ajim,,28,33.7247222,10.7519444
akkudah,20027,23,35.8708333,10.5683333
akouda,,23,35.8708333,10.5683333
akuda,,23,35.8708333,10.5683333
al `abadiliyah,,03,35.1408333,9.855
al `abbasiyah,,32,34.7225,11.2419444
al achem,,16,35.4833333,10.6833333
al agraine,,03,35.9480556,9.6041667
al akhawat,,22,36.25,9.25
al akhawayn,,19,36.5666667,10.5166667
al akwash,,15,35.5036111,11.0472222
al `ala',,03,35.6161111,9.5597222
al `alandayah,,28,33.4333333,11.0833333
al `alim,,03,35.9088889,10.0586111
al `aliyah,,18,37.1666667,10.0333333
al `alqamah,,16,35.6166667,10.8833333
al `aqarib,,32,34.7411111,10.53
`alaqimah,,35,33.8666667,7.8833333
al `arusah,,26,36.3833333,9.45
al aswad,,36,36.6655556,10.0475
al `ataya,,32,34.7461111,11.2977778
al `attar,,26,36.7319444,10.0716667
al `ayayishah,,30,34.3166667,9.2666667
al `ayn,,32,34.8,10.7833333
al `azib,,18,37.2088889,9.9477778
al bakakishah,,19,36.8333333,10.65
al baqalitah,,16,35.6166667,11.0
al barawikah,,29,33.5,10.1166667
al batan,,26,36.8161111,9.84
al bayyaz,,31,33.7,8.9833333
al bazimah,,31,33.6658333,9.0116667
