names,population,state_code,lat,lon
afa,,02,-21.1333333,-175.05
`ahau,,02,-21.1,-175.35
alaki,,02,-21.1833333,-175.1333333
alaki fonua,,01,-19.75,-174.3166667
bagai,,01,-19.8,-174.35
bangai,,01,-19.8,-174.35
bea,,02,-21.1833333,-175.2333333
buke,,02,-21.1333333,-175.2333333
bukutala,,01,-19.6833333,-174.2833333
buleieia,,01,-19.6,-174.45
esia,,03,-15.5666667,-175.6333333
fahefa,,02,-21.1333333,-175.3333333
fakakai,,01,-19.6833333,-174.2833333
falehau,,03,-15.9333333,-173.7333333
faleloa,,01,-19.7333333,-174.2833333
faleono,,03,-18.6333333,-173.95
fatai,,02,-21.1333333,-175.2833333
fata`ulua,,03,-15.5666667,-175.6166667
fatuma,,02,-21.2,-175.1166667
fatumu,,02,-21.2,-175.1166667
feletoa,,03,-18.6166667,-173.9666667
folaha,,02,-21.1666667,-175.1833333
fonginonga,,01,-19.75,-174.3333333
fo`ui,,02,-21.1166667,-175.3333333
fua`amotu,,02,-21.25,-175.1333333
ha`akame,,02,-21.1833333,-175.2833333
ha`akili,,02,-21.1,-175.3333333
ha`alalo,,02,-21.1833333,-175.2833333
haalaufuli,,03,-18.6166667,-173.9333333
ha`ano,,01,-19.6666667,-174.3
ha`asini,,02,-21.25,-175.1166667
ha`atafu,,02,-21.0666667,-175.3333333
ha`ateiho,,02,-21.1666667,-175.2333333
haatua,,02,-21.3833333,-174.9666667
ha`avakatolo,,02,-21.1,-175.3333333
hamula,,02,-21.25,-175.1166667
hanak,,02,-21.1,-175.3333333
hatou,,01,-19.8166667,-174.35
ha`utu,,02,-21.1416667,-175.3291667
havelu,,02,-21.15,-175.2166667
haveluliku,,02,-21.2,-175.1
haveluloto,,02,-21.15,-175.2166667
hihifo,,01,-19.8166667,-174.3666667
hihifo,815,03,-15.95,-173.75
hofoa,,02,-21.1333333,-175.2166667
hoi,,02,-21.1666667,-175.1166667
holobeka,,01,-19.7833333,-174.35
holonga,,02,-21.1833333,-175.15
holonga,,03,-18.5833333,-173.9666667
holopeka,,01,-19.7833333,-174.35
houma,,02,-21.1666667,-175.3
huma,,02,-21.3166667,-174.9333333
kala`au,,02,-21.1333333,-175.3333333
kanokupolu,,02,-21.0833333,-175.3333333
kolevai,,02,-21.1,-175.3333333
koloa,,03,-18.65,-173.9333333
kolofuu,,02,-21.2,-175.1666667
kolonga,,02,-21.1333333,-175.0666667
kolovai,,02,-21.1,-175.3333333
koulo,,01,-19.7833333,-174.35
lakepa,,02,-21.15,-175.2833333
lavengatonga,,02,-21.2333333,-175.1166667
leimatu`a,,03,-18.6,-173.9833333
logoteme,,02,-21.1833333,-175.1666667
longomabu,,03,-18.6333333,-174.05
longomapu,,03,-18.6333333,-174.05
longoteme,,02,-21.1833333,-175.1666667
lotofoa,,01,-19.75,-174.3166667
makauga,,02,-21.15,-175.1333333
makaunga,,02,-21.15,-175.1333333
makave,,03,-18.65,-173.9666667
malapo,,02,-21.2,-175.15
mangia,,03,-18.6166667,-173.95
manuka,,02,-21.1166667,-175.1
masilamea,,02,-21.1166667,-175.3166667
masitamea,,02,-21.1166667,-175.3166667
mata`aho,,03,-15.5833333,-175.6166667
matahau,,02,-21.15,-175.3166667
mataika,,03,-18.6166667,-173.9666667
matavai,,03,-15.9666667,-173.75
moa,,02,-21.1833333,-175.1166667
mu`a,,02,-21.1833333,-175.1166667
mu`a,,03,-15.6,-175.6
muitoa,,01,-19.65,-174.3
nakolo,,02,-21.25,-175.1166667
navea,,01,-19.8,-174.35
navutoka,,02,-21.1166667,-175.1
neafu,,03,-18.65,-173.9833333
nei-afo,,03,-18.65,-173.9833333
neiafu,,02,-21.0833333,-175.3333333
neiafu,4320,03,-18.65,-173.9833333
ngaakau,,03,-18.6333333,-174.0166667
niukalofa,,02,-21.1333333,-175.2
niutoua,,02,-21.1333333,-175.05
nobabu,,03,-18.7,-174.0833333
nopapu,,03,-18.7,-174.0833333
nukalofa,,02,-21.1333333,-175.2
nuku`alofa,,02,-21.1333333,-175.2
nuku`aloia,,02,-21.1333333,-175.2
nukuhetulu,,02,-21.1666667,-175.2
nukuhi,,02,-21.1666667,-175.2
nukuleka,,02,-21.15,-175.1333333
nukunuku,,02,-21.1333333,-175.3
`ohonua,,02,-21.3333333,-174.95
paa,,02,-21.1833333,-175.2333333
pangai,1737,01,-19.8,-174.35
pangai,,02,-21.3666667,-174.95
pangai,,03,-18.6833333,-174.0
pea,,02,-21.1833333,-175.2333333
petani,,03,-15.6333333,-175.6166667
puke,,02,-21.1333333,-175.2333333
pukotala,,01,-19.6833333,-174.2833333
pukutala,,01,-19.6833333,-174.2833333
puleieia,,01,-19.6,-174.45
sapa`ata,,03,-15.5666667,-175.6166667
ta`anea,,03,-18.6,-173.95
talafo`ou,,02,-21.1333333,-175.1
talafu,,02,-21.1333333,-175.1
te`ekiu,,02,-21.1333333,-175.3166667
tefisi,,03,-18.6333333,-174.0166667
tofoa,,02,-21.1666667,-175.2333333
tokomololo,,02,-21.1833333,-175.2666667
tongamama`o,,03,-15.6166667,-175.6
tuanekevale,,03,-18.6333333,-173.9166667
tu`anekivale,,03,-18.6333333,-173.9166667
tu`anuku,,03,-18.6666667,-174.0333333
tufavai,,02,-21.3666667,-174.9666667
tufurai,,02,-21.3666667,-174.9666667
tufu,,02,-21.3666667,-174.9666667
utui,,03,-18.6333333,-173.9666667
`utulau,,02,-21.1833333,-175.2666667
utulei,,03,-18.65,-174.0
vaimalo,,03,-18.6333333,-174.0
vaini,2976,02,-21.2,-175.2
vaipoa,,03,-15.95,-173.75
vaotu`u,,02,-21.15,-175.3166667
veitogo,,02,-21.1833333,-175.2166667
veitongo,,02,-21.1833333,-175.2166667
