names,population,state_code,lat,lon
abaci,,05,40.4,35.6166667
abacilar,,21,38.45,40.35
abacilar,,31,36.6166667,36.3666667
abacilar,,81,37.1,35.15
abaciliguzeli,,31,36.6166667,36.2166667
abacioglu,,14,41.35,31.75
abadan,,68,40.1166667,32.8833333
abadaniye,,71,38.2166667,32.55
abadiye,,11,40.1833333,29.7333333
abagide,,35,38.1072222,28.0211111
abailovacik,,60,40.2,36.2833333
abalakli,,31,36.5666667,36.4166667
abalar,,22,41.55,26.75
abali,,40,38.8619444,33.8108333
abali,,65,38.2833333,43.2
abana,,37,41.9758333,34.0113889
abana,,58,40.0786111,38.4969444
abas,,20,37.7452778,29.4172222
abas,,43,39.2333333,29.4833333
abasan merkezi,,12,38.7833333,40.9
abaskoyu,,14,41.4166667,31.7
abayel,,60,40.2333333,36.3166667
abayelovacigi,,60,40.2,36.2833333
abayil,,60,40.2333333,36.3166667
abayilovacik,,60,40.2,36.2833333
abayli,,60,40.2333333,36.3166667
abaza,,46,38.1833333,36.7833333
abaz,,14,41.4166667,31.7
abaz,,20,37.2252778,29.2327778
abazalar,,05,40.7672222,35.5063889
abazamehmetefendi,,14,40.7833333,31.1166667
abazli,,68,39.5469444,33.0241667
abbas,,20,37.2252778,29.2327778
abbas,,37,41.7333333,32.45
abbasfevkani,,63,37.3666667,39.1333333
abbasgol,,04,39.8166667,43.6
abbasgolkoy,,04,39.8166667,43.6
abbashalilpasa mandira,,26,39.4,31.0833333
abbashalimpasa,,26,39.4,31.0833333
abbashalimpasamandirasi,,26,39.4,31.0833333
abbasharabasi,,21,37.9666667,40.3833333
abbasi,,44,38.9333333,38.35
abbasiye,,02,37.7,37.45
abbaslar,,46,37.4166667,37.0166667
abbaslik,,11,40.1,29.95
abbaspasa,,26,39.4166667,31.1166667
abbasyanik,,37,41.2666667,33.7333333
abbazlik,,11,40.1,29.95
abdal,,14,40.8833333,31.25
abdal,,28,40.955,38.1155556
abdalan,,12,38.6333333,40.2
abdalar,,12,38.6333333,40.2
abdalbayazit,,49,38.9166667,42.1666667
abdalbayezit,,49,38.9166667,42.1666667
abdalbeyazit,,49,38.9166667,42.1666667
abdalbodu,,19,40.4,34.6833333
abdalcik,,25,39.8833333,40.7833333
abdalhasan,,37,41.4,34.25
abdalkolu,,60,40.6333333,36.8833333
abdalkoy,,14,40.8833333,31.25
abdalkoy,,20,37.9333333,29.0
abdalkuyusu,,32,36.85,34.8833333
abdalkuyusukoy,,32,36.85,34.8833333
abdallar,,09,37.8244444,27.7466667
abdallar,,50,38.7166667,34.2
abdallar,,60,40.2333333,36.0
abdalli,,58,39.5166667,36.5
abdallo,,63,36.9816667,38.0475
abdaloglu,,58,39.3833333,37.5333333
abdalpinari,,81,37.15,36.1166667
abdelik,,04,39.7,43.35
abdi,,04,39.6333333,42.9333333
abdi,,19,41.2,34.35
abdi,,45,38.6666667,27.75
abdiaga,,17,40.2,27.25
abdiaga,,37,41.85,33.5666667
abdibey,,37,41.1833333,32.7
abdicikmaza,,04,39.4333333,43.1333333
abdicikmaz,,04,39.4333333,43.1333333
abdikoy,,04,39.6333333,42.9333333
abdikoy,,19,41.2,34.35
abdikoy,,50,39.1,34.8166667
abdikoyu,,04,39.6333333,42.9333333
abdiler,,58,40.0666667,38.05
abdili,,52,40.5666667,37.6333333
abdili,,66,39.3333333,35.3166667
abdilli,,66,39.3333333,35.3166667
abdi mahallesi,,45,38.6666667,27.75
abdioglu,,81,36.9166667,35.5666667
abditolu,,71,37.7386111,32.7497222
abdiusagi,,40,38.7833333,33.95
abdo,,49,38.9833333,42.55
abdolar,,44,39.0833333,38.3
abdoli,,62,38.7666667,39.4833333
