names,population,state_code,lat,lon
adelphi,,11,11.2,-60.7166667
adventure,,11,11.2166667,-60.7666667
agostini,,02,10.4833333,-61.4
anse fourmi,,11,11.3,-60.6166667
anse noire,,07,10.8333333,-60.9666667
arden,,11,11.2666667,-60.5833333
arima,34996,01,10.6333333,-61.2833333
arnos vale,,11,11.2166667,-60.75
arouca,12054,08,10.6333333,-61.3333333
arouca village,,08,10.6333333,-61.3333333
auchenskeoch,,11,11.15,-60.7666667
avocat,,09,10.2,-61.5333333
bacolet,,11,11.1666667,-60.7166667
bakhen,,09,10.1666667,-61.45
balmain,,02,10.4166667,-61.4333333
balmain village,,02,10.4166667,-61.4333333
bamboo,,09,10.0833333,-61.8333333
bamboo village,,09,10.0833333,-61.8333333
barataria,,08,10.65,-61.4666667
barrackpore,,12,10.2,-61.4
barrackpore settlement,,12,10.2,-61.4
basse terre,,12,10.1333333,-61.3
basseterre village,,12,10.1333333,-61.3
belle garden,,11,11.2166667,-60.6
belmont,,08,10.6666667,-61.5
belmont,,11,11.3,-60.5333333
bethel,,11,11.1833333,-60.7833333
biche,,04,10.4333333,-61.1333333
biche village,,04,10.4333333,-61.1333333
black rock,,11,11.2,-60.7833333
blanchisseuse,,08,10.7833333,-61.3
blanchisseuse village,,08,10.7833333,-61.3
boissiere,,05,10.6666667,-61.5166667
boissiere village,,05,10.6666667,-61.5166667
bon accord,,11,11.15,-60.8333333
bon accord village,,11,11.15,-60.8333333
bonasse,,09,10.0833333,-61.8666667
bonasse village,,09,10.0833333,-61.8666667
bonne aventure,,12,10.3333333,-61.4
bonne terre,,12,10.3,-61.3
bonne terre village,,12,10.3,-61.3
brasso,,02,10.4,-61.3166667
brasso caparo village,,02,10.4166667,-61.3166667
brasso piedra,,02,10.4333333,-61.3166667
brasso seco village,,08,10.7333333,-61.2666667
brasso venado,,04,10.4166667,-61.2666667
brasso village,,02,10.4,-61.3166667
brazil,,08,10.55,-61.2666667
brickfield,,02,10.4833333,-61.4666667
brickfield,,04,10.3333333,-61.2666667
brighton,,09,10.25,-61.6333333
bronte,,12,10.2166667,-61.4
buccoo,,11,11.1666667,-60.8
buen intento,,12,10.2833333,-61.3666667
buen intento village,,12,10.2833333,-61.3666667
buenos aires,,09,10.1,-61.6833333
buenos ayres,,09,10.1,-61.6833333
busy corner,,12,10.3,-61.2833333
busy corner village,,12,10.3,-61.2833333
butler,,02,10.4666667,-61.45
cacandee settlement,,02,10.55,-61.4333333
caigual,,06,10.55,-61.0666667
