names,population,state_code,lat,lon
asau,628,00,-7.5,178.6666667
fongafale,,00,-8.5166667,179.2166667
funafuti,,00,-8.5166667,179.2166667
kulia,,00,-6.1166667,177.2833333
lolua,628,00,-5.6666667,176.1333333
matagi,,00,-7.4666667,178.7
muli,,00,-7.4666667,178.6666667
polufale,,00,-7.4666667,178.6833333
potufale,,00,-7.4666667,178.6833333
saniuta,,00,-7.4833333,178.7
tanrake,381,00,-7.25,177.15
tapotali,,00,-7.25,177.15
tonga,376,00,-6.2833333,176.3166667
vaitupu,,00,-7.4833333,178.6833333
