names,population,state_code,lat,lon
achiencheng,,04,24.6333333,121.8
achuan,,04,23.7666667,120.3166667
achuankeng (1),,04,24.9666667,121.55
achuankeng (2),,03,24.9833333,121.6
achuankeng,,03,24.9833333,121.6
achuankeng,,04,24.9666667,121.55
achuantsun,,04,23.7666667,120.3166667
afachuang,,04,23.95,120.6666667
afochuang,,04,23.95,120.6666667
afuli,,04,24.1,120.6333333
ahouliao,,04,22.9833333,121.1333333
ahsiehmeihsu,,04,22.2666667,120.7333333
ai,,04,24.1,120.55
aichieh,,04,24.75,121.6666667
aikopu,,04,22.45,120.9166667
aikopushe,,04,22.45,120.9166667
aikoputsun,,04,22.45,120.9166667
aikotosashe,,04,24.0666667,121.5833333
aikou,,04,24.8,121.0333333
aikouliao,,04,24.45,120.6833333
aikuo,,04,23.7,120.85
aikuotsun,,04,23.7,120.85
ailan,,04,23.9666667,120.9333333
aili,,04,24.1,120.55
ailiao,,04,22.4166667,120.5833333
ailiaochiao,,04,23.0833333,120.5
ailiaoli,,04,24.0,120.65
ailiaopai,,04,24.6666667,120.95
ailiaoping,,04,24.5166667,120.8333333
ailiaopu,,04,23.8333333,120.7333333
ailiaoting,,04,24.6666667,120.95
aimen,,04,23.5638889,119.6294444
aimentsun,,04,23.5638889,119.6294444
aipingtzu,,04,24.9,121.1666667
aipu,,04,22.45,120.9166667
aishan,,04,24.3333333,120.7666667
aiting,,04,24.6166667,121.8333333
aitingli,,04,24.6166667,121.8333333
aitingliao,,04,22.9833333,120.55
aitun,,04,23.9833333,120.7
ajouyang,,03,24.9833333,121.6
akouliao,,04,22.9833333,121.1333333
akuntso,,04,23.7208333,120.2502778
alancheng,,04,24.7666667,121.7
alangwei,,04,22.3,120.8833333
alaopanna,,04,22.7166667,121.1
aleng,,04,24.1166667,120.8833333
alengshe,,04,24.1166667,120.8833333
ali,,04,22.7333333,120.75
alian,,04,22.8808333,120.3275
alien,,04,22.8808333,120.3275
alienchuang,,04,22.8808333,120.3275
alientsun,,04,22.8808333,120.3275
alikuan,,04,23.1133333,120.6058333
alilao,,04,25.2791667,121.6038889
aliliang,,04,23.0333333,121.2833333
alimei,,04,23.85,120.8833333
alipa,,04,22.8166667,121.0833333
alipai,,04,22.8166667,121.0833333
alipang,,04,25.2505556,121.5813889
alipangkengtou,,04,25.2505556,121.5813889
alishan,,04,23.5166667,120.8144444
alishih,,04,24.65,121.6666667
alitsun,,04,22.7333333,120.75
amahunshe,,04,22.6333333,120.6666667
amatso,,04,23.9333333,120.4833333
amawan,,04,22.6333333,120.6666667
amawanshe,,04,22.6333333,120.6666667
amili,,04,24.1,120.6333333
amuping,,04,24.8166667,121.3
anankeng,,04,24.9666667,121.3666667
anchaili,,04,23.5833333,119.6
anchao,,04,22.7833333,120.3333333
anchaotsun,,04,22.7833333,120.3333333
anchenli,,04,22.6666667,120.4666667
anchi,,01,24.4683333,118.3244444
anchi,,04,24.05,120.5
anchianhsiang,,04,23.8166667,120.55
anchiao,,04,23.35,120.25
anchiaohsiang,,04,23.8166667,120.55
anchien,,01,24.4172222,118.3211111
anchiliao,,04,23.3333333,120.35
anchingli,,04,23.7,120.4166667
anchitso,,04,23.3563889,120.2147222
anchitsun,,04,24.05,120.5
anchung,,02,22.65,120.3
anchungli,,02,22.65,120.3
anho,,04,23.5166667,120.3
anhotsun,,04,23.5166667,120.3
anhsia,,01,24.4475,118.245
anhsi,,04,23.45,120.5166667
anhsili,,04,23.1666667,120.1666667
anhsiliao,,04,23.65,120.2166667
anhsintsun,,04,22.8,120.35
anhsitso,,04,23.3563889,120.2147222
anhsitsun,,04,24.05,120.5
anjen,,04,23.4461111,120.2955556
anjenli,,04,23.4461111,120.2955556
ankeng,,04,23.7333333,120.85
ankengli,,04,24.9333333,121.4333333
anli,,04,24.25,120.6833333
anliao,,04,23.1016667,120.2025
anlitsun,,04,24.25,120.6833333
anlolu,,03,25.0,121.5
annan,,04,23.7,120.25
annantsun,,04,23.7,120.25
annei,,04,23.3363889,120.2547222
anneitsun,,04,23.3363889,120.2547222
anpien,,01,24.4194444,118.4338889
anping,,04,23.0019444,120.1627778
anpingtsun,,04,24.6333333,121.7666667
anpo,,04,22.8,120.6333333
anpotsun,,04,22.8166667,120.6333333
anpu,,04,24.6666667,121.2666667
anshanli,,04,23.55,119.5666667
anshe,,04,23.1622222,120.2452778
anshin,,04,22.8,120.35
anshun,,04,23.0333333,120.2
anshuo,,04,22.3,120.8666667
anshuotsun,,04,22.3,120.8666667
antan,,04,24.7666667,121.1833333
anting,,01,24.4438889,118.2455556
anting,,04,22.9702778,120.1888889
antingli,,04,23.8,120.4333333
antingtsun,,04,23.8,120.4333333
antso,,04,22.75,120.2666667
antsotsun,,04,22.75,120.2666667
antung,,04,23.3,121.3333333
antungli,,04,24.6833333,121.7666667
antungliao,,04,23.8666667,120.3166667
antungtsun,,04,24.05,120.5
antzunei,,04,25.2166667,121.4833333
anwannashe,,04,23.2047222,120.6775
anyeh,,04,23.1622222,120.2452778
anying,,04,24.5166667,120.8833333
aohua,,04,24.3333333,121.7333333
aohuatsun,,04,24.3333333,121.7333333
aoku,,04,23.495,120.1713889
aokutsun,,04,23.495,120.1713889
aoshenshui,,04,22.7833333,120.4
aoti,,04,25.0513889,121.9225
apachuan,,04,22.8166667,120.6
asangkeng,,03,24.9833333,121.6
asnchiehtsun,,04,24.7166667,121.8
assutu,,04,24.8833333,121.75
atachieh,,04,23.6333333,121.3833333
atan,,04,23.65,120.5
atomo,,04,23.6666667,121.4666667
awutsun,,04,22.8333333,120.6333333
ayehmeihsu,,04,22.2666667,120.7333333
chacha,,04,24.8,121.7833333
chaicheng,,04,23.9333333,120.75
chaichengli,,04,24.9833333,121.5166667
chaichiaohsu,,04,23.5833333,119.6
chaichiaokeng,,04,25.0333333,121.7333333
chaichiaoli,,04,24.7666667,120.95
chaichiaotou,,04,23.8333333,120.7833333
chaichiaoyu,,04,23.5833333,119.6
chaikang,,04,23.2661111,120.1908333
chaikangtsun,,04,23.2661111,120.1908333
chaikengtzu,,04,24.1,120.5666667
chaikou,,04,22.6833333,121.4666667
chailiaotzu,,04,25.0833333,121.8
chaili,,04,23.6666667,120.5166667
chailin,,04,23.6,120.3666667
