names,population,state_code,lat,lon
abdulla,,00,-10.4666667,37.8833333
adawani,,00,-10.9666667,38.3833333
ahakachwamba,,17,-1.8163889,30.9519444
ahakishake,,17,-1.6994444,30.9822222
aimabu,,27,-5.0333333,36.05
aimba,,27,-5.0333333,36.05
akumawale,,11,-10.9166667,39.1666667
akwungwasi,,07,-10.7666667,38.7333333
ali makuro,,14,-9.5833333,37.4333333
alyhanya,,04,-8.6833333,36.3
amani,,18,-5.1,38.6333333
amani,,20,-5.3666667,39.7166667
ambangulu,,18,-5.0833333,38.4333333
amboni,,18,-5.05,39.05
amushenye,,19,-1.2888889,31.665
araa,,27,-5.0,35.9333333
arabe,,18,-5.3833333,38.8666667
arash,,26,-2.4,35.5
arogongo,,12,-2.4666667,32.6333333
aruscha,,26,-3.3666667,36.6833333
arusha,341155,26,-3.3666667,36.6833333
arusha chini,,06,-3.5833333,37.3333333
asumani,,04,-7.5,35.8
aukanga,,02,-7.4333333,39.1166667
auriole,,19,-3.1666667,32.2666667
ausia,,27,-4.9666667,35.8
azala,,21,-6.1166667,39.2833333
babaiyo,,03,-5.6333333,35.7
babala,,03,-6.3,35.5833333
babati,34292,27,-4.2166667,35.75
babayo,,03,-5.6333333,35.7
babayu,,03,-5.6333333,35.7
badi,,15,-3.6,33.9833333
badugu,,12,-2.4666667,33.65
baga,,18,-4.7833333,38.4166667
bagai,,18,-4.55,38.35
bagamojo,,25,-6.4333333,38.9
bagamoyo,,00,-6.6,34.1
bagamoyo,,13,-5.1,39.75
bagamoyo,,17,-4.8,33.4166667
bagamoyo,,18,-4.55,37.8666667
bagamoyo,,20,-5.3666667,39.7
bagamoyo,82578,25,-6.4333333,38.9
bageza,,20,-5.4166667,39.75
bahareni,,13,-5.0333333,39.7666667
bahi,,03,-5.9833333,35.3166667
balangai,,18,-4.9333333,38.45
balayo,,25,-6.3,39.2833333
baleni,,02,-7.85,39.8
baloti,,06,-3.25,37.1166667
bamba,,18,-4.9,39.05
bambi,,21,-6.0666667,39.35
banagi,,08,-2.2666667,34.85
banani,,20,-5.25,39.7333333
banda,,23,-7.05,38.8
banda baya,,25,-6.3666667,39.4666667
banda kuu,,22,-5.7333333,39.3
banda maji,,22,-5.95,39.3
bandani,,13,-5.0166667,39.8
bandani,,20,-5.4166667,39.6833333
bandarini,,23,-6.8666667,39.4666667
bandumadyi,,22,-5.9666667,39.2833333
banemula,,09,-9.9,34.4333333
bangala,,09,-8.35,32.85
bangayega,,16,-5.7166667,34.55
bangwe,,05,-4.9,29.6
bangwe,,19,-2.3666667,32.1666667
banya,,15,-3.45,34.1
baoni,,13,-5.1166667,39.7333333
barabara,,09,-8.2166667,32.9166667
barabarani,,14,-11.2333333,35.4666667
barangata,,06,-3.1833333,37.25
barawa,,20,-5.1666667,39.7666667
bariadi,33865,12,-2.8,33.9833333
bariati,,12,-2.8,33.9833333
barikiwa,,00,-9.5,37.9
bariri,,08,-2.0833333,33.8833333
barue,,10,-5.6166667,37.9833333
basara,,13,-5.0333333,39.75
bashanet,,27,-4.2333333,35.4166667
bashay,,27,-4.0,35.35
bashebi,,17,-1.7166667,30.9166667
basodesh,,27,-4.3,35.1333333
basotu,,16,-4.3666667,35.0833333
basra,,21,-6.1,39.2833333
bawa,,18,-4.8666667,39.1166667
beda,,12,-2.6,33.0
beda,,15,-3.55,33.3
beku,,04,-7.3333333,36.3
belengwa,,13,-4.9333333,39.7333333
bendela,,18,-4.6,38.0666667
berabera,,27,-4.5333333,35.6666667
berege,,03,-6.5,36.2833333
bereko,,27,-4.45,35.7333333
bereku,,27,-4.45,35.7333333
berikiwa,,00,-9.5,37.9
bet-el-mali,,25,-6.0666667,39.2166667
bevohoye,,20,-5.4,39.7166667
biaramulo,,19,-2.6319444,31.3088889
bibainja,,19,-1.4166667,31.7666667
bibainji,,19,-1.4166667,31.7666667
bibi kundenda,,14,-11.2666667,37.0166667
bicha,,27,-4.9333333,35.8
bigamiro,,05,-4.7833333,29.65
bigenyi,,19,-1.4772222,30.8586111
bigwa,,02,-7.2166667,39.15
biharamulo,34038,19,-2.6319444,31.3088889
bihata,,19,-2.2333333,31.4666667
bihonzi,,19,-2.6394444,30.6497222
biirabo,,19,-1.8497222,31.5488889
bikoni,,19,-2.635,31.0413889
bi moja,,21,-6.1,39.35
binga,,02,-7.25,39.2333333
binguni,,21,-6.1833333,39.3333333
birikani,,21,-6.1833333,39.2833333
birikani,,25,-6.0666667,39.2166667
birikao,,13,-4.9666667,39.75
birikau,,20,-5.2166667,39.75
birise,,16,-5.4166667,35.1833333
biro,,04,-8.8833333,36.05
bisarive,,08,-1.85,34.0
bisariye,,08,-1.85,34.0
bisheshe,,19,-1.6797222,31.1161111
bismarckburg,,24,-8.4666667,31.15
bitale,,05,-4.7502778,29.6602778
bituruguru,,08,-1.95,33.85
biyungu,,17,-1.6522222,30.9733333
blue ridge,,08,-1.8666667,34.0333333
bogamoya,,13,-4.9166667,39.75
bogoa,,20,-5.3833333,39.6833333
bogogo,,15,-3.6166667,33.9333333
bogoni,,13,-4.95,39.7666667
bolisa,,27,-4.8166667,35.8166667
bolombola,,05,-5.0405556,29.7744444
boma,,20,-5.25,39.7666667
bomalandani,,18,-4.8666667,39.2
bomalangombe,,04,-8.2166667,35.8666667
boma la ngombe,,06,-3.3333333,37.15
bomandani,,18,-4.8666667,39.2
bomani,,13,-5.1166667,39.8
boma ya lindi,,04,-9.2666667,35.6666667
boma ya ngombe,,06,-3.3333333,37.15
boma ya ulanga,,10,-8.1833333,36.9166667
bombo,,18,-4.85,38.6833333
bombwera,,18,-5.2,38.7166667
bondemali,,22,-5.9333333,39.3
bondeni boloti,,06,-3.25,37.1166667
bondeni,,13,-4.9833333,39.7
bondeni,,22,-5.9166667,39.25
bondeni,,25,-6.1,39.2166667
bondo,,18,-5.3833333,38.5833333
bonga,,27,-4.35,35.7333333
bongo,,14,-10.4666667,34.5833333
bopwe,,13,-5.0333333,39.7333333
borawahi,,13,-4.95,39.7666667
bosa,,02,-7.2,39.4166667
bosha,,18,-4.8333333,38.3
