names,population,state_code,lat,lon
abakly,,11,45.7833333,34.1166667
abaklytama,,11,45.7833333,34.1166667
abamelikovo,,17,47.9869444,29.2661111
abashkin,,07,49.8711111,38.0408333
abaykuchuk,,11,45.7166667,33.25
abaysmail,,11,45.7,33.4833333
abazovka,,07,49.25,35.3333333
abazovka,,18,49.6,34.35
abdulgazy,,11,45.4,33.1
ablagadshi,,11,45.4833333,32.6833333
ablagadzhi,,11,45.4833333,32.6833333
ablesh,,11,45.2333333,34.7
ableshnemetskiy,,11,45.2333333,34.7
abramovka,,13,50.75,30.1
abramovka,,18,49.3333333,34.9666667
abranka,,25,48.7333333,23.0833333
abrikosovka,,11,45.1166667,35.1
abrodul purice,,17,45.5333333,29.1666667
abroshnoye,,17,47.6363889,29.8452778
abulgazy,,11,45.4,33.1
abuslar,,11,45.4833333,32.6333333
abuzlar,,11,45.4833333,32.6333333
achtyrka,,21,50.3086111,34.8941667
acmanghit,,17,45.9,29.7
adaman chalgan,,05,47.8,37.9166667
adaman chalpan,,05,47.8,37.9166667
adamany,,08,46.1166667,33.4833333
adamchuki,,15,51.4166667,23.7166667
adamesht,,17,46.0166667,30.2333333
adamesti,,17,46.0166667,30.2333333
adamivka,,01,49.15,32.6833333
adamivka,,23,48.8666667,29.5166667
adamkovske,,19,50.7333333,26.0833333
adamov,,09,50.0833333,27.4166667
adamovka,,01,49.15,32.6833333
adamovka,,02,51.0166667,31.3333333
adamovka,,04,48.3166667,34.2166667
adamovka,,05,47.5166667,37.0166667
adamovka,,09,49.1166667,27.0666667
adamovka,,16,46.85,31.3833333
adamovka,,17,46.0166667,30.2333333
adamovka,,22,49.4333333,24.95
adamovka,,23,49.4333333,29.3166667
adamovka,,27,50.4333333,28.1833333
adamovka novaya,,17,46.0166667,30.2333333
adamovo,,16,46.85,31.3833333
adampol,,09,49.6666667,27.65
adamuvka,,19,50.8333333,26.95
adamuvka,,22,49.4333333,24.95
adamy,,15,50.0333333,24.7
adancata,,03,48.0863889,25.9211111
adargin,,11,45.4666667,34.55
adargin nemetskiy,,11,45.4666667,34.55
adjigiol,,16,46.65,31.8
adrianopol,,14,48.3622222,38.7219444
adshijask,,16,46.6166667,31.35
adyk,,11,45.2,35.8
adymchokrak,,20,44.5833333,33.8333333
adynkata,,03,48.0863889,25.9211111
adzhamka,,10,48.5430556,32.5361111
adzhaykat,,11,45.7333333,34.3
adzhelikipchak,,11,45.25,34.2333333
adzhi akhmat,,08,45.65,34.6166667
adzhiakhmat,,11,45.6166667,34.6166667
adzhiaska,,16,46.6166667,31.35
adzhi atman,,11,45.5,33.8
adzhibay,,11,44.9166667,35.0166667
adzhibulat,,11,44.8166667,33.6166667
adzhieli,,11,45.3602778,36.0991667
adzhigiol,,16,46.65,31.8
adzhigol,,11,45.1,35.3666667
adzhiibram,,11,44.9666667,33.95
adzhikech,,11,45.2,34.15
adzhilar,,11,45.1666667,34.6333333
adzhimambet,,11,45.3666667,34.1833333
adzhimende,,11,45.2233333,36.0086111
adzhimushkay,,11,45.3872222,36.5236111
adzhiran,,11,45.4333333,33.15
adzhiron,,11,45.4333333,33.15
adzhitarkhan,,11,45.2833333,33.3166667
adzhiyask,,16,46.6166667,31.35
adzhsiatman,,11,45.5,33.8
adzhymushkay,,11,45.3872222,36.5236111
aeroflotskiy,,11,45.0166667,34.0333333
afanasino,,11,45.45,35.85
afanasyevka,,07,48.95,35.5333333
afanasyevka,,16,47.0333333,32.8166667
afanasyevka,,21,50.6166667,33.8166667
afanasyevk,,16,47.6833333,32.7666667
afrikanovka,,07,48.8833333,36.7833333
agacheli,,11,44.9333333,33.8166667
agafyevka,,16,46.75,31.45
agafyevka,,17,47.7833333,30.3666667
agaki,,03,48.5833333,26.9333333
agatovka,,27,49.9833333,28.6
agay,,11,45.55,33.4166667
agayman,,08,46.6680556,34.2475
ageyevka,,16,47.9166667,30.3
agibel,,11,45.2333333,35.7166667
agrarnoye,,11,45.0666667,34.1166667
agrokombinat ilichevka,,17,46.5833333,30.8166667
agronomicheskiy,,05,47.8616667,38.1969444
agronomichne,,05,47.8616667,38.1969444
agronomichnoye,,05,47.8616667,38.1969444
agronomskiy,,05,47.8616667,38.1969444
agyar dzheren,,11,45.3666667,34.0333333
ahronomichne,,05,47.8616667,38.1969444
aip,,11,45.7833333,33.55
aircha,,11,45.2166667,33.15
akbash,,11,45.55,32.9833333
akchokrak,,11,44.7666667,33.8666667
akchora,,08,45.8,34.6166667
akchora,,11,45.0666667,34.9333333
akeksandrovka,,04,48.2333333,36.65
akembet,,17,46.05,30.3666667
akershory,,06,48.35,24.8333333
akhiar,,20,44.6,33.5333333
akhremtsey,,07,50.2538889,35.6
akhtirka,,21,50.3086111,34.8941667
akhtovaya,,16,47.7,31.45
akhtovo,,16,47.7,31.45
akhtyar,,20,44.6,33.5333333
akhtyrka,,11,45.55,34.9333333
akhtyrka,,21,50.3086111,34.8941667
akikat,,11,44.9166667,35.0666667
akimovka,,04,48.1833333,34.4333333
akimovka,,07,48.9166667,36.4833333
akimovka,,08,46.6,33.35
akimovka,,11,45.5166667,34.8333333
akimovka,,16,47.5,31.95
akimovka,,26,46.6897222,35.1536111
akimowka,,26,46.6897222,35.1536111
akkaya,,11,45.1,34.6166667
akkerman,,17,46.2,30.35
akkermanskiy,,17,46.2333333,30.2166667
akkermen,,26,47.0,35.55
akkobekh,,11,45.25,35.0166667
akkodzha,,11,45.5,33.0833333
akkuyubitak,,11,45.3333333,33.75
aklenz,,20,44.8166667,33.5666667
akmalinka,,17,47.5333333,29.3
akmalinovka,,17,47.5333333,29.3
akmanay,,11,45.2833333,35.5333333
akmaneshti,,17,45.9,29.7
akmangit,,17,45.9,29.7
akmechetnayman,,11,45.7333333,34.0166667
akmelez,,11,45.05,35.2166667
ak monai,,11,45.2833333,35.5333333
akmonay,,11,45.2833333,35.5333333
aknaszlatina,,25,47.9666667,23.8666667
aksakovka,,02,51.05,31.3833333
ak sheikh,,11,45.5833333,34.6666667
aksheikh,,11,45.7683333,33.4880556
aksheykh,,11,45.5833333,34.6666667
aksyurukonrat,,11,45.6333333,34.4833333
aksyutovka,,07,49.8069444,36.2013889
aktachi,,11,44.7666667,33.7333333
aktash,,11,45.4166667,35.8
akulinovka,,17,47.8511111,29.5363889
akulynivka,,17,47.8511111,29.5363889
alabash konrat,,11,45.2666667,34.1333333
alach,,11,45.1666667,34.85
alach nizhniy,,08,45.6666667,34.65
alach verkhniy,,08,45.65,34.6666667
alatay,,11,45.2833333,34.55
albat,,11,44.65,33.8666667
albinivka,,27,50.2333333,28.5833333
albinovka,,06,48.5333333,25.4
albinovka,,27,50.2333333,28.5833333
albinuvka,,06,48.5333333,25.4
alcalia,,17,46.15,30.0333333
alchevsk,,14,48.4727778,38.7997222
alchevskoe,,14,48.4727778,38.7997222
alchin,,11,45.3,33.35
aldar,,11,45.5,33.8833333
alefirovka,,04,48.4166667,36.1
aleksandersdorf,,03,48.2333333,25.2333333
aleksandertal,,26,47.0166667,36.05
aleksandervol,,26,47.15,35.8333333
aleksandren,,17,46.4405556,29.4566667
aleksandreni,,03,48.2333333,25.2333333
aleksandreni,,17,45.8916667,28.9494444
aleksandrfeld,,04,47.9666667,36.6
aleksandrfeld,,26,46.7333333,34.9666667
aleksandria,,10,48.6697222,33.1205556
aleksandria,,19,50.7333333,26.35
aleksandria,,24,51.5,24.8333333
aleksandrija,,24,51.5,24.8333333
aleksandrinka,,05,47.7833333,37.6833333
aleksandrivka,,01,49.3,29.9833333
aleksandrivka,,23,49.4833333,28.1666667
aleksandriya,,10,48.6697222,33.1205556
aleksandriya,,13,49.8166667,30.1
aleksandriya,,19,50.7333333,26.35
aleksandriya,,21,51.0591667,35.29
aleksandriya,,24,51.5,24.8333333
aleksandrja,,19,50.7333333,26.35
aleksandrobelovka,,04,48.0833333,34.1
aleksandrodar,,04,47.8,33.2333333
aleksandrodar,,16,46.7,31.5333333
aleksandrogeym,,26,47.1,35.1666667
aleksandrogilf,,17,46.3333333,30.4833333
aleksandrograd,,04,47.9666667,36.6
aleksandrogrigoryevka,,05,48.05,37.75
aleksandroheim,,26,47.1,35.1666667
aleksandrokalinovo,,05,48.4166667,37.6666667
aleksandromikhaylovka,,20,44.7666667,33.55
aleksandropol,,04,47.8666667,34.2
