names,population,state_code,lat,lon
abaji,,58,2.45,30.8666667
abakula,,69,2.2166667,33.4833333
abakule,,69,2.2166667,33.4833333
abala,,47,2.3827778,33.045
abalang,,47,1.7,32.9666667
abaler,,47,1.6333333,32.9
abaleri,,47,1.6333333,32.9
abalkweri,,26,1.7333333,32.4
abalkweru,,80,1.75,33.15
abalodyang,,47,1.7333333,32.8833333
abankwoni,,69,1.8333333,33.0666667
abarekori,,80,1.6666667,32.9833333
abarelelu,,69,1.9833333,33.8333333
abari,,80,1.7666667,33.4333333
abarikori,,47,1.6666667,32.8833333
abarilela,,69,1.9833333,33.8333333
abario,,77,2.95,31.3833333
abata,,80,1.7,33.15
abatait,,80,1.7,33.15
abeja,,47,1.7666667,32.8166667
abeko,,69,2.0,33.5666667
abela,,69,1.9,33.9333333
aber,,26,2.1872222,32.3494444
aberapira,,80,1.9666667,33.3
aberete,,95,1.7,33.7333333
aberipila,,80,1.9666667,33.3
abeyi,,47,1.85,32.9833333
abia,,77,3.0833333,30.8166667
abi,,77,3.0833333,30.95
abim,,47,2.7016667,33.6761111
abiria,,77,3.25,31.0166667
abiya,,47,2.45,33.1166667
abiya,,69,2.0166667,33.6166667
aboke,,26,2.3352778,32.6886111
aboket,,80,1.7333333,33.45
aboki,,26,2.3352778,32.6886111
abola,,80,1.75,33.3166667
abolonyero,,47,1.6166667,32.8
aboru,,80,1.9333333,33.2333333
abudama,,26,1.7333333,32.15
abuke,,47,1.9833333,33.1666667
abuli,,26,1.9,32.8666667
aburkot,,47,1.6666667,32.8
aburuburu,,80,1.9166667,33.2333333
abutokom,,26,1.7333333,32.3333333
abwangete,,69,1.85,33.9166667
abwel,,76,0.6880556,34.0388889
abwong,,47,1.7,32.8333333
acamanumu,,26,1.8666667,32.7
acenluoro,,26,1.8166667,32.7
acer,,58,2.3666667,31.1
achaba,,26,1.8666667,32.75
achamdako,,80,1.65,32.9666667
achamidako,,80,1.65,32.9666667
achanpi,,80,1.8,33.2
achar,,30,2.9333333,32.5333333
achedepel,,69,2.0333333,33.85
achedeperi,,69,2.0333333,33.85
achet,,26,2.4,32.5333333
achilet,,76,0.7158333,34.1347222
achisa,,60,1.3833333,33.7
acholibar,,92,3.1258333,32.9197222
acholibur,,92,3.1258333,32.9197222
achomai,,69,2.0166667,33.5833333
achomya,,95,1.4166667,33.45
achumet,,69,2.1833333,33.7333333
achuna,,69,1.9861111,33.4894444
achungi,,26,2.0,32.8166667
achuru,,69,2.1,34.05
achwa,,69,2.0472222,33.8083333
achwichwi,,69,2.1333333,33.6
aciak,,30,3.245,32.1411111
adacari,,95,1.5666667,33.6166667
adachal,,69,2.0486111,34.0522222
adadoi,,46,1.3333333,33.95
adagimon,,47,2.0,33.2
adakata,,47,1.7666667,32.8666667
adapatakitala,,69,2.25,33.9833333
adari,,60,1.25,33.7
adekere,,80,1.65,33.0
adengi,,69,1.8666667,33.0166667
adepari,,69,2.1,33.8333333
adero,,47,1.6833333,32.7333333
aderutu,,69,2.3,33.6166667
adiegi,,26,2.1166667,32.45
adilang,,47,2.7191667,33.4930556
adingi,,58,2.4833333,30.8
adinya,,80,1.8,33.3166667
adita,,47,1.6833333,32.8666667
adjugopi,,65,3.4166667,31.9166667
adjumani,26774,65,3.3613889,31.8097222
adlegi,,26,2.1166667,32.45
adodoi,,69,2.4,33.75
adodoyi,,95,1.4,33.5333333
adok,,26,2.15,32.55
adola,,69,2.2333333,33.6166667
adome,,95,1.7666667,33.75
adomo,,95,1.7666667,33.75
adonga,,69,2.0333333,34.15
adongoyere,,47,1.6833333,32.7833333
adonyimo,,47,1.7833333,32.95
adra,,58,2.6,31.0666667
adu,,77,3.2,31.1
aduko,,45,2.8166667,33.9833333
aduku,,26,1.9975,32.7169444
adumi,,77,3.05,30.8166667
adwari,,47,2.4527778,33.1994444
adwoki,,47,1.9833333,33.0666667
adyongobaro,,47,1.7,32.75
adzugopi,,65,3.4166667,31.9166667
agama,,95,1.7333333,33.5666667
aganga,,26,1.7675,32.2197222
agaria,,60,1.35,33.75
agbo,,77,3.0544444,31.4183333
agenmatch,,58,2.5666667,30.8666667
agermach,,58,2.5666667,30.8666667
agikdak,,47,1.6666667,32.9166667
agikidaki,,95,1.8333333,33.6333333
agil,,26,2.05,32.75
agipaboni,,69,2.3166667,33.65
agirigirioi,,69,1.9333333,33.6166667
agirigiroi,,46,1.5333333,33.75
agirigiroi,,69,1.9333333,33.6166667
agola,,76,0.6844444,34.0983333
agonyolako,,47,1.65,32.7666667
agora,,95,1.7,33.5666667
agoro,,84,3.7594444,33.0369444
agu,,60,1.4666667,33.7
agule,,60,1.2594444,33.7116667
agule,,69,1.6,33.8833333
agule,,95,1.4166667,33.3833333
aguliya,,69,2.2313889,33.5672222
agulul,,95,1.65,33.5833333
agur,,26,2.4333333,32.9333333
agurut,,46,1.4333333,33.9
agwata,,47,1.9605556,32.9830556
agwengere,,26,1.9166667,32.8166667
agwenonyari,,69,1.9166667,33.1166667
agwiciri,,26,2.1333333,32.75
agwingiri,,47,1.6333333,32.8333333
agwok,,58,2.4788889,31.19
ai-avu,,77,2.9,31.2
ai-ivu,,77,3.1666667,31.0166667
airere,,46,1.4,33.8833333
airinget,,69,2.0833333,34.0833333
ajaa,,50,1.85,32.4
ajama,,80,1.9166667,33.4833333
ajaniti,,69,2.2833333,33.55
ajar,,26,1.8497222,32.5616667
ajebe,,77,3.3333333,30.9
ajeruk,,69,1.55,33.8166667
ajeruku,,69,1.55,33.8166667
ajesa,,46,1.6166667,33.7666667
ajesai,,69,1.8666667,33.9
ajia,,77,2.9177778,31.0336111
ajikidaki,,95,1.8333333,33.6333333
ajono,,58,2.9666667,30.8666667
ajonyi,,80,1.8166667,33.55
ajuket,,46,1.3833333,33.9666667
ajumani,,65,3.3613889,31.8097222
akaba,,58,2.5,31.15
akademothy,,45,2.9833333,34.1833333
akado,,45,2.65,33.65
akaikai,,95,1.8333333,33.65
akalu,,26,2.135,32.8461111
akanyo,,58,2.5333333,31.2
akar,,26,1.9833333,32.6
akarukwe,,60,1.4,33.7
akatongore,,52,-0.1333333,30.5333333
akedimothy,,45,2.9833333,34.1833333
akeen,,34,-1.2333333,29.7833333
akere,,80,1.85,33.3333333
aketa,,69,2.1,33.95
aketo,,50,1.8666667,32.3833333
akilok,,84,3.5208333,33.5122222
akisa,,60,1.3833333,33.7
akisim,,60,1.25,33.7333333
akisim,,69,1.8,33.9166667
akisim,,95,1.7333333,33.7333333
akokoro,,26,1.6913889,32.3919444
akole,,69,2.0166667,33.75
akolodong,,47,1.95,33.1166667
akolodongo,,47,1.95,33.1166667
akongomit,,47,1.7,32.7833333
akore,,69,1.9666667,33.7666667
akot,,47,1.75,32.8166667
akoyo,,69,2.2666667,33.5333333
akpokoa,,77,3.2327778,31.4197222
akulet,,69,1.8666667,33.9333333
akum,,46,1.4666667,33.9
akum,,80,2.0,33.3
akumu,,80,2.0,33.3
akure,,80,1.8833333,33.3333333
akweyi,,80,1.6166667,33.0333333
akwon,,26,1.95,32.7333333
akwoni,,47,1.75,32.9
akworo,,46,1.3333333,34.1
akyereu,,80,2.0333333,33.3833333
akyeriau,,80,2.0333333,33.3833333
ala,,77,2.9166667,31.35
alado,,50,1.8833333,32.4166667
alas,,95,1.9666667,33.65
alebai,,80,2.0833333,33.45
alebtong,,26,1.95,32.45
alebtong,,47,2.2447222,33.2547222
alebtongo,,47,2.2447222,33.2547222
alego,,58,2.4833333,31.0666667
alekilek,,69,2.0833333,34.1666667
aleles,,60,1.3166667,33.7
alelesi,,69,1.8833333,33.95
alemere,,47,1.5975,32.8372222
alengbele,,77,2.6166667,31.1333333
alengbelo,,77,2.6166667,31.1333333
alengo,,50,1.8355556,32.3508333
alenzu,,58,2.7166667,30.9333333
alera,,30,2.7069444,32.0502778
alera,,69,2.25,33.6166667
alere,,69,2.15,33.65
alerek,,45,2.805,33.7638889
alero,,30,2.7069444,32.0502778
aleuleun,,69,2.25,33.9
aliba,,65,3.2847222,31.5594444
aliba,,77,3.1166667,30.9
alibu,,77,2.7166667,31.0666667
alijoda,,77,2.8925,31.1533333
alila,,26,2.0333333,32.7333333
alilioi,,69,1.8666667,33.65
alira,,26,2.0333333,32.7333333
alito,,26,2.4044444,32.8086111
alivu,,77,3.1666667,30.9166667
aloet,,80,1.7022222,33.2916667
aloet,,95,1.7333333,33.6666667
aloi,,47,2.2066667,33.1983333
aloit,,95,1.7666667,33.65
alokiri,,47,1.8833333,33.15
aloloi,,80,2.0166667,33.3333333
alomdyel,,26,1.7333333,32.55
alomet,,80,1.7022222,33.2916667
alopua,,45,2.9333333,34.1
aloro,,26,2.2333333,32.5333333
alube,,58,2.6666667,30.8333333
aluga,,26,1.8,32.4166667
alui,,58,2.45,31.3666667
alukuchoko,,69,1.8,33.9166667
alutong,,69,2.3166667,33.5666667
alwa,,47,1.85,33.1666667
alwala,,26,1.75,32.15
alwala,,80,2.9855556,33.4733333
alwi,,58,2.45,31.3666667
alwii,,58,2.45,31.3666667
alworoceng,,26,1.9833333,32.3666667
alyamese,,80,1.6833333,33.15
amabasere,,28,0.8166667,30.1333333
amach,,47,2.0983333,33.0161111
amaich,,47,2.0983333,33.0161111
amalwasi,,69,2.1833333,33.7666667
amanumingon,,69,2.2166667,33.8
amar,,30,2.5833333,32.2
amarwasi,,69,2.1833333,33.7666667
ambidro,,77,3.1833333,30.95
amdat,,91,1.95,34.95
ame,,46,1.4,33.85
amemya,,69,2.2333333,33.6833333
ameng,,69,1.8833333,33.8166667
ameno,,46,1.6833333,34.1
amenu,,46,1.6833333,34.1
amenya,,60,1.4,33.8333333
amero,,69,2.1166667,33.7666667
amgamwa,,88,2.805,34.2805556
amidakan,,80,1.95,33.35
amiel,,80,2.9666667,33.45
amii,,26,1.9225,32.4027778
amilmil,,69,2.0833333,33.6
amilo,,26,1.9666667,32.45
aminapoke,,26,1.95,32.6
aminit,,95,1.75,33.55
aminiti,,95,1.5333333,33.5333333
aminito,,69,2.1333333,33.7166667
aminteng,,26,1.9,32.5333333
amintina,,69,1.9833333,33.8166667
amitina,,69,1.9833333,33.8166667
amolatar,,47,1.6155556,32.8397222
amolitar,,47,1.6155556,32.8397222
amolota,,47,1.6155556,32.8397222
amolotar,,47,1.6155556,32.8397222
amonikakinei,,76,0.5666667,34.0833333
amorkot,,80,1.65,32.9833333
amoru,,80,1.9166667,33.3666667
amorupos,,69,1.95,33.7166667
amua,,72,3.6333333,31.8166667
amuchu,,69,2.1166667,33.7
amucu,,69,2.1166667,33.7
amuda,,88,2.2,34.6
amudat,1873,91,1.95,34.95
amugei,,69,2.15,33.7833333
amugo,,80,2.0816667,33.3361111
amunoi,,69,2.05,33.8
amuria,,95,2.0036111,33.6511111
amuryei,,80,1.9333333,33.25
amusus,,69,2.0666667,33.55
amwanga,,26,1.9166667,32.7
amyamya,,69,2.2333333,33.6833333
amyema,,95,1.5,33.2333333
anaka,,30,2.5944444,31.9633333
anamido,,47,1.6666667,32.7333333
andruvu,,77,3.0333333,30.9166667
angaba,,58,2.25,31.2333333
angal,,58,2.4333333,31.1833333
angodingodi,,69,1.8,33.9666667
angole,,69,1.8333333,33.7833333
angorom,,69,1.8333333,33.8833333
angorom,,80,2.1166667,33.4
angoropia,,69,1.95,33.9166667
angotimoti,,47,1.7,32.95
angunai,,80,1.7833333,33.5166667
anwangi,,26,1.9,32.75
anya,,77,2.7333333,31.0666667
anyalai,,80,1.9166667,33.55
anyangalong,,69,2.2166667,33.8
anyara,,80,2.0,33.3166667
anyavu,,58,2.6833333,30.8666667
anyek,,26,2.3686111,32.5163889
