names,population,state_code,lat,lon
18 de julio,,14,-33.6833333,-53.55
19 de abril,,14,-34.3666667,-54.0666667
25 de agosto,,07,-34.4116667,-56.4022222
25 de mayo,,07,-34.1891667,-56.3394444
abayuba,,10,-34.7641667,-56.2138889
abrojal,,13,-31.75,-55.0166667
acegua,,03,-31.8666667,-54.2
achar,,18,-32.4166667,-56.1666667
achiras,,08,-33.5333333,-54.4333333
acosta,,19,-33.2333333,-53.85
agraciada,,17,-33.8,-58.25
aguada,,10,-34.9,-56.1833333
aguas buenas,,05,-32.8,-55.8
aguas corrientes,,02,-34.5219444,-56.3936111
aguila,,03,-32.6666667,-53.6166667
aguila,,17,-33.6,-57.9833333
aguirre,,03,-32.3666667,-54.7666667
ahogados,,06,-33.75,-56.4666667
aigua,,09,-34.2,-54.75
albisu,,15,-31.3333333,-57.8
aldecoa,,06,-33.55,-56.9
alejandrina,,17,-33.7666667,-58.35
alejandro gallinal,,07,-33.8166667,-55.55
algorta,,12,-32.4166667,-57.3833333
allende,,01,-30.3,-56.9666667
amaro,,03,-32.75,-53.4833333
anastasia,,19,-33.2166667,-54.3833333
andresito,,06,-33.1333333,-57.15
ansina,,11,-31.9,-55.4666667
arapey,,15,-30.9666667,-57.5333333
araujo,,11,-32.1,-57.8166667
arbolito,,03,-32.65,-54.25
arbolito,,11,-32.2333333,-56.5
arenal,,02,-34.45,-55.7833333
arenal,,17,-33.7166667,-58.2666667
arenales,,17,-33.7166667,-58.2666667
arenitas blancas,,11,-31.35,-57.9833333
arevalo,,03,-32.6333333,-55.1166667
arriera,,18,-32.0333333,-54.5666667
arroyo aguila,,17,-33.6,-57.9833333
arroyo blanco,,13,-31.6833333,-54.7666667
arroyo de la virgen,,07,-34.1333333,-56.4
arroyo grande,,06,-33.9666667,-57.1
arroyo malo,,06,-33.3333333,-56.9333333
arroyo maria cejas,,05,-33.0833333,-56.1833333
arroyo seco,,10,-34.8833333,-56.2
arrozal treinta y tres,,19,-33.0166667,-53.7
arrozal victoria,,14,-33.1833333,-53.9
