names,population,state_code,lat,lon
abablar,,05,41.4,60.7
abdida,,08,38.9152778,65.7966667
abduamin,,10,40.0833333,65.6
abdubay,,01,40.7666667,71.9666667
abdukarim,,15,39.9,67.6166667
abdullabiy,,01,40.7833333,72.75
abdy,,08,38.8072222,66.8480556
abidida,,08,38.9152778,65.7966667
abirakhmat,,14,41.5666667,70.1166667
abisanda,,08,39.1333333,67.1166667
abishkhan,,08,38.4180556,66.9844444
ablyk,,14,40.9833333,70.0666667
(( abta-abad )),,12,37.45,67.2166667
abushka,,01,40.95,72.5166667
abuz,,12,37.485,67.4244444
acha,,10,40.6755556,66.2183333
achamayle,,10,39.7,67.2833333
acha-mayli,,10,39.7,67.2833333
(( achchi )),,14,41.4333333,69.3166667
achchi,,15,39.95,68.2375
achi,,10,40.1833333,65.95
achi,,15,39.95,68.2375
achvatin,,15,40.1833333,67.6333333
adabiyat,,09,43.0333333,58.7833333
adak,,12,38.15,67.9666667
adas,,10,39.5666667,67.1333333
adebiyat,,09,43.0333333,58.7833333
adil',,10,39.9833333,66.65
ados,,10,39.5666667,67.1333333
adzherekty,,07,41.7,64.5333333
adzhrym,,08,38.8563889,66.6716667
agach-dzhan,,15,39.9666667,67.8166667
agachty,,16,40.3333333,68.1166667
agalyk,,10,39.5361111,66.8947222
agalyk-payan,,10,39.5361111,66.8947222
aganusan,,10,40.0333333,66.5666667
agirtma,,08,38.2291667,66.3269444
agullik,,01,40.7305556,72.3480556
aidar-bulak,,08,38.8641667,67.0852778
aikyran,,06,41.0666667,71.8
ailli,,12,37.6,66.9333333
aim,,01,40.6833333,71.9333333
aimbed-ishan,,09,42.95,60.4666667
aimbet-ishan,,09,42.95,60.4666667
aimchakakyr,,03,40.35,70.7666667
aim-ravat,,02,39.5333333,63.7333333
airancki,,02,39.9666667,64.7666667
airitam,,08,39.3638889,66.1958333
air-tam,,08,39.3638889,66.1958333
air-tame,,05,41.6,60.35
ait-buzum,,14,41.1436111,69.0891667
aitkul',,08,39.2,66.6
akaltyn,,01,40.7502778,71.7105556
akaltyn,,05,41.4333333,61.0666667
akaltyn,,08,38.5861111,65.7986111
