names,population,state_code,lat,lon
adelphi,,01,13.1833333,-61.1333333
arnos vale,,04,13.1333333,-61.2
ashton,,06,12.5833333,-61.4333333
baiabu,,01,13.2,-61.1333333
barawally,,05,13.2333333,-61.2666667
barroualie,1902,05,13.2333333,-61.2666667
barrouallie,,05,13.2333333,-61.2666667
barrualli,,05,13.2333333,-61.2666667
bednoe,,06,12.95,-61.25
belle vue,,01,13.2333333,-61.1166667
belmont,,04,13.15,-61.1833333
bequia,,01,13.2833333,-61.1333333
biabou,1050,01,13.2,-61.1333333
brighton,,04,13.1333333,-61.1666667
brighton village,,04,13.1333333,-61.1666667
byera village,,01,13.25,-61.1166667
caliaqua,,04,13.1166667,-61.1833333
calliagda,,04,13.1166667,-61.1833333
calliaqua,,04,13.1166667,-61.1833333
camden park,,02,13.1666667,-61.2333333
chapmans,,01,13.2833333,-61.1166667
charlestown,,06,12.6833333,-61.3333333
chateaubelair,735,03,13.2833333,-61.25
chauncey,,02,13.1666667,-61.2333333
cheltenham,,06,12.8833333,-61.1833333
clare valley,,02,13.1666667,-61.25
clifton,,06,12.5833333,-61.4166667
cliftons,,06,12.5833333,-61.4166667
colonarie,,01,13.2333333,-61.1166667
derrick,,06,12.9833333,-61.25
dovers,525,06,12.8833333,-61.1833333
dubois,,02,13.1833333,-61.2333333
edinboro,,02,13.1575,-61.2444444
fancy,,01,13.3666667,-61.1666667
francois,,02,13.2,-61.2166667
friendly,,01,13.2333333,-61.1166667
friendship,,06,12.9833333,-61.2333333
georgetown,1708,01,13.2666667,-61.1166667
greathead,,04,13.1441667,-61.2208333
greiggs,,01,13.2,-61.15
hermitage,,05,13.2333333,-61.2166667
kingstown,17995,04,13.1333333,-61.2166667
kingstown park,,04,13.1583333,-61.235
layou,1609,05,13.2,-61.2666667
liberty lodge,,02,13.1658333,-61.2316667
lovell village,,06,12.8833333,-61.1833333
mesopatamia,,01,13.1666667,-61.1666667
mesopotamia,,01,13.1666667,-61.1666667
montrose,,02,13.1666667,-61.2333333
new sandy bay village,,01,13.35,-61.1333333
north union,,01,13.2166667,-61.1333333
o'briens,,01,13.2833333,-61.1333333
old wall,,06,12.6333333,-61.3833333
orange hill,,01,13.3166667,-61.1166667
paget farm,,06,12.9833333,-61.25
pembroke,,02,13.1833333,-61.25
peruvian vale,,01,13.1666667,-61.1333333
port-elisabeth,,06,13.0166667,-61.2333333
port elizabeth,839,06,13.0166667,-61.2333333
princes town,,05,13.2333333,-61.2666667
questelles,,02,13.1666667,-61.2333333
rabaca,,01,13.3,-61.15
rabacca,,01,13.3,-61.15
rabaka,,01,13.3,-61.15
redemption,,02,13.1644444,-61.2294444
ribishi,,04,13.1333333,-61.1833333
richland park,,01,13.2,-61.1666667
richmond,,03,13.2833333,-61.25
richmond town,,03,13.2833333,-61.25
richmond vale,,03,13.2833333,-61.2333333
rosehall,,03,13.2666667,-61.2333333
rutland vale,,05,13.2,-61.2833333
rutland vale village,,05,13.2,-61.2833333
sans souci,,01,13.2166667,-61.1166667
south rivers,,01,13.2333333,-61.1333333
spring village,,05,13.25,-61.2333333
stubbs,,04,13.1333333,-61.15
tourama,,01,13.3333333,-61.15
troumaka,,03,13.2666667,-61.25
turema,,01,13.3333333,-61.15
union,,06,13.0,-61.2333333
vermont,,02,13.2,-61.2166667
wallibou,,03,13.3166667,-61.2166667
wallibu,,03,13.3166667,-61.2166667
waterloo,,01,13.3,-61.1333333
