names,population,state_code,lat,lon
1 beneficio,,11,11.0,-70.6666667
abajo higueron,,03,7.3916667,-71.6394444
abasacapan,,06,5.7166667,-62.3
abati,,06,7.2,-61.05
abejales,,20,7.6,-71.5166667
abelera,,03,7.35,-67.15
abrea,,03,7.8833333,-67.95
abreu,,15,10.3172222,-66.5505556
abudure,,11,11.8,-70.0166667
acaboa,,11,12.0075,-70.1472222
acaoba,,11,12.1,-70.1666667
acapral,,12,9.2833333,-67.5666667
acapralito,,12,9.2666667,-65.7
acapulco,,02,9.9666667,-65.1666667
acarigua,,11,11.3088889,-69.4527778
acarigua,,17,11.05,-63.9166667
acarigua,143739,18,9.5597222,-69.2019444
acarigua,,19,10.2333333,-63.9
aceite,,12,8.8833333,-67.2666667
aceites,,03,7.0166667,-67.4
aceitico,,03,7.0166667,-67.4
aceitico,,06,6.5691667,-66.9775
aceitico,,12,8.5,-67.4166667
aceituna de coromoto,,11,10.975,-70.7333333
aceituno,,05,8.25,-69.9833333
aceituno,,13,9.9666667,-70.4166667
aceituno,,23,10.7666667,-71.5666667
acequias,,14,8.4302778,-71.2419444
acequioncito,,18,8.96,-68.9466667
acetico,,03,7.0166667,-67.4
acevedo,,15,10.4,-66.3
achaguas,,03,7.7666667,-68.2333333
acorote,,11,11.3433333,-70.2325
acueducto,,23,10.5425,-71.7041667
acurigua,,11,11.3088889,-69.4527778
acuriguita,,11,11.385,-69.3144444
adaro,,11,11.7666667,-70.2166667
adaure,,11,11.8863889,-69.9866667
adicora,,11,11.9455556,-69.8022222
adjuntas,,07,10.05,-67.7666667
adjuntas,,18,9.4166667,-69.9333333
adrian,,12,8.2083333,-66.2666667
aduana,,13,10.5666667,-69.68
aduazero,,18,8.75,-69.8333333
aeropuerto barrio,,05,8.4883333,-68.3672222
africa,,03,7.6833333,-69.1166667
agarroba,,03,7.8333333,-67.7666667
agua,,05,8.7372222,-70.3394444
agua,,11,10.75,-68.4333333
agua amarilla,,02,8.7166667,-64.8
agua amarilla,,08,9.8333333,-68.7166667
agua amarilla,,12,8.8294444,-65.025
agua amarilla,,13,9.4588889,-69.6338889
agua amarilla,,15,10.0352778,-66.8472222
agua amarillo,,04,10.1833333,-67.1166667
agua azul,,13,10.1611111,-69.175
agua azul,,14,9.1516667,-71.1466667
agua azul,,22,10.1633333,-69.1783333
agua blanca,,01,5.4847222,-67.6052778
agua blanca,,02,7.9494444,-65.3872222
agua blanca,,05,8.8302778,-70.1627778
agua blanca,,06,7.5988889,-62.3755556
agua blanca,,07,10.0369444,-67.8461111
agua blanca,,11,11.1333333,-68.6333333
agua blanca,,12,8.7916667,-66.6683333
agua blanca,,13,10.0583333,-70.4177778
agua blanca,,14,8.2083333,-71.3763889
agua blanca,,15,10.0602778,-66.4655556
agua blanca,,16,10.0277778,-63.3113889
agua blanca,,18,9.6672222,-69.0988889
agua blanca,,19,10.2333333,-63.8166667
agua blanca,,20,7.7586111,-72.2936111
agua blanca,,21,9.4213889,-70.5880556
agua blanca,,22,10.2538889,-68.7622222
agua blanca,,23,9.9416667,-71.0288889
agua blanca la palma,,07,10.0369444,-67.8461111
agua blanquita,,06,6.4611111,-67.0630556
agua buena,,13,10.5738889,-69.7405556
agua buena,,15,10.2133333,-66.2352778
agua caliente,,02,10.0333333,-65.3333333
agua caliente,,05,8.5166667,-70.4
agua caliente,,07,10.3033333,-67.6905556
agua caliente,,14,8.235,-71.6763889
agua caliente,,15,10.1666667,-67.0666667
agua caliente,,19,10.3205556,-63.5605556
agua caliente,,20,7.9180556,-72.4294444
agua caliente,,21,9.6272222,-70.5947222
agua caliente,,22,10.0977778,-68.8027778
agua caliente,,23,8.7166667,-72.4666667
agua calientica,,02,10.0333333,-65.3166667
aguacatal,,26,10.4538889,-67.2694444
aguacate,,04,10.0666667,-67.4333333
aguacate,,07,10.35,-67.75
aguacates,,08,9.85,-67.8833333
aguacates,,11,11.3,-68.6333333
aguacates,,99,10.3333333,-70.6666667
aguacatico,,07,9.8777778,-67.8783333
aguacatico,,08,9.85,-67.8833333
aguacerito,,11,11.2766667,-69.4455556
aguacero,,18,8.75,-69.8333333
agua chiquita,,11,11.0166667,-70.735
agua clara,,02,8.7833333,-64.5166667
agua clara,,04,10.0697222,-67.6522222
agua clara,,06,7.2338889,-62.1583333
agua clara,,11,11.1627778,-69.9783333
agua clara,,18,9.4527778,-69.9738889
agua clara,,19,10.3583333,-64.115
agua clara,,20,7.6805556,-71.6788889
agua clara,,21,9.2730556,-70.6341667
agua clara,,23,10.3422222,-71.3675
agua clarita,,16,8.9066667,-62.8261111
agua clarita,,19,10.4138889,-63.3
agua colorada,,05,8.3091667,-70.7491667
agua colorada,,11,10.6925,-69.0766667
agua colorada,,13,10.2444444,-69.1394444
agua colorada,,14,9.0666667,-71.2372222
agua colorada,,15,10.4333333,-66.2
agua colorada,,19,10.2405556,-64.415
agua colorada,,23,9.0697222,-71.2344444
aguada de arenales,,13,9.7905556,-70.085
aguada de infante,,13,9.8005556,-70.1372222
aguada del calvario,,12,9.3033333,-65.8872222
aguada del cielo,,12,9.7133333,-65.9416667
aguada del muerto,,12,9.65,-65.7055556
aguada del rosario,,12,9.1888889,-67.1333333
aguada de san antonio,,12,9.5833333,-67.4266667
aguada grande,,13,10.5861111,-69.4777778
agua de angel,,18,8.875,-69.95
agua de hierro,,11,10.7680556,-69.2647222
aguadela,,05,8.27,-69.5569444
agua de las flores,,14,8.9888889,-70.6211111
agua del medio,,12,9.3083333,-66.4188889
agua del tigre,,23,10.7605556,-71.22
agua de obispo,,07,10.1925,-68.3438889
agua de obispo,,21,9.7038889,-70.1072222
agua de urao,,14,8.5011111,-71.3919444
agua de vaca,,17,11.0133333,-63.9666667
aguadia,,20,8.1455556,-71.985
agua dulce,,02,9.3738889,-64.7811111
agua dulce,,05,8.8416667,-70.3955556
agua dulce,,08,9.6166667,-68.65
agua dulce,,11,10.8538889,-69.2441667
agua dulce,,13,10.4027778,-69.3205556
agua dulce,,14,8.5372222,-71.2625
agua dulce,,15,10.4583333,-66.6972222
agua dulce,,16,10.0116667,-63.6611111
agua dulce,,19,10.6583333,-63.0005556
agua dulce,,20,7.6541667,-72.1916667
agua dulce,,22,9.8769444,-68.8572222
agua fria abajo,,19,10.4544444,-63.2805556
agua fria,,02,8.7275,-63.5663889
agua fria,,04,10.1,-67.1666667
agua fria,,05,8.8516667,-70.4788889
agua fria,,13,10.2394444,-69.0977778
agua fria,,15,10.3286111,-66.8875
agua fria,,19,10.1611111,-63.8
agua fria,,20,7.7811111,-71.6288889
agua fria,,21,9.2461111,-70.1077778
agua fria,,22,10.1244444,-68.7116667
agua fria arriba,,19,10.4616667,-63.2627778
agua grande,,12,8.7822222,-65.3616667
agua grande,,13,10.5861111,-69.4777778
agua grande,,15,10.4,-66.3
agua hedionda,,07,9.9261111,-67.8916667
agua hedionda,,12,9.7888889,-67.4155556
agua larga,,05,8.3269444,-69.6072222
agua larga,,11,10.8922222,-69.7244444
agua larga,,14,8.9172222,-70.7905556
agua larga de dolores,,05,8.3194444,-69.5327778
agua larga de libertad,,05,8.3269444,-69.6072222
agua linda,,01,5.5666667,-67.1166667
agua linda,,03,6.9333333,-67.8666667
agua linda,,05,7.3166667,-70.8666667
agua linda,,06,7.8505556,-63.805
agua linda,,07,9.9538889,-68.1477778
agua linda,,11,10.3955556,-68.4433333
agua linda,,13,10.0944444,-70.1166667
agua linda,,20,7.4363889,-72.0986111
agua linda,,21,9.1655556,-70.0875
agua linda,,22,9.9755556,-68.6916667
agua linda,,23,10.1675,-70.7027778
agua mansa,,20,8.2808333,-71.8988889
aguamare,,15,10.0836111,-66.0455556
agua maria,,11,11.0130556,-69.1163889
agua marsa,,20,8.2808333,-71.8988889
agua negra,,05,8.6061111,-69.8888889
agua negra,,06,7.2608333,-66.4963889
agua negra,,08,9.85,-68.5166667
agua negra,,11,11.1719444,-70.41
agua negra,,12,9.1383333,-65.5211111
agua negra,,13,10.0563889,-69.165
agua negra,,15,9.9833333,-65.8
agua negra,,18,9.605,-69.4516667
agua negra,,22,10.0572222,-69.1622222
agua negra,,23,9.9069444,-70.9758333
agua nieve,,06,7.5155556,-65.6788889
aguanta callado,,20,7.5455556,-71.5277778
agua nueva,,12,9.3083333,-66.4188889
agua rosada,,11,10.7466667,-69.1394444
aguaruca,,22,10.1294444,-68.965
aguaruca arriba,,22,10.1322222,-68.9769444
agua salada,,02,9.4819444,-64.7438889
agua salada,,06,7.2,-62.05
agua salada,,11,10.7719444,-69.5666667
agua salada,,12,9.1633333,-65.775
agua salada,,13,10.1555556,-69.9466667
aguasal,,15,10.4666667,-66.1166667
agua salud,,15,10.2627778,-66.0852778
agua santa,,02,9.5438889,-64.7141667
agua santa,,13,10.2905556,-69.275
agua santa,,19,10.35,-64.11
agua santa,,21,9.5166667,-70.6666667
agua santa,,23,10.4108333,-71.1288889
aguasay,,16,9.4277778,-63.7297222
aguas calientes,,14,7.7727778,-71.4777778
aguas calientes,,20,7.9180556,-72.4294444
aguas claras,,03,7.3833333,-69.9833333
aguas coloradas,,13,10.2883333,-70.3
aguas muertas,,12,8.0716667,-66.6766667
aguas muertas,,23,9.3333333,-71.75
agua sola,,02,9.3266667,-64.6583333
aguas termales,,07,10.3077778,-68.0872222
agua sucia,,18,9.0694444,-69.8433333
agua turbia,,13,9.6338889,-69.8833333
agua verde,,05,8.0166667,-69.55
agua verde,,06,7.0372222,-63.2444444
agua verde,,12,7.9105556,-67.195
agua vieja,,13,10.3583333,-69.7872222
agua viva,,05,8.3175,-69.6061111
agua viva,,11,10.7088889,-70.9672222
aguaviva,,11,11.1166667,-68.65
agua viva,,11,11.2719444,-69.9608333
agua viva,,13,10.025,-69.2872222
agua viva,,18,9.1538889,-69.1961111
agua viva,,21,9.5586111,-70.6494444
agua viva,,22,10.6641667,-68.6602778
agua viva,,23,8.8916667,-71.6205556
agueda,,07,10.2166667,-68.1333333
aguerito,,06,7.5947222,-66.3813889
aguide,,11,11.35,-68.6833333
aguima,,11,11.4333333,-69.0166667
aguirre,,07,10.2436111,-68.2658333
aguirre,,08,9.7752778,-68.7830556
aguita de dios,,07,10.1213889,-68.1933333
agusay,,16,9.4277778,-63.7297222
ahogamula,,13,10.1755556,-69.1216667
ahorcados,,23,10.0666667,-71.2333333
aipiapa,,23,11.7841667,-71.4502778
aji,,06,5.7833333,-61.45
ajies,,19,10.45,-63.1
ajotejana,,09,8.7141667,-60.9452778
alacran,,12,9.0883333,-65.0683333
alambique,,11,10.6333333,-68.5166667
albargaton,,07,10.4666667,-68.25
albarical,,01,5.9833333,-67.4
albarical,,20,8.2830556,-72.0333333
albaricales,,23,8.7386111,-72.5616667
albarico,,20,7.6472222,-72.1216667
albarico,,22,10.4008333,-68.6911111
albelera,,03,7.35,-67.15
alcabala,,18,9.5888889,-69.1880556
alcabala,,19,10.3977778,-64.2333333
alcabala,,23,10.6175,-71.4169444
alcarabanes,,23,10.6666667,-71.7833333
alcaral,,12,8.7283333,-65.5630556
alcaravanes,,23,10.6666667,-71.7833333
alcornocal,,12,9.0333333,-66.3611111
alcornocalito,,03,7.1455556,-67.2061111
alcornoque largo,,12,9.0277778,-66.3461111
alcornoquito,,12,8.775,-65.3772222
alcornoquito blanco,,02,8.4088889,-64.6666667
aldea general salom,,20,7.8333333,-72.3333333
aldea rivas,,20,8.1,-72.25
aldea san antonio,,03,7.95,-68.4333333
alegria,,12,9.5333333,-65.7833333
alegria,,19,10.2683333,-63.6055556
alegria,,23,10.4238889,-71.7555556
alejandria,,15,10.1833333,-65.6833333
aleman,,13,10.1738889,-70.1166667
aleman,,23,9.1180556,-72.1683333
alemania,,02,7.6666667,-64.8666667
alemania,,13,10.1738889,-70.1166667
algari,,13,10.1583333,-69.3916667
algarroba,,06,7.8,-61.95
algarrobal,,07,10.0272222,-68.1875
algarrobal,,11,11.3366667,-69.2605556
algarrobito,,11,11.3383333,-69.3016667
algarrobo,,02,8.5916667,-64.0288889
algarrobo,,03,7.2166667,-68.4833333
algarrobo,,05,8.5169444,-70.5902778
algarrobo,,07,9.85,-67.8
algarrobo,,08,9.1666667,-68.3166667
algarrobo,,12,9.75,-66.2833333
algarrobol,,07,10.0272222,-68.1875
algarrobote,,03,7.2833333,-67.6
algodonal,,08,8.7166667,-68.15
algodonal,,18,9.6241667,-69.1438889
algodonal,,23,10.3861111,-71.2425
algodones,,11,11.3666667,-70.15
algodones,,13,10.6138889,-69.8138889
algorrobo,,05,8.7572222,-70.1152778
alineadero,,20,7.6975,-72.3
alineaderos,,20,7.6975,-72.3
alitain,,23,11.3316667,-72.0291667
aliviadero,,04,10.7944444,-66.955
aliviadero,,23,10.9205556,-72.1666667
alma,,06,7.3,-62.1333333
almacen,,06,8.0669444,-63.8475
almacenes,,06,8.0669444,-63.8475
almorzadero,,03,7.2816667,-70.8238889
almorzadero,,05,7.6666667,-71.05
almorzadero,,14,8.885,-70.8008333
alpanate,,23,11.1958333,-72.0077778
alpargaton,,07,10.4644444,-68.2552778
alquitrana,,20,7.6397222,-72.3241667
altagracia,,02,8.5647222,-64.0661111
altagracia,,03,7.4,-67.45
altagracia,,06,7.8666667,-65.55
altagracia,,12,8.34,-67.4133333
altagracia,,13,10.3361111,-70.1977778
altagracia,,15,10.1333333,-67.05
altagracia,,17,11.0955556,-63.9433333
altagracia,,19,10.61,-62.3244444
altagracia,,23,10.1166667,-71.2333333
altagracia de la montana,,15,10.1333333,-67.05
altagracia de orituco,40058,12,9.8622222,-66.3805556
altamira,,02,9.9916667,-64.2061111
altamira,,05,8.8327778,-70.5244444
altamira,,06,7.5,-63.25
altamira,,07,10.0061111,-67.7802778
altamira,,08,9.5166667,-68.3333333
altamira,,12,8.5872222,-65.5691667
altamira,,13,10.6194444,-69.17
altamira,,15,10.5111111,-66.85
altamira,,16,10.2361111,-63.5088889
altamira,,18,9.4783333,-69.9861111
altamira,,20,7.6333333,-72.3166667
altamira,,21,9.1583333,-70.3644444
altamira,,22,10.3902778,-68.8936111
altamira,,23,10.0016667,-70.7027778
altamizal,,05,8.5333333,-68.1166667
alto alegre,,02,9.1166667,-64.8333333
alto amara,,19,10.5905556,-62.5372222
alto amundarai,,16,10.02,-63.8688889
alto barinas,,05,8.5944444,-70.2222222
alto barrieno,,02,10.0166667,-64.0861111
alto blascoa,,19,10.4511111,-63.6202778
alto cachimbo,,12,8.8388889,-65.7061111
alto caribe,,02,9.9333333,-64.5611111
alto castillero,,02,10.0422222,-64.4833333
alto clarindero,,02,9.6722222,-64.7061111
alto coruma,,15,10.2913889,-66.8141667
alto de canafistola,,07,10.0480556,-68.1041667
alto de colmenares,,08,9.53,-68.1788889
alto de isnarun,,21,9.2580556,-70.5786111
alto de jesus,,11,10.425,-70.6
alto de la aguada,,05,8.6197222,-70.6769444
alto de la cruz,,19,10.4430556,-63.5102778
alto de la cruz,,21,9.2383333,-70.6694444
alto de la iguana,,16,9.9672222,-63.35
alto de la loma,,15,10.3783333,-66.875
alto del arenal,,14,8.9516667,-70.6227778
alto de la represa,,15,10.28,-66.725
alto de las cruces,,05,8.85,-70.4666667
alto del ebano,,23,10.7591667,-71.8913889
alto del ebanos,,23,10.7572222,-71.8933333
alto del majonal,,12,8.8,-66.5333333
alto de los godos,,16,9.7269444,-63.2141667
alto del rio,,22,10.2194444,-68.9361111
alto del salobre,,16,9.9813889,-63.3461111
alto del sitio,,15,10.05,-66.0
alto del viento,,13,9.7,-69.6005556
alto de majonal,,12,8.8,-66.5333333
alto de merecure,,15,10.3716667,-66.375
alto de nino,,20,8.1402778,-72.0583333
alto de piedra,,21,9.165,-70.1280556
alto de reyes,,07,10.1586111,-68.2838889
alto de rincon,,08,9.4833333,-68.1833333
alto de san juan,,16,9.9141667,-63.8958333
alto de san pedro,,20,8.1922222,-72.0208333
alto de santo domingo,,14,8.8061111,-70.8222222
alto de tomon,,21,9.1994444,-70.7230556
alto de villa nueva,,21,9.3644444,-70.2583333
alto domingo,,02,9.95,-64.75
alto grande,,20,7.72,-72.4458333
alto la aguada,,05,8.6197222,-70.6769444
alto la cuesta,,19,10.1705556,-63.8155556
alto la vera,,12,9.4683333,-66.1983333
alto los barbascos,,12,8.9011111,-65.675
alto maderero,,12,9.3716667,-66.2666667
alto merecure,,15,10.3152778,-66.3622222
alto monte,,15,10.2963889,-66.8319444
alto nacacual,,02,9.7266667,-64.74
alto na paula,,15,10.4027778,-66.8166667
alto parasol,,19,10.6838889,-62.2611111
alto pele el ojo,,19,10.1222222,-64.0944444
