names,population,state_code,lat,lon
anderson,,00,18.4333333,-64.6333333
belle vue,,00,18.45,-64.7333333
cane garden bay,,00,18.4166667,-64.65
creek village,,00,18.4911111,-64.3811111
freshwater pond,,00,18.3833333,-64.6666667
great carrot bay,,00,18.4,-64.6666667
great mountain,,00,18.4333333,-64.6166667
hannah,,00,18.4,-64.6333333
kingstown,,00,18.4166667,-64.5833333
leonards,,00,18.4166667,-64.6333333
lettsome settlement,,00,18.45,-64.7166667
little carrot bay,,00,18.4,-64.6666667
little harbour,,00,18.4333333,-64.7166667
long swamp,,00,18.4333333,-64.5666667
maya cove,,00,18.4166667,-64.5666667
road town,,00,18.4166667,-64.6166667
south sound,,00,18.4833333,-64.3833333
spanish town,,00,18.45,-64.4333333
the mill,,00,18.45,-64.5333333
the settlement,,00,18.7166667,-64.3166667
threllfall,,00,18.4,-64.6333333
wesley will,,00,18.4333333,-64.6
