names,population,state_code,lat,lon
aam tam,,36,10.7166667,107.8666667
a ba yu can,,29,15.9166667,107.6833333
aben young,,29,15.75,107.6
a blan,,29,15.8333333,107.5333333
a boum,,04,16.3166667,107.0666667
a brahon,,29,15.6833333,107.5833333
abri pavie,,22,21.8,103.1
a choc,,04,16.9,106.7833333
a daigne,,04,16.3166667,106.9833333
a dang,,04,16.4166667,106.9833333
adial,,29,15.8166667,107.6166667
a dua ap,,04,16.7333333,106.5833333
a gia,,36,11.5666667,108.7
a gioi,,04,16.5,106.8
a goho,,29,15.6333333,107.45
a hiale,,29,15.9166667,107.5666667
a hoi,,29,15.6666667,107.35
a hourn,,29,15.6166667,107.4833333
ai blun,,07,13.3333333,108.7166667
ai ha,,34,20.3666667,105.2833333
ai mo,,11,21.0833333,105.9
ai mo,,15,21.1166667,105.5166667
ai nghia,,29,15.8833333,108.1
ai nghia,,84,15.8833333,108.1166667
ai ngua,,32,21.5833333,103.9833333
ai tau ha,,06,10.2666667,105.8666667
ai thon,,11,21.35,106.0666667
ai thuong,,34,20.3333333,105.2666667
ai tu,,04,16.7666667,107.15
ai yin young,,29,15.9166667,107.6
aka,,04,16.0833333,107.6166667
a kar,,04,16.0833333,107.6166667
ale iock,,04,16.2666667,107.1833333
a le loch,,04,16.2666667,107.1833333
ale lock,,04,16.2666667,107.1833333
ale ninh,,04,16.2666667,107.1666667
a le thiem,,04,16.2833333,107.15
a lou,,19,22.7166667,103.5833333
a lou pu la,,19,22.7333333,103.6166667
a lou ta sai keou,,19,22.7,103.6
a lou ta sui keou,,19,22.7,103.6
a luoi,,04,16.2666667,107.2333333
a mai,,38,21.55,104.95
a me,,22,22.35,102.5666667
am ha,,38,21.5666667,105.0333333
am ha diem,,26,18.2333333,106.0666667
a mou,,19,22.7166667,103.6333333
ampil,,33,11.5166667,106.2333333
am th,,26,18.2166667,106.0666667
am thuong,,38,21.55,105.0166667
a nan,,19,22.4833333,104.1666667
an ba,,27,14.9833333,108.85
an bai,,35,20.5833333,106.5666667
an ban,,29,15.9,108.3333333
an bang,,29,15.7833333,108.0166667
an bao,,27,14.2833333,109.0666667
an bien,,21,9.7694444,105.025
an binh,,04,16.8333333,107.0833333
an binh,,09,10.7833333,105.35
an binh,,10,14.0333333,108.7166667
an binh,,21,10.1833333,104.65
an binh,,26,18.3,105.95
an binh,,27,14.3333333,109.1166667
an binh,,29,15.6666667,108.3666667
an binh,,31,11.4,106.8333333
an binh,,36,11.2,108.55
an binh,,41,9.8666667,105.95
an binh thanh,,28,13.3666667,109.25
an binh trai,,10,15.1666667,108.6333333
an bo,,12,21.0333333,106.4666667
an buong,,27,14.3166667,109.1333333
an can,,11,21.4,105.9666667
an cap,,11,21.4,105.9666667
an cau,,12,20.65,106.2166667
an chan,,32,21.5166667,104.1666667
an chang,,32,21.5166667,104.1666667
an chanh,,06,9.9166667,106.2
an chanh,,27,13.9166667,109.0
an chau,,11,21.3333333,106.85
an chau,,27,15.3166667,108.7833333
an chau ap,,27,14.85,108.9166667
an chi,,27,14.9833333,108.8333333
an chinh,,29,15.7833333,108.1
an co18,,04,17.05,107.1
an co,,35,20.6,106.5833333
an co,,65,9.5069444,106.0686111
an cu,,04,16.2333333,108.0833333
an cu,,10,13.9666667,108.6333333
an cu,,12,20.7833333,106.2833333
an cu,,27,13.9,109.15
an cu,,34,20.0833333,105.5
an cuc,,35,20.5833333,106.5166667
an cuong,,27,15.3,108.85
an cuong,,29,15.6166667,108.15
an cuu,,27,13.9,109.15
an Ða,,16,20.6666667,105.75
an da,,34,20.1833333,105.6333333
an dai,,29,15.65,108.4
an dan,,35,20.5833333,106.4833333
an dao,,14,20.3166667,106.4
an dao,,27,15.15,108.8666667
an Ðe18,,35,20.5,106.25
an diem,,12,20.9666667,106.2333333
an diem,,27,14.0833333,108.9833333
an diem,,29,15.8833333,107.8833333
an dien,,03,9.9022222,106.5433333
an dien,,06,10.0666667,106.15
an dien,,27,14.8,108.9166667
an dien,,29,15.8833333,107.8833333
an dien bac,,10,14.0333333,108.7333333
an dien nam,,10,14.0166667,108.7333333
an dinh,,03,9.9747222,106.5458333
an Ðinh,,04,16.9166667,107.0166667
an dinh,,04,17.2833333,106.7666667
an dinh,,10,13.9666667,108.5666667
an dinh,,20,10.7133333,106.6047222
an dinh,,27,13.8166667,109.2
an dinh,,28,12.25,109.0333333
an dinh,,29,15.8666667,108.0333333
an dinh,,31,11.4,106.8333333
an dinh cau,,67,9.9152778,106.1441667
an Ðo18,,27,14.65,109.0
an Ðo18,,34,20.15,105.45
an do18,,34,20.1666667,105.65
an Ðoai,,12,21.0333333,106.3666667
an do,,04,16.4833333,107.5166667
an doi,,12,21.0333333,106.3666667
an dom,,04,16.7333333,107.1666667
an don,,04,16.7333333,107.1666667
an Ðon,,27,14.35,109.0166667
an dong,,41,10.1,105.7166667
an duc,,27,14.0,109.1
an duc,,33,11.0166667,106.4
an duc,,35,20.6166667,106.4166667
an duong,,04,16.5333333,107.7
an duong,,13,20.85,106.6666667
an duong,,27,14.4666667,109.0333333
an duyen,,14,20.4,106.1166667
ang duong,,13,20.7166667,106.4666667
ang giang,,05,22.7333333,106.1333333
an gia,,04,16.8333333,107.1333333
angiang,,01,10.7,105.1166667
an giang,,27,14.35,109.1
an giao,,29,15.7833333,108.4
an giat,,27,14.9333333,108.6666667
an giu,,27,14.4833333,109.0666667
ang ngoai,,13,20.7,106.4666667
ang phao,,16,20.8,105.7666667
ang ta,,02,22.2166667,105.75
ang tang,,40,11.3333333,107.0166667
an ha,,27,15.0833333,108.8166667
an ha,,29,15.5833333,108.4833333
an hai,,27,15.2166667,108.9333333
an hai,,29,16.0666667,108.2333333
an hai phuong,,27,15.3666667,109.1166667
an han,,26,18.7333333,105.6666667
an hanh,,27,14.0,109.0666667
an hau,,26,18.7333333,105.6666667
an hau,,27,14.35,108.9666667
an hay,,27,15.2166667,108.9333333
anh do,,28,13.3833333,109.25
an hiep,,06,10.2,105.9166667
an hiep,,35,20.7,106.3166667
an hoa,,03,10.2666667,106.4333333
an hoa,,04,16.4833333,107.5666667
an hoa,,09,10.6833333,105.4333333
an hoa,,21,9.9666667,105.1166667
an hoa,,26,18.55,105.65
an hoa,,27,13.8166667,109.1333333
an hoa,,28,13.05,108.95
an hoa,,29,15.4833333,108.6166667
an hoa,,65,9.5136111,106.0138889
an hoa dong,,06,10.2166667,105.85
an hoa tay,,29,15.6166667,108.3666667
an hoi,,03,9.92,106.5477778
an hoi,,04,16.9,107.25
an hoi,,20,10.8333333,106.6333333
an hoi,,26,18.7666667,105.3
an hoi,,27,14.0,108.9333333
an hoi,,29,15.65,108.3833333
an hoi thon,,20,10.8333333,106.6333333
an hop,,29,15.6333333,108.3666667
anh son,,58,18.9,105.3166667
an kahe,,49,13.95,108.65
an khanh,,06,10.2166667,105.85
an khanh,,20,10.7875,106.7338889
an khanh xa,,20,10.7875,106.7338889
an khe,,13,20.8333333,106.7
an khe,,16,20.9,105.6833333
an khe,,49,13.95,108.65
an khuong,,27,15.3,108.6333333
ankroet,,23,11.9833333,108.35
an ky,,27,15.2,108.9166667
an la,,35,20.5666667,106.25
an lac,,04,17.25,106.75
an lac,,11,21.3333333,106.95
an lac,,12,20.95,106.0166667
an lac,,13,20.8666667,106.65
an lac,,14,20.1666667,106.2333333
an lac,,20,10.7227778,106.6047222
an lac,,27,14.1833333,109.0333333
an lac,,29,15.7666667,108.2833333
an lac,,35,20.5833333,106.3166667
an lac,,38,21.3166667,105.9
an lac dong,,27,14.1833333,109.0333333
an lac tay,,27,14.2,109.0333333
an lai,,04,16.5666667,107.5833333
an lai,,05,22.7166667,106.3333333
an lam,,29,15.5666667,108.1833333
an lam,,36,11.1333333,108.15
an lan,,36,11.1333333,108.15
an lang,,12,20.9833333,106.5333333
an lang,,14,20.3166667,106.3
an lao,,12,20.8,106.4666667
an lao,,35,20.4166667,106.3
an lao,,38,21.3666667,105.4
an lao,,46,14.5666667,108.9
an lao ap,,04,17.1666667,106.8666667
an lap,,38,21.3666667,105.5666667
an lau,,29,15.4333333,108.4
an lau nam,,29,15.4333333,108.4
an le,,26,18.3666667,105.85
an le,,29,15.8166667,108.0333333
an le,,35,20.5,106.3666667
an liem,,35,20.5166667,106.2666667
an linh,,31,11.3333333,106.7166667
an lo,,04,16.55,107.4666667
an lo,,27,13.9166667,109.2333333
an loc,,04,16.6166667,107.5666667
an loc,,14,20.3,106.0166667
an loc,,27,13.8666667,109.1
an loc,,29,15.7666667,108.2833333
an loc,,31,11.6666667,106.8333333
an loc,,40,10.8,106.9666667
an loc,,76,11.65,106.6
an loi,,03,9.9808333,106.6288889
an loi,,27,13.9166667,109.2333333
an loi,,31,11.1166667,106.6666667
an loi,,40,10.8166667,106.9333333
an loi ap,,27,14.8166667,108.9
an loi dong,,20,10.7666667,106.7333333
an long,,09,10.7166667,105.3833333
an long,,27,14.35,109.1
an long,,29,15.6333333,108.15
an long,,36,10.9666667,108.1666667
an luan,,13,20.8166667,106.5666667
an lu,,13,20.9166667,106.7
an luong,,12,21.0,106.35
an luong,,14,20.2666667,106.25
an luong,,27,14.15,109.1166667
an luong,,29,15.8641667,108.3858333
an luu,,04,16.4666667,107.7166667
an ly,,29,15.6333333,108.3333333
an ma,,02,22.4166667,105.6
an ma,,32,20.9333333,104.8166667
an me,,02,21.4666667,105.8833333
an mieng,,32,20.9,104.9666667
an mo,,39,22.3,106.3166667
an mong,,14,20.5666667,106.0
an my,,04,16.95,107.1166667
an my,,10,13.95,108.6833333
an my,,27,14.15,109.15
an my,,29,15.5333333,108.15
an my,,31,11.0166667,106.6833333
an my trai,,27,15.1333333,108.7
an nam ly,,38,21.35,105.8166667
an nap,,35,20.5833333,106.3166667
an ngai,,27,13.8833333,109.1
an ngai,,40,10.4833333,107.2333333
an nghia,,27,14.4833333,108.8333333
an nghia,,29,15.7,108.4166667
an nghien,,28,13.0166667,109.2166667
an nghiep,,12,20.8,106.3166667
an nghiep,,28,13.0166667,109.2166667
an nha,,04,16.9333333,106.9833333
an nhan,,27,15.15,108.8333333
an nhien,,26,18.3666667,105.8833333
an nhon,,03,9.8861111,106.5886111
an nhon,,04,16.7166667,107.3833333
an nhon,,26,13.8833333,109.1
an nhon,,37,10.3166667,106.0333333
an nhon hoa,,06,9.7833333,106.1833333
an nhon tay,,20,11.1,106.5166667
an nhon xa,,20,10.8333333,106.6666667
an nhue,,27,14.1,109.1666667
an nhut,,40,10.4833333,107.25
an nhut tan,,24,10.5666667,106.5333333
an ninh,,04,17.0166667,107.1
an ninh,,06,10.3166667,105.5166667
an ninh,,11,21.2166667,106.8166667
an ninh,,24,10.9833333,106.2833333
an ninh,,27,14.05,108.9166667
an ninh,,29,15.7833333,108.05
an ninh,,41,9.6166667,105.95
an ninh noi,,12,20.9833333,106.5666667
an nong,,01,10.5833333,104.95
an nong,,04,16.3666667,107.75
an noong,,11,21.2,106.8
an nuong,,11,21.2,106.8
an phong,,09,10.6,105.4166667
an phong,,10,13.9166667,108.6666667
an phong,,21,9.8666667,105.1666667
an phong,,27,13.9333333,108.8166667
an phu,,09,10.6666667,105.4333333
an phu,,13,20.9166667,106.55
an phu,,14,20.0166667,106.1333333
an phu,,20,10.6833333,106.6666667
an phu,,24,10.85,105.0833333
an phu,,26,18.4833333,105.55
an phu,,27,15.1333333,108.8333333
an phu,,35,20.3833333,106.3166667
an phu,,36,11.0166667,108.1333333
an phu,,40,10.7333333,106.85
an phu,,65,9.6594444,106.1338889
an phu ap,,14,20.15,106.2333333
an phu dong,,20,10.7958333,106.7569444
an phu Ðong,,20,10.8541667,106.7016667
an phu ha,,04,16.3166667,107.7833333
an phuoc,,27,14.9833333,108.8833333
an phuoc,,29,15.6333333,108.3833333
an phuoc,,60,11.5166667,108.9166667
an phuoc chinh,,27,14.9833333,108.8833333
an phuong,,10,13.9666667,108.7
an phuong,,12,20.65,106.1166667
an phu phuong,,29,15.8,108.3833333
an phu tay,,20,10.6833333,106.6
an pon,,32,20.9166667,104.6166667
an quang,,27,14.1166667,109.2
an qui,,12,20.75,106.5
an qui,,13,20.6166667,106.4833333
an qui,,27,14.55,109.0333333
an qui,,37,10.3333333,106.3166667
an quy,,10,13.9166667,108.6333333
an quy,,12,20.75,106.5
an sen,,27,15.0,108.8833333
an son,,27,13.8,109.1166667
an son,,28,13.0666667,109.0
an son,,29,15.4333333,108.3
an son c,,10,13.95,108.6166667
an tam,,29,15.8166667,108.15
an tan,,12,20.8666667,106.3333333
an tan,,29,15.4333333,108.65
an tay,,27,14.45,109.0166667
an tay,,29,15.45,108.6833333
an thaan,,31,10.9666667,106.7666667
an thach(1),,27,14.8833333,108.95
an thach,,04,16.35,107.75
an thach,,10,14.05,108.7166667
an thach,,27,14.8833333,108.95
an thach,,29,15.7,108.45
an thach thach nan,,27,14.8833333,108.95
an thai,,04,16.7333333,107.2166667
an thai,,12,20.9666667,106.5166667
an thai,,27,14.5333333,109.0666667
an thai,,29,15.65,108.45
an thai thuong,,04,16.7833333,106.95
an thanh,,03,9.9583333,106.5797222
an thanh,,04,16.5333333,107.5833333
an thanh,,09,10.7,105.45
an thanh,,24,10.6666667,106.4666667
an thanh,,27,13.8,109.1833333
an thanh,,29,15.6333333,108.4333333
an thanh,,31,10.9666667,106.7666667
an thanh,,33,11.0833333,106.2333333
an thanh,,36,11.5333333,109.0
an thanh,,65,9.8177778,106.0111111
an thanh nhi,,65,9.5527778,106.2533333
an thanh thuy,,37,10.3333333,106.5166667
an the,,27,14.8833333,108.9666667
an thi,,12,20.7333333,106.1
an thiem,,30,20.9833333,107.0
an thien,,27,14.35,109.0
an thinh,,26,18.8833333,105.2833333
an thinh,,27,14.85,108.8666667
an tho18,,27,14.8833333,108.9666667
an tho18,,28,13.35,109.2166667
an tho,,12,20.75,106.4666667
an thoi,,01,10.2,105.4833333
an thoi,,03,9.9325,106.5602778
an thoi,,06,9.6333333,106.2666667
an thoi,,21,10.0166667,104.0166667
an thoi,,29,15.3166667,108.8666667
an tho thon,,04,17.7666667,106.05
an thuan,,03,9.9833333,106.6166667
an thuan,,04,16.5333333,107.55
an thuan,,10,13.9333333,108.6333333
an thuan,,31,11.0666667,106.5666667
an thuong,,10,13.9666667,108.7333333
an thuong,,27,14.2833333,109.05
an thuong,,29,16.0494444,108.2419444
an thuong ap,,27,14.8,108.9666667
an thuy,,03,9.9833333,106.6166667
an thuy,,14,20.35,106.1666667
an thuyet,,27,15.1833333,108.7333333
an tien,,04,16.9833333,107.05
an tinh,,27,14.3166667,109.1333333
an tinh ba,,67,9.8366667,106.0466667
an toan,,13,20.7666667,106.7333333
an trach,,04,16.8333333,107.25
an trach,,14,20.1333333,106.2
an trach,,29,15.95,108.1666667
an trach,,41,9.65,105.9333333
an trach,,73,9.0563889,105.4405556
an trach,,77,9.1533333,105.2133333
an trang,,27,15.1333333,108.6666667
an trang,,29,15.6,108.1833333
an tri,,27,14.1333333,109.15
an trieu,,11,21.1833333,106.3166667
an trinh,,27,14.1166667,109.05
an tros,,13,20.85,106.65
an truc,,13,20.85,106.65
an truong,,27,13.8,108.9833333
an truong,,29,15.6166667,108.3333333
an truy,,14,20.35,106.1666667
an truyen,,04,16.5,107.6333333
an tuc,,49,13.95,108.65
an tu ha,,35,20.3166667,106.5
an tuong,,27,14.2833333,109.05
an tuyen,,29,15.7,108.4666667
an tuyet,,27,15.1833333,108.7333333
an vang,,29,15.5666667,108.1833333
an van thuong,,04,16.45,107.5333333
an ve,,35,20.65,106.35
an vinh,,11,21.2166667,106.8166667
an vinh,,27,13.9166667,109.0166667
an vinh,,29,15.5666667,108.15
an vinh phuong,,27,15.3666667,109.1333333
an xa,,04,17.2333333,106.7666667
an xa,,29,15.3833333,108.3333333
an xuan,,04,16.5666667,107.5666667
an xuan,,10,14.0,108.7
an xuan,,20,10.8719444,106.6666667
an xuan,,27,13.9,108.95
an xuan,,36,11.65,108.9833333
an xuyen,,25,9.2666667,105.2833333
ao kenh,,16,20.7833333,105.6333333
ao loan,,11,21.4,106.65
ao louan,,11,21.4,106.65
ao tan,,11,21.35,106.6833333
ao ve,,11,21.2833333,106.55
a pa chai,,22,22.4,102.2166667
ap a dua,,04,16.7333333,106.5833333
ap an binh,,03,10.1,106.3166667
ap an binh,,06,10.2833333,105.5666667
ap an binh,,36,11.2,108.55
ap an binh,,41,9.8666667,105.95
ap an co,,65,9.5069444,106.0686111
ap an dien,,03,9.9022222,106.5433333
ap an dien,,06,10.0666667,106.15
ap an dinh,,37,10.3166667,106.4666667
ap an dong,,06,10.0833333,106.2166667
ap an dung,,21,10.3666667,104.5833333
ap ang trang so,,40,11.3333333,107.0166667
ap an hau,,06,10.0333333,106.15
ap an hiep,,24,10.9666667,106.3333333
ap an hoa,,01,10.4833333,104.9
