names,population,state_code,lat,lon
ahoa,495,00,-13.2833333,-176.2
akaka,,00,-13.2666667,-176.1333333
alele,901,00,-13.2333333,-176.15
alo,,00,-14.3166667,-178.1166667
alofitai,,00,-14.35,-178.05
fakauita,,00,-13.25,-176.1833333
falaleu,659,00,-13.3,-176.15
fineveke,,00,-13.3166667,-176.2
foi,,00,-14.3,-178.0833333
gahi,280,00,-13.3333333,-176.15
gamua,,00,-13.25,-176.1333333
haafusia,,00,-13.3,-176.15
ha'alalo,,00,-13.35,-176.1833333
haatofo,236,00,-13.3333333,-176.15
halalo,635,00,-13.35,-176.1833333
halamaitai,,00,-13.2833333,-176.1333333
kolia,437,00,-14.3166667,-178.0833333
kolopopo,171,00,-13.35,-176.1666667
lano,,00,-13.25,-176.1333333
leava,480,00,-14.3,-178.1666667
liku,696,00,-13.2666667,-176.1333333
loto mua,,00,-13.35,-176.1666667
malae,,00,-14.3166667,-178.1166667
mata'utu,,00,-13.2833333,-176.1333333
mua,,00,-13.35,-176.1666667
regina spit,,00,-13.2833333,-176.1333333
sigave,,00,-14.3,-178.1666667
singave,,00,-14.3,-178.1666667
tauai,,00,-14.2333333,-178.1666667
teesi,284,00,-13.35,-176.1666667
teesse,,00,-13.35,-176.1666667
tepa,244,00,-13.3166667,-176.15
tufuone,,00,-13.2166667,-176.1666667
utufua,,00,-13.35,-176.15
utuloa,,00,-13.2666667,-176.1833333
vailala,451,00,-13.2166667,-176.15
vaimatau,,00,-13.3166667,-176.2
vaitupu,601,00,-13.2333333,-176.15
vele,309,00,-14.3166667,-178.0666667
